d4n..00	ZUCLOPENTHIXOL ACETATE
d4n4.00	ZUCLOPENTHIXOL ACETATE 100mg/2mL injection (oily)
d4n3.00	ZUCLOPENTHIXOL ACETATE 50mg/1mL injection (oily)
d4n2.00	CLOPIXOL ACUPHASE 100mg/2mL injection (oily)
d4n1.00	CLOPIXOL ACUPHASE 50mg/1mL injection (oily)
d4j..00	ZUCLOPENTHIXOL DIHYDROCHLORIDE
d4jz.00	ZUCLOPENTHIXOL DIHYDROCHLORIDE 25mg tablets
d4jy.00	ZUCLOPENTHIXOL DIHYDROCHLORIDE 10mg tablets
d4jx.00	ZUCLOPENTHIXOL DIHYDROCHLORIDE 2mg tablets
d4j3.00	CLOPIXOL 25mg tablets
d4j2.00	CLOPIXOL 10mg tablets
d4j1.00	CLOPIXOL 2mg tablets
d4u..00	ZOTEPINE
d4u3.00	*ZOTEPINE 100mg tablets
d4u2.00	*ZOTEPINE 50mg tablets
d4u1.00	*ZOTEPINE 25mg tablets
d4u6.00	*ZOLEPTIL 100mg tablets
d4u5.00	*ZOLEPTIL 50mg tablets
d4u4.00	*ZOLEPTIL 25mg tablets
d4i..00	TRIFLUPERIDOL
d4iz.00	*TRIFLUPERIDOL 1mg tablets
d4iy.00	TRIFLUPERIDOL 500microgram tablets
d4i2.00	*TRIPERIDOL 1mg tablets
d4i1.00	TRIPERIDOL 500micrograms tablets
d4h..00	TRIFLUOPERAZINE [ANTIPSYCHOTIC]
d4hz.00	TRIFLUOPERAZINE 1mg/1mL injection
d4hy.00	TRIFLUOPERAZINE 10mg/mL liquid
d4hx.00	TRIFLUOPERAZINE 1mg/5mL syrup
d4hw.00	*TRIFLUOPERAZINE 15mg m/r caps
d4hv.00	*TRIFLUOPERAZINE 10mg m/r caps
d4hu.00	*TRIFLUOPERAZINE 2mg m/r caps
d4ht.00	TRIFLUOPERAZINE 5mg tablets
d4hs.00	TRIFLUOPERAZINE 1mg tablets
d4hr.00	TRIFLUOPERAZINE 5mg/5mL sugar free oral suspension
d4h9.00	TRIFLUOPERAZINE 5mg/5mL sugar free syrup
d4hA.00	STELAZINE FORTE 5mg/5mL sugar free oral suspension
d4h8.00	*STELAZINE 1mg/1mL injection
d4h7.00	STELAZINE CONCENTRATE 10mg/mL liquid
d4h6.00	*STELAZINE 1mg/5mL syrup
d4h5.00	*STELAZINE 15mg m/r capsules
d4h4.00	*STELAZINE 10mg m/r capsules
d4h3.00	*STELAZINE 2mg m/r capsules
d4h2.00	*STELAZINE 5mg tablets
d4h1.00	*STELAZINE 1mg tablets
d4g..00	THIORIDAZINE
d4gz.00	*THIORIDAZINE 25mg/5mL syrup
d4gy.00	THIORIDAZINE 100mg/5mL oral suspension
d4gx.00	THIORIDAZINE 25mg/5mL suspension
d4gw.00	THIORIDAZINE 100mg tablets
d4gv.00	THIORIDAZINE 50mg tablets
d4gu.00	THIORIDAZINE 25mg tablets
d4gt.00	*THIORIDAZINE 10mg tablets
d4gs.00	THIORIDAZINE 100mg/5mL sugar free solution
d4gr.00	THIORIDAZINE 50mg/5mL sugar free solution
d4gq.00	THIORIDAZINE 25mg/5mL sugar free solution
d4gp.00	THIORIDAZINE 10mg/5mL syrup
d4g7.00	MELLERIL 25mg/5mL orange syrup
d4g6.00	MELLERIL 100mg/5mL oral suspension
d4g5.00	*MELLERIL 25mg/5mL suspension
d4g4.00	*MELLERIL 100mg tablets
d4g3.00	*MELLERIL 50mg tablets
d4g2.00	*MELLERIL 25mg tablets
d4g1.00	*MELLERIL 10mg tablets
d4f..00	SULPIRIDE
d4fz.00	SULPIRIDE 200mg tablets
d4fy.00	SULPIRIDE 200mg/5mL sugar free solution
d4fx.00	SULPIRIDE 400mg tablets
d4fw.00	SULPIRIDE 200mg/5mL oral solution
d4f6.00	SULPOR 200mg/5mL oral solution
d4f5.00	DOLMATIL 400mg tablets
d4f4.00	*SULPAREX 200mg tablets
d4f3.00	*SULPITIL 200mg tablets x112CP
d4f2.00	*SULPITIL 200mg tablets x28CP
d4f1.00	DOLMATIL 200mg tablets
d4q..00	SERTINDOLE
d4q4.00	SERTINDOLE 20mg tablets
d4q3.00	SERTINDOLE 16mg tablets
d4q2.00	SERTINDOLE 12mg tablets
d4q1.00	SERTINDOLE 4mg tablets
d4q8.00	SERDOLECT 20mg tablets
d4q7.00	SERDOLECT 16mg tablets
d4q6.00	SERDOLECT 12mg tablets
d4q5.00	SERDOLECT 4mg tablets
d4p..00	RISPERIDONE
d4pz.00	RISPERIDONE 0.5mg tablets
d4py.00	RISPERIDONE 25mg powder+solvent for suspension for injection
d4px.00	RISPERIDONE 37.5mg powder+solvent for suspension for injection
d4pw.00	RISPERIDONE 50mg powder+solvent for suspension for injection
d4pS.00	RISPERIDONE 1mg/mL oral solution
d4pR.00	RISPERIDONE 4mg oro-dispersible tablets
d4pQ.00	RISPERIDONE 3mg oro-dispersible tablets
d4pM.00	RISPERIDONE 0.5mg oro-dispersible tablets
d4pJ.00	RISPERIDONE 2mg oro-dispersible tablets
d4pH.00	RISPERIDONE 1mg oro-dispersible tablets
d4pB.00	RISPERIDONE 6mg tablets
d4p9.00	RISPERIDONE 1mg/mL liquid
d4p4.00	RISPERIDONE 4mg tablets
d4p3.00	RISPERIDONE 3mg tablets
d4p2.00	RISPERIDONE 2mg tablets
d4p1.00	RISPERIDONE 1mg tablets
d4pP.00	RISPERDAL QUICKLET 4mg oro-dispersible tablets
d4pO.00	RISPERDAL QUICKLET 3mg oro-dispersible tablets
d4pN.00	RISPERDAL QUICKLET 0.5mg oro-dispersible tablets
d4pL.00	RISPERDAL QUICKLET 2mg oro-dispersible tablets
d4pK.00	RISPERDAL QUICKLET 1mg oro-dispersible tablets
d4pG.00	RISPERDAL CONSTA 50mg powder+solvent for suspension for injection
d4pF.00	RISPERDAL CONSTA 37.5mg powder+solvent for suspension for injection
d4pE.00	RISPERDAL CONSTA 25mg powder+solvent for suspension for injection
d4pD.00	RISPERDAL 0.5mg tablets
d4pC.00	RISPERDAL 6mg tablets
d4pA.00	RISPERDAL 1mg/mL liquid
d4p8.00	RISPERDAL 4mg tablets
d4p7.00	RISPERDAL 3mg tablets
d4p6.00	RISPERDAL 2mg tablets
d4p5.00	RISPERDAL 1mg tablets
d4s..00	QUETIAPINE
d4sz.00	QUETIAPINE 150mg tablets
d4sy.00	QUETIAPINE 25mg+100mg+150mg tablets starter pack
d4sx.00	QUETIAPINE 300mg tablets
d4sw.00	QUETIAPINE 50mg m/r tablets
d4sv.00	QUETIAPINE 200mg m/r tablets
d4su.00	QUETIAPINE 300mg m/r tablets
d4st.00	QUETIAPINE 400mg m/r tablets
d4ss.00	QUETIAPINE 150mg m/r tablets
d4s4.00	QUETIAPINE 25mg+100mg tablets starter pack
d4s3.00	QUETIAPINE 200mg tablets
d4s2.00	QUETIAPINE 100mg tablets
d4s1.00	QUETIAPINE 25mg tablets
d4sp.00	ALAQUET XL 400mg m/r tablets
d4so.00	ALAQUET XL 300mg m/r tablets
d4sn.00	ALAQUET XL 200mg m/r tablets
d4sm.00	ALAQUET XL 150mg m/r tablets
d4sl.00	ALAQUET XL 50mg m/r tablets
d4sk.00	MINTRELEQ XL 400mg m/r tablets
d4sj.00	MINTRELEQ XL 300mg m/r tablets
d4si.00	MINTRELEQ XL 200mg m/r tablets
d4sh.00	MINTRELEQ XL 150mg m/r tablets
d4sg.00	MINTRELEQ XL 50mg m/r tablets
d4sf.00	BIQUELLE XL 400mg m/r tablets
d4se.00	BIQUELLE XL 300mg m/r tablets
d4sd.00	BIQUELLE XL 200mg m/r tablets
d4sc.00	BIQUELLE XL 150mg m/r tablets
d4sb.00	BIQUELLE XL 50mg m/r tablets
d4sa.00	ZALURON XL 400mg m/r tablets
d4sZ.00	ZALURON XL 300mg m/r tablets
d4sY.00	ZALURON XL 200mg m/r tablets
d4sX.00	ZALURON XL 150mg m/r tablets
d4sW.00	ZALURON XL 50mg m/r tablets
d4sV.00	EBESQUE XL 400mg m/r tablets
d4sU.00	EBESQUE XL 300mg m/r tablets
d4sT.00	EBESQUE XL 200mg m/r tablets
d4sS.00	EBESQUE XL 50mg m/r tablets
d4sR.00	ATROLAK XL 400mg m/r tablets
d4sQ.00	ATROLAK XL 50mg m/r tablets
d4sP.00	SEOTIAPIM XL 400mg m/r tablets
d4sO.00	SEOTIAPIM XL 300mg m/r tablets
d4sN.00	SEOTIAPIM XL 200mg m/r tablets
d4sM.00	ATROLAK XL 300mg m/r tablets
d4sL.00	ATROLAK XL 200mg m/r tablets
d4sK.00	SONDATE XL 400mg m/r tablets
d4sJ.00	SONDATE XL 300mg m/r tablets
d4sI.00	SONDATE XL 200mg m/r tablets
d4sH.00	SONDATE XL 50mg m/r tablets
d4sG.00	SEROQUEL XL 150mg m/r tablets
d4sF.00	SEROQUEL XL 400mg m/r tablets
d4sE.00	SEROQUEL XL 300mg m/r tablets
d4sD.00	SEROQUEL XL 200mg m/r tablets
d4sC.00	SEROQUEL XL 50mg m/r tablets
d4sB.00	SEROQUEL 300mg tablets
d4sA.00	SEROQUEL 25mg+100mg+150mg tablets starter pack
d4s9.00	SEROQUEL 150mg tablets
d4s8.00	SEROQUEL 25mg+100mg tablets starter pack
d4s7.00	SEROQUEL 200mg tablets
d4s6.00	SEROQUEL 100mg tablets
d4s5.00	SEROQUEL 25mg tablets
d4e..00	PROMAZINE HYDROCHLORIDE
d4ez.00	*PROMAZINE 100mg/2mL injection
d4ey.00	PROMAZINE 50mg/1mL injection
d4ex.00	*PROMAZINE 50mg/5mL suspension
d4ew.00	PROMAZINE 50mg/5mL syrup
d4ev.00	PROMAZINE 25mg/5mL syrup
d4e5.00	PROMAZINE 50mg tablets
d4e4.00	PROMAZINE 25mg tablets
d4e3.00	*SPARINE 100mg/2mL injection
d4e2.00	*SPARINE 50mg/1mL injection
d4e1.00	*SPARINE 50mg/5mL suspension
d4d..00	PROCHLORPERAZINE [antipsych] [see dhe..]
d4c..00	PIMOZIDE
d4cz.00	*PIMOZIDE 10mg tablets
d4cy.00	PIMOZIDE 4mg tablets
d4cx.00	*PIMOZIDE 2mg tablets
d4c3.00	*ORAP 10mg tablets
d4c2.00	ORAP 4mg tablets
d4c1.00	*ORAP 2mg tablets
d4b..00	PERPHENAZINE [CENTRAL NERVOUS SYSTEM USE]
d4bz.00	*PERPHENAZINE 8mg tablets
d4by.00	PERPHENAZINE 4mg tablets
d4bx.00	PERPHENAZINE 2mg tablets
d4b6.00	PERPHENAZINE 4mg/5mL sugar free solution
d4b5.00	PERPHENAZINE 2mg/5mL sugar free solution
d4b4.00	*FENTAZIN 5mg/1mL injection
d4b3.00	*FENTAZIN 8mg tablets
d4b2.00	FENTAZIN 4mg tablets
d4b1.00	FENTAZIN 2mg tablets
d4a..00	PERICYAZINE
d4az.00	PERICYAZINE 10mg/5mL syrup
d4ay.00	*PERICYAZINE 25mg tablets
d4ax.00	PERICYAZINE 10mg tablets
d4aw.00	PERICYAZINE 2.5mg tablets
d4a4.00	*NEULACTIL FORTE 10mg/5mL syrp
d4a3.00	*NEULACTIL 25mg tablets
d4a2.00	*NEULACTIL 10mg tablets
d4a1.00	*NEULACTIL 2.5mg tablets
d4w..00	PALIPERIDONE
d4wz.00	PALIPERIDONE 3mg m/r tablets
d4wy.00	PALIPERIDONE 6mg m/r tablets
d4wx.00	PALIPERIDONE 9mg m/r tablets
d4ww.00	*PALIPERIDONE 12mg m/r tablets
d4wv.00	PALIPERIDONE 50mg suspension for injection prefilled syringe
d4wu.00	PALIPERIDONE 75mg suspension for injection prefilled syringe
d4wt.00	PALIPERIDONE 100mg suspension for injection pfs
d4ws.00	PALIPERIDONE 150mg suspension for injection pfs
d4wr.00	PALIPERIDONE 100mg + 150mg susp for inj prefilled syringes
d4w9.00	XEPLION 100mg + 150mg susp for injection prefilled syringes
d4w8.00	XEPLION 150mg suspension for injection prefilled syringe
d4w7.00	XEPLION 100mg suspension for injection prefilled syringe
d4w6.00	XEPLION 75mg suspension for injection prefilled syringe
d4w5.00	XEPLION 50mg suspension for injection prefilled syringe
d4w4.00	*INVEGA 12mg m/r tablets
d4w3.00	INVEGA 9mg m/r tablets
d4w2.00	INVEGA 6mg m/r tablets
d4w1.00	INVEGA 3mg m/r tablets
d49..00	OXYPERTINE
d49z.00	*OXYPERTINE 40mg tablets
d49y.00	*OXYPERTINE 10mg capsules
d492.00	*INTEGRIN 40mg tablets
d491.00	*INTEGRIN 10mg capsules
d4r..00	OLANZAPINE
d4rz.00	OLANZAPINE 10mg dispersible tablets
d4ry.00	OLANZAPINE 5mg dispersible tablets
d4rx.00	OLANZAPINE 15mg tablets
d4rw.00	OLANZAPINE 15mg dispersible tablets
d4rv.00	OLANZAPINE 10mg injection (pdr for recon)
d4ru.00	OLANZAPINE 20mg dispersible tablets
d4rt.00	OLANZAPINE 20mg tablets
