dnh..	Valproic acid
dnhz.	Valproic acid 250mg e/c tablet
dnh7.	Depakote 250mg e/c tablet
dnhy.	Valproic acid 500mg e/c tablet
dnh8.	Depakote 500mg e/c tablet
dnh6.	Valproic acid 500mg e/c capsule
dnh3.	Convulex 500mg e/c capsule
dnh5.	Valproic acid 300mg e/c capsule
dnh2.	Convulex 300mg e/c capsule
dnh4.	Valproic acid 150mg e/c capsule
dnh1.	Convulex 150mg e/c capsule
dnb..	Sodium valproate
dnbU.	EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnbT.	EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnbS.	EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnbR.	EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbQ.	EPILIM CHRONOSPHERE 100mg/sachet m/r granules
dnbP.	EPILIM CHRONOSPHERE 50mg/sachet m/r granules
x01Bk	Parenteral sodium valproate
dnbu.	Sodium valproate 400mg injection+diluent
dnb6.	Epilim Intravenous 400mg injection+diluent
dnbN.	SODIUM VALPROATE 1g/10mL solution for injection
dnbO.	EPISENTA 1g/10mL solution for injection
dnbE.	SODIUM VALPROATE 300mg/3mL solution for injection
x01Bj	Oral sodium valproate
dnbz.	Sodium valproate 200mg/5mL syrup
dnb5.	Epilim 200mg/5mL syrup
dnby.	Sodium valproate 200mg/5mL s/f oral liquid
dnbA.	Orlept 200mg/5mL s/f liquid
dnb4.	Epilim 200mg/5mL s/f liquid
dnbv.	Sodium valproate 100mg crushable tablet
dnb1.	Epilim 100mg crushable tablet
dnbt.	Sodium valproate 500mg m/r tablet
dnbe.	Epilim Chrono 500 m/r tablet
dnbC.	Epival CR 500mg m/r tablet
dnbs.	Sodium valproate 300mg m/r tablet
dnbd.	Epilim Chrono 300 m/r tablet
dnbB.	Epival CR 300mg m/r tablet
dnbr.	Sodium valproate 200mg m/r tablet
dnbc.	Epilim Chrono 200 m/r tablet
dnbM.	SODIUM VALPROATE 1g/sachet m/r granules
dnbI.	EPISENTA 1g/sachet m/r granules
dnbL.	SODIUM VALPROATE 500mg/sachet m/r granules
dnbH.	EPISENTA 500mg/sachet m/r granules
dnbK.	SODIUM VALPROATE 300mg m/r capsules
dnbG.	EPISENTA 300mg m/r capsules
dnbJ.	SODIUM VALPROATE 150mg m/r capsules
dnbF.	EPISENTA 150mg m/r capsules
dnb8.	Sodium valproate 500mg e/c tablet
dnbb.	Orlept 500mg e/c tablet
dnb3.	Epilim 500mg e/c tablet
dnbx.	Sodium valproate 500mg tablets
dnb7.	Sodium valproate 200mg e/c tablet
dnba.	Orlept 200mg e/c tablet
dnb9.	Orlept starter Pack 200mg e/c tablets x10
dnb2.	Epilim 200mg e/c tablet
dnbw.	Sodium valproate 200mg crushable tablets
dnbq.	SODIUM VALPROATE 750mg/sachet m/r granules
dnbp.	SODIUM VALPROATE 250mg/sachet m/r granules
dnbo.	SODIUM VALPROATE 100mg/sachet m/r granules
dnbn.	SODIUM VALPROATE 50mg/sachet m/r granules
dn3..	Carbamazepine product
dn3z.	Carbamazepine 100mg/5mL oral liquid
dn37.	Tegretol 100mg/5mL oral liquid
dn3y.	Carbamazepine 100mg chewable tablet
dn3c.	Tegretol 100mg chewable tablet
dn3x.	Carbamazepine 200mg chewable tablet
dn3d.	Tegretol 200mg chewable tablet
dn3w.	Carbamazepine 250mg suppository
dn3E.	Tegretol 250mg suppository
dn3v.	Carbamazepine 125mg suppository
dn3D.	Tegretol 125mg suppository
dn3b.	Carbamazepine 400mg m/r tablet
