dnh..00	VALPROIC ACID
dnhz.00	VALPROIC ACID 250mg e/c tablets
dnhy.00	VALPROIC ACID 500mg e/c tablets
dnh6.00	VALPROIC ACID 500mg e/c capsules
dnh5.00	VALPROIC ACID 300mg e/c capsules
dnh4.00	VALPROIC ACID 150mg e/c capsules
dnh8.00	DEPAKOTE 500mg e/c tablets
dnh7.00	DEPAKOTE 250mg e/c tablets
dnh3.00	CONVULEX 500mg e/c capsules
dnh2.00	CONVULEX 300mg e/c capsules
dnh1.00	CONVULEX 150mg e/c capsules
dnb..00	SODIUM VALPROATE
dnbz.00	SODIUM VALPROATE 200mg/5mL syrup
dnby.00	SODIUM VALPROATE 200mg/5mL sugar free liquid
dnbx.00	SODIUM VALPROATE 500mg tablets
dnbw.00	SODIUM VALPROATE 200mg crushable tablets
dnbv.00	SODIUM VALPROATE 100mg crushable tablets
dnbu.00	SODIUM VALPROATE 400mg/4mL injection
dnbt.00	SODIUM VALPROATE 500mg m/r tablets
dnbs.00	SODIUM VALPROATE 300mg m/r tablets
dnbr.00	SODIUM VALPROATE 200mg m/r tablets
dnbq.00	SODIUM VALPROATE 750mg/sachet m/r granules
dnbp.00	SODIUM VALPROATE 250mg/sachet m/r granules
dnbo.00	SODIUM VALPROATE 100mg/sachet m/r granules
dnbn.00	SODIUM VALPROATE 50mg/sachet m/r granules
dnbN.00	SODIUM VALPROATE 1g/10mL solution for injection
dnbM.00	SODIUM VALPROATE 1g/sachet m/r granules
dnbL.00	SODIUM VALPROATE 500mg/sachet m/r granules
dnbK.00	SODIUM VALPROATE 300mg m/r capsules
dnbJ.00	SODIUM VALPROATE 150mg m/r capsules
dnbE.00	SODIUM VALPROATE 300mg/3mL solution for injection
dnb8.00	SODIUM VALPROATE 500mg e/c tablets
dnb7.00	SODIUM VALPROATE 200mg e/c tablets
dnbe.00	EPILIM CHRONO 500 m/r tablets
dnbd.00	EPILIM CHRONO 300 m/r tablets
dnbc.00	EPILIM CHRONO 200 m/r tablets
dnbb.00	*ORLEPT 500mg e/c tablets
dnba.00	*ORLEPT 200mg e/c tablets
dnbU.00	EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnbT.00	EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnbS.00	EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnbR.00	EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbQ.00	EPILIM CHRONOSPHERE 100mg/sachet m/r granules
dnbP.00	EPILIM CHRONOSPHERE 50mg/sachet m/r granules
dnbO.00	EPISENTA 1g/10mL solution for injection
dnbI.00	EPISENTA 1g/sachet m/r granules
