^ESCT1180312	Cetirizine 10mg tablets (Mylan)
^ESCT1181055	Product containing only cetirizine dihydrochloride 10 mg/1 each oral tablet
^ESCT1183502	Cetirizine 10mg tablets (Mylan) 30 tablet 3 x 10 tablets
^ESCT1223266	Cetirizine hydrochloride 10 mg oral tablet
^ESCT1223267	Product containing precisely cetirizine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1263924	Cetirizine 1mg/ml oral solution sugar free (Mawdsley-Brooks & Company Ltd)
^ESCT1263925	Cetirizine 1mg/ml oral solution sugar free (Mawdsley-Brooks & Company Ltd) 200 ml
^ESCT1264211	Cetirizine 1mg/ml oral solution sugar free
^ESCT1264937	Cetirizine 1mg/ml oral solution sugar free (DE Pharmaceuticals)
^ESCT1264940	Cetirizine 1mg/ml oral solution sugar free (DE Pharmaceuticals) 200 ml
^ESCT1268458	Cetirizine 10mg tablets (Healthcare Pharma Ltd)
^ESCT1268459	Cetirizine 10mg tablets (Healthcare Pharma Ltd) 30 tablet
^ESCT1303769	Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare) 14 tablet
^ESCT1375078	Cetirizine 10mg tablets (Medihealth (Northern) Ltd)
^ESCT1375079	Cetirizine 10mg tablets (Medihealth (Northern) Ltd) 30 tablet
^ESCT1375082	Cetirizine 1mg/ml oral solution sugar free (Medihealth (Northern) Ltd)
^ESCT1375083	Cetirizine 1mg/ml oral solution sugar free (Medihealth (Northern) Ltd) 200 ml
^ESCT1409722	Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare UK Ltd)
^ESCT1409924	Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare UK Ltd) 30 tablet 2 x 15 tablets
^ESCT1409925	Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare UK Ltd) 7 tablet
^ESCT1410533	Piriteze Allergy 1mg/ml syrup (GlaxoSmithKline Consumer Healthcare UK Ltd)
^ESCT1410534	Piriteze Allergy 1mg/ml syrup (GlaxoSmithKline Consumer Healthcare UK Ltd) 70 ml
^ESCT1410826	Pollenshield Hayfever Relief 10mg tablets (Accord Healthcare Ltd)
^ESCT1410827	Pollenshield Hayfever Relief 10mg tablets (Accord Healthcare Ltd) 7 tablet
^ESCT1410870	Pollenshield Hayfever 10mg tablets (Accord Healthcare Ltd)
^ESCT1410871	Pollenshield Hayfever 10mg tablets (Accord Healthcare Ltd) 30 tablet 3 x 10 tablets
^ESCT1411261	Cetirizine 10mg tablets (Fannin (UK) Ltd)
^ESCT1411262	Cetirizine 10mg tablets (Fannin (UK) Ltd) 30 tablet 3 x 10 tablets
^ESCT1412192	Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare UK Ltd) 12 tablet
^ESCT1412708	Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare UK Ltd) 14 tablet
^ESCT1425617	Cetirizine 10mg tablets (Kent Pharma (UK) Ltd)
^ESCT1426308	Cetirizine 10mg tablets (Kent Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
^ESCT1426314	Cetirizine 10mg tablets (Kent Pharma (UK) Ltd) 7 tablet
^ESCT1426831	Cetirizine 1mg/ml oral solution sugar free (Kent Pharma (UK) Ltd)
^ESCT1426832	Cetirizine 1mg/ml oral solution sugar free (Kent Pharma (UK) Ltd) 200 ml
^ESCT1427022	Cetirizine 1mg/ml oral solution sugar free (Kent Pharma (UK) Ltd) 100 ml
^ESCTAL1074667	Allacan 10mg tablets (Bristol Laboratories Ltd)
^ESCTAL1074672	Allacan 10mg tablets (Bristol Laboratories Ltd) 7 tablet
^ESCTAL1074674	Allacan 10mg tablets (Bristol Laboratories Ltd) 14 tablet
