L281.00	Premature rupture of membranes
L116.00	Placenta praevia
L124.12	Toxaemia NOS
L210.00	Twin pregnancy
L264.00	Intrauterine death
L182500	Iron deficiency anaemia of pregnancy
7F06012	Shirodkar suture in pregnancy
L1...00	Pregnancy complications
L180900	Gestational diabetes mellitus
L11..11	Antepartum haemorrhage
L175.11	Rubella contact in pregnancy
L14..11	Premature labour
L166500	Infections of kidney in pregnancy
L13..11	Hyperemesis gravidarum
L10..00	Haemorrhage in early pregnancy
6313.00	Consultant unit birth
Q10z.11	Intrauterine growth retardation
L112.11	Ablatio placentae
L16A.00	Glycosuria during pregnancy
Q000.11	Fetus affected by maternal toxaemia
9594.00	GMS2 claim sent to HA
9591.00	GMS2 claim signed by patient
L112.00	Placental abruption
L264.11	Fetal death in utero
L180811	Gestational diabetes mellitus
L124600	Pre-eclampsia, unspecified
L125.00	Severe pre-eclampsia
L231.00	Generally contracted pelvis
L10y.11	Bleeding in early pregnancy
L124.00	Mild or unspecified pre-eclampsia
L13..00	Excessive pregnancy vomiting
L2...00	Risk factors in pregnancy
L180800	Diabetes mellitus arising in pregnancy
L270.00	Polyhydramnios
L13z.00	Unspecified pregnancy vomiting
L126.00	Eclampsia
L161.11	Excessive weight gain in pregnancy
Q42X.00	Hydrops fetalis due to other+unspcfd haemolytic disease
Q408500	Group B haemolytic streptococcal intra-amniotic infect. NEC
L23..00	Cephalo-pelvic disproportion
L11..00	Antepartum haemorrhage, abruptio placentae, placenta praevia
L124.11	Mild pre-eclampsia
L10z.00	Early pregnancy haemorrhage NOS
L13..12	Hyperemesis of pregnancy
L21..00	Multiple pregnancy
L27..11	Hydramnios
7F06300	External version of breech
L166z00	Genitourinary tract infection in pregnancy NOS
L130.00	Mild hyperemesis gravidarum
L414.12	Phlegmasia alba dolens - obstetric
L294.00	Grand multiparity
L16E.00	Pregnancy pruritus
L33..00	Umbilical cord complications
L124500	Mild pre-eclampsia
L21..11	Gestation - multiple
L111.00	Placenta praevia with haemorrhage
L129.00	Moderate pre-eclampsia
957..00	FW 8-applic for presc exempt
L167.00	Liver disorder in pregnancy
62X..00	Length of gestation
62E..11	Feeding intention -baby
Z265.00	Umbilical cord observations
L267.00	Other placental conditions
62O..12	Static weight gain pregnancy
L211.00	Triplet pregnancy
L130000	Mild hyperemesis unspecified
L123.00	Transient hypertension of pregnancy
7F0..11	Fetus operations
7N61300	[SO]Placenta
L14..00	Early or threatened labour
L123500	Gestational hypertension
L245.00	Cervical incompetence
62E3.11	Intends to breast feed
957..11	Prescription exempt form-preg
Z22C300	Length of gestation
L221.00	Cephalic version NOS
L243.00	Retroverted incarcerated gravid uterus
L11y.00	Other antepartum haemorrhage
L261.11	Anti-D antibodies
6312.00	GP unit birth
L162.11	Albuminuria in pregnancy without hypertension
L295.00	Elderly primigravida
L150.00	Post-term pregnancy
L28y.13	Amniotic fluid leaking
L2z..00	Risk factors in pregnancy NOS
L25..00	Known or suspected fetal abnormality
L413.00	Antenatal deep vein thrombosis
L266.00	Large-for-dates fetus in pregnancy
PK80.00	Fetal alcohol syndrome
L15..11	Post-term pregnancy
13S..00	Pregnancy benefits
62O7.00	Pregnancy prolonged - 41 weeks
L110.00	Placenta praevia without haemorrhage
L15..00	Prolonged or post-term pregnancy
Z22AE00	Baby overdue
L10y.00	Other haemorrhage in early pregnancy
Z265200	Umbilical cord problem
Z262R00	Placenta problem
9511.00	FP24 signed by patient
9592.00	GMS2 claim completed by Dr.
9514.00	FP24 sent to FPC
L16yz00	Other pregnancy complication NOS
L284.12	Chorioamnionitis
L18A000	Cholestasis of pregnancy
