ff11.	ETHINYLESTRADIOL 10micrograms tablets
ff12.	ETHINYLESTRADIOL 50micrograms tablets
ff13.	ETHINYLESTRADIOL 1mg tablets
ff26.	HORMONIN tablets
ff27.	PROGYNOVA 1mg tablets
ff28.	PROGYNOVA 2mg tablets
ff29.	ESTRADERM TTS 25mcg patches
ff2a.	ESTRADERM TTS 50micrograms patches
ff2A.	*FEMATRIX 80 patches
ff2b.	ESTRADERM TTS 100microgram patches
ff2B.	ESTRADIOL 80micrograms patches
ff2c.	ESTRAPAK 50micrograms/1mg patches and tablets
ff2C.	*OESTROGEL 1.25g/dose gel
ff2E.	MENOREST 37.5micrograms patches
ff2F.	*MENOREST 50micrograms patches
ff2g.	CLIMAVAL 2mg tablets
ff2G.	*MENOREST 75micrograms patches
ff2h.	ZUMENON 2mg tablets
ff2i.	ELLESTE-SOLO MX 40 patches
ff2I.	ESTRADIOL 40micrograms patches
ff2j.	EVOREL-50 patches
ff2J.	*FEMATRIX 40 patches
ff2l.	EVOREL-25 patches
ff2L.	ELLESTE-SOLO 2mg tablets
ff2m.	ESTRADIOL VALERATE 2mg tablets
ff2n.	EVOREL-75 patches
ff2N.	ELLESTE-SOLO 1mg tablets
ff2o.	EVOREL-100 patches
ff2O.	PROGYNOVA TS 50micrograms patches
ff2p.	ESTRADIOL 75micrograms patches
ff2P.	PROGYNOVA TS FORTE 100microgram patches
ff2q.	ESTRADIOL 25micrograms patches
ff2Q.	ESTRADERM MX 25 patches
ff2R.	ESTRADERM MX 50 patches
ff2s.	ESTRADIOL 100micrograms patches
ff2S.	ESTRADERM MX 100 patches
ff2t.	*ESTRADIOL 25mg implant
ff2T.	ZUMENON 1mg tablets
ff2u.	*ESTRADIOL 50mg implant
ff2v.	*ESTRADIOL 100mg implant
ff2X.	ESTRADIOL 0.5mg/dose gel
ff2y.	ESTRADIOL 1mg tablets
ff2Y.	ESTRADIOL 1mg/dose gel
ff2Z.	SANDRENA 0.5mg gel
ff32.	*OVESTIN 1mg tablets
ff33.	*ESTRIOL 1mg tablets
ff42.	PREMARIN 1.25mg tablets
ff43.	*PREMARIN 2.5mg tablets
