NUTA17981EMIS	Nuvelle  Tablets  
ELTA31986EMIS	Elleste Duet Conti  Tablets  
PRPE98865NEMIS	Progesterone  Pessaries  100 mg
ESIM38193MGEMIS	Estradiol  Implant  25 mg (Organon)
ESPA18982NEMIS	Estradiol And Levonorgestrel  Patches (7 days)  50 micrograms + 7 micrograms/24 hours
ETTA38107MGEMIS	Ethinylestradiol  Tablets  10 micrograms (Unichem)
NOTA12924NEMIS	Novofem  Tablets  
META9109EMIS	Medroxyprogesterone Acetate  Tablets  10 mg
ESTA18936NEMIS	Estradiol And Norethisterone Acetate  Tablets  2 mg + 1 mg
ETTA38111MGEMIS	Ethinylestradiol  Tablets  50 micrograms (Ucb Pharma)
ESTR19388NEMIS	Estradot  Transdermal patches  25 micrograms/24 hrs
PRTA2336	Premarin  Tablets  1.25 mg
DETR5678NEMIS	Dermestril Septem  Transdermal patches (7 days)  75 micrograms/24 hrs
ESGE17750NEMIS	Estradiol  Gel  0.06 % pump-pack
ESIM38189MGEMIS	Estradiol  Implant  100 mg (A.A.H. Pharm)
OVTA23838EMIS	Ovestin  Tablets  1 mg
CRVA31940EMIS	Crinone  Vaginal gel  8 %
PRSO130305NEMIS	Progesterone  Solution for injection  25 mg/1.112 ml vial
PRTA27092EMIS	Premique  Tablets  0.625 mg + 5 mg
PRTR12936NEMIS	Progynova Ts 50  Transdermal patches (7 days)  50 micrograms/24 hours
ETTA38109MGEMIS	Ethinylestradiol  Tablets  10 micrograms (A.A.H. Pharm)
RATA79472NEMIS	Razylan  Tablets  60 mg
ESTA76935NEMIS	Estradiol And Dydrogesterone  Tablets  500 micrograms + 2.5 mg
ESPA18939NEMIS	Estradiol And Norethisterone  Patches And Tablets  50 micrograms/24 hours + 1 mg
ANTA20250NEMIS	Angeliq  Tablets  1 mg + 2 mg
ESTA38331MGEMIS	Estradiol And Norethisterone Acetate  Tablets  2 mg + 1 mg (Novo-Nordisk)
ETTA17650NEMIS	Ethinylestradiol  Tablets  50 micrograms
TRTA20213EMIS	Trisequens Forte  Tablets  
ESIM38195MGEMIS	Estradiol  Implant  50 mg (A.A.H. Pharm)
ESIM17753NEMIS	Estradiol  Implant  50 mg
ZATA135293NEMIS	Zalkya  Tablets  2 mg
FETA28124EMIS	Femapak 80  Tablets and patches  
ESTA18932NEMIS	Estradiol Valerate And Norethisterone  Tablets  2 mg + 700 micrograms
FETA26908EMIS	Femoston 2/10  Tablets  
ESNA17773NEMIS	Estradiol  Nasal spray  150 micrograms/actuation
ETTA38108MGEMIS	Ethinylestradiol  Tablets  10 micrograms (Ucb Pharma)
ZUTA20666EMIS	Zumenon  Tablets  2 mg
FETA76936NEMIS	Femoston-Conti  Tablets  500 micrograms + 2.5 mg
UTVA82060NEMIS	Utrogestan  Vaginal Capsules With Applicators  200 mg
ESTA38199MGEMIS	Estradiol  Tablets  1 mg (Pfizer)
TRTA26679EMIS	Tridestra  Tablets  
METR27688EMIS	Menorest  Transdermal patches  37.5 micrograms/day
ELTR31593EMIS	Elleste Solo Mx  Transdermal patches  80 micrograms/24 hrs
NOTA36283MGEMIS	Norethisterone  Tablets  5 mg (Sandoz)
INTA5652NEMIS	Indivina  Tablets  1 mg + 2.5 mg
FETR31721EMIS	Femseven  Transdermal patches (7 days)  100 micrograms/24 hrs
CLTA22324NEMIS	Climanor  Tablets  5 mg
DITA90864NEMIS	Dienogest  Tablets  2 mg
ESTR17761NEMIS	Estradiol  Transdermal patches  50 micrograms/24 hrs
FETA1987NEMIS	Femoston-Conti  Tablets  1 mg + 5 mg
CLTA28306EMIS	Climesse  Tablets  
TITA9207EMIS	Tibolone  Tablets  2.5 mg
ESTR28298EMIS	Estraderm Mx  Transdermal patches  25 micrograms/24 hrs
LETR136004NEMIS	Lenzetto  Transdermal Spray  1.53 mg/dose
DETR30520EMIS	Dermestril  Transdermal patches  50 micrograms/24 hrs
CRVA31938EMIS	Crinone  Vaginal gel  4 %
ETTA17651NEMIS	Ethinylestradiol  Tablets  1 mg
