a84..	Opium and Morphine
a842.	Kaolin and morphine mixture BP
ch12.	Ammonium chloride+morphine mixture
ch13.	Ipecacuanha+morphine mixture
dj1..	Morphine salts (1) [central nervous system use]
dj11.	Morphine sulph [CNS] 10mg injection
dj12.	Morphine sulph [CNS] 15mg injection
dj13.	Morphine sulphate [CNS] 20mg/1ml injection
dj14.	Morphine sulphate [CNS] 30mg/1ml injection
dj15.	Morphine sulphate [CNS] 20mg/2ml injection
dj16.	Morphine sulphate [CNS] 30mg/2ml injection
dj17.	Morphine sulphate [CNS] 40mg/2ml injection
dj18.	Morphine sulphate [CNS] 60mg/2ml injection
dj19.	Morphine sulphate 15mg suppository
dj1D.	Morphine sulphate 10mg suppository
dj1A.	Sevredol 10mg suppository
dj1E.	Morphine sulphate 20mg suppository
dj1B.	Sevredol 20mg suppository
dj1G.	Morphine sulphate 10mg/5mL oral unit dose vial
dj1F.	Oramorph 10mg/5mL oral unit dose vial
dj1I.	Morphine sulphate 30mg/5mL oral unit dose vial
dj1H.	Oramorph 30mg/5mL oral unit dose vial
dj1K.	Morphine sulphate 100mg/5mL oral unit dose vial
dj1J.	Oramorph 100mg/5mL oral unit dose vial
dj1L.	Morphine sulphate 10mg/5mL oral solution
x04wf	Sevredol 10mg/5mL oral solution
djzu.	Sevredol 10mg/5mL oral solution 500mL
djzt.	Sevredol 10mg/5mL oral solution 300mL
djzq.	Sevredol 10mg/5mL oral solution 100mL
x00Xv	Oramorph 10mg/5mL oral solution
dj1p.	Oramorph 10mg/5mL liquid 250mL
dj1m.	Oramorph 10mg/5mL liquid 500mL
dj1l.	Oramorph 10mg/5mL liquid 100mL
dj1Z.	Oramorph 10mg/5mL oral solution 300mL
dj1M.	Morphine sulphate 100mg/5mL oral solution
x00EP	Oramorph 100mg/5mL concentrated oral solution
dj1o.	Oramorph concentrated 20mg/mL liquid 120mL
dj1n.	Oramorph concentrated 20mg/mL liquid 30mL
dj1O.	Morphine sulphate 10mg/1mL prefilled syringe
dj1Q.	Morphine sulphate 20mg/sachet granules for suspension
dj1N.	MST Continus 20mg/sachet granules for suspension
dj1R.	Morphine sulphate 30mg/sachet granules for suspension
dj1P.	MST Continus 30mg/sachet granules for suspension
dj1S.	Morphine hydrochloride 15mg suppository
dj1T.	Morphine hydrochloride 30mg suppository
dj1U.	Morphine hydrochloride powder
dj1V.	Morphine sulphate powder
dj1a.	Morphine sulphate 30mg suppository
dj1C.	Sevredol 30mg suppository
dj1q.	Min-I-Jet Morphine sulphate 20mg/2mL prefilled syringe
dj2..	Morphine analgesic elixirs
dj21.	Morphine simple elixir
dj25.	Morphine + cocaine elixir
dj26.	Morphine/cocaine/chlorpromazine elixir
djy..	Morphine salts (3) [central nervous system use]
djyL.	MORPHINE SULFATE 10mg/10mL solution for injection
djyK.	MORPHINE SULFATE 5mg/5mL solution for injection
djyJ.	MORPHINE SULFATE 1mg/1mL solution for injection
djy5.	Morphine sulphate 30mg/30mL injection
djyI.	Morphine sulphate 1mg/mL Minijet 10mL prefilled syringe
djz..	Morphine salts (2) [central nervous system use]
djz1.	Morphine sulphate 10mg tablet
dj1r.	Sevredol 10mg tablet
djz2.	Morphine sulphate 20mg tablet
dj1s.	Sevredol 20mg tablet
djz3.	Morphine sulphate 5mg m/r tablet
dj1y.	MST Continus 5mg m/r tablet
