16C..	Backache symptom
16C2.	Backache
16C4.	Back pain worse on sneezing
16C5.	C/O - low back pain
16CZ.	Backache symptom NOS
1A53.	(C/O - pain: [loin] or [lumbar] or [renal]) or (lumbar ache - renal)
25C5.	O/E - abd. pain - R.lumbar
25C7.	O/E - abd. pain - L.lumbar
525..	Back X-ray
5257.	Lumbosacral spine X-ray
5258.	Coccyx X-ray
525Z.	Plain X-ray spine NOS
7J34.	Fusion spinal joint: [other primary lumbar] or [Moe's posterior]
7J340	Spinal fusion: [primary posterior lumbar] or [Bosworth] or [Hibbs]
7J34y	Other specified primary fusion of joint of lumbar spine
7J34z	Primary fusion of joint of lumbar spine NOS
7J35.	Other revisional fusion of joint of lumbar spine
7J35z	Revision of lumbar fusion NOS
7J4..	Other spine operations, site unspecified
7J404	Excision of intervertebral disc NEC
7J406	Revisional excision of intervertebral disc NEC
7J40w	Other specified excision of intervertebral disc
7J40x	Discectomy NOS
7J40x	Excision of intervertebral disc NOS
7J45.	Other correction of deformity of spine
7J45y	Other specified correction of deformity of spine
7J45z	Correction of deformity of spine NOS
7J47.	Exploration of spine
7J47y	Other specified exploration of spine
7J47z	Exploration of spine NOS
7J48.	Other ops on spine and vertebra
7J480	Excision of lesion of spine NEC
7J484	Manipulation of spine NEC
7J48v	Manipulation of spine NOS
7J48y	Other specified other operation on spine
7J4y.	Other specified spine operations, site unspecified
7J4z.	Other operations on parts of spine not otherwise specified
7N93S	L5 vertebra
7NA76	Coccyx
7NB2b	Lumbar region
8HTH.	Referral to back pain clinic
F334.	Lumbosacral root lesions NEC
F350.	Sciatic nerve lesion
N05zK	Osteoarthritis NOS, of sacroiliac joint
N094L	Sacroiliac joint pain
N094L	Arthralgia of sacroiliac joint
N102.	Sacroiliitis NEC
N10z.	Spondylitis NOS
N11..	(Spondylosis and allied disorders) or (arthritis of spine) or (osteoarthritis of spine)
N114.	(Lumbosacral spondylosis [& without myelopathy]) or (degeneration of lumbar spine)
