d85..	Moclobemide
d854.	Moclobemide 300mg tablet
d853.	Manerix 300mg tablet
d852.	Moclobemide 150mg tablet
d851.	Manerix 150mg tablet
d83..	MAOI - Isocarboxazid
d83z.	Isocarboxazid 10mg tablet
d831.	Marplan 10mg tablet
dq6z.	Selegiline hydrochloride 5mg tablet
dq6y.	Selegiline hydrochloride 10mg tablet
dq6x.	Selegiline hydrochloride 10mg/5mL syrup
dq6w.	Selegiline hydrochloride 1.25mg tablet
dq6..	Selegiline hydrochloride
x02iG	Marplan
x02iD	Manerix
d82..	Iproniazid
d82z.	Iproniazid 50mg tablet
d822.	Marsilid 50mg tablet
d82y.	Iproniazid 25mg tablet
d821.	Marsilid 25mg tablet
d811.	Nardil 15mg tablet
d811.	Nardil 15mg tablet
d81z.	Phenelzine 15mg tablet
d81z.	Phenelzine 15mg tablet
d84z.	Tranylcypromine 10mg tablet
d84z.	Tranylcypromine 10mg tablet
d81..	MAOI - Phenelzine
x02kQ	Nardil
dq6A.	Zelapar 1.25mg tablet
dq63.	Eldepryl 10mg/5mL syrup
dq69.	Centrapryl 10 tablet
dq67.	Stilline 10mg tablet
dq65.	Vivapryl 10mg tablet
dq62.	Eldepryl 10mg tablet
dq68.	Centrapryl 5 tablet
dq66.	Stilline 5mg tablet
dq64.	Vivapryl 5mg tablet
dq61.	Eldepryl 5mg tablet
x01Br	Selegiline
x03cm	Stilline
x02b5	Eldepryl
x04wC	Zelapar
x03dw	Centrapryl
x03w8	Centrapryl 10
x03w9	Centrapryl 5
x040Y	Vivapryl
d84..	MAOI - Tranylcypromine
d841.	Parnate 10mg tablet
d91B.	Tranylcypromine+trifluoperazine 10mg/1mg tablet
d915.	Parstelin tablet
x02mv	Parnate
x02mx	Parstelin
