ACGE9236HILLI	Actonorm  Gel  
ESGA45518NEMIS	Esomeprazole  Gastro-resistant Capsules  40 mg
COCA4761	Co-Danthrusate 50/60  Capsules  
RESO30553NEMIS	Relistor  Solution for injection  12 mg/0.6 ml vial
ZATA3090	Zantac  Tablets  150 mg
LIOR35754MGEMIS	Liquid Paraffin  Oral emulsion  (A.A.H. Pharm)
GESU17238NEMIS	Germoloids Duo Pack  Suppositories And Ointment  
LOTA1190NEMIS	Losec Mups  Tablets  20 mg
PEM/98848NEMIS	Pentasa  M/R granules  4 gram/sachet
ISTA9943BRIDL	Istin  Tablets  5 mg
BUTA444	Buscopan  Tablets  10 mg
LAPO29886NEMIS	Laxido Orange  Oral powder  13.8 gram/sachet
GLSU35308MGEMIS	Glycerol (Child)  Suppositories  2 gram (Unichem)
COCA34447MGEMIS	Co-Danthramer Strong  Capsules  (A.A.H. Pharm)
MOOR117667NEMIS	Molative  Oral powder  13.8 gram sachet
MACO88531NEMIS	Macrogol  Compound Oral Liquid  NPF sugar free
RATA36879MGEMIS	Ranitidine  Tablets  300 mg (Sandoz)
MASA665NEMIS	Manevac  Sachets  4 grams/sachet
VETA6809	Verapamil Hydrochloride  Tablets  80 mg
GLTA18728NEMIS	Glycopyrronium Bromide  Tablets  1 mg
HITA6654NEMIS	Histac  Tablets  150 mg
MATA105649NEMIS	Magnesium Oxide  Tablets  100 mg
MAPO29059EMIS	Magnesium Sulfate  Powder  bp
MOOR47279NEMIS	Moviprep Orange  Oral Powder For Solution (Sachets)  
MOOR23884NEMIS	Moviprep  Oral Powder For Solution (Sachets)  
HYOR46478NEMIS	Hyoscine Butylbromide  Oral solution  500 micrograms/5 ml
MOPO14661NEMIS	Movicol-Half  Powder sachets  6.9 grams/sachet
OMOR135580NEMIS	Omeprazole  Oral Suspension Sugar Free  20 mg/5 ml
OMCA23822EMIS	Omeprazole  Capsules (Gastro-Resistant)  40 mg
OMCA36319MGEMIS	Omeprazole  Capsules  40 mg (Ranbaxy)
ZATA17254NEMIS	Zanprol  Tablets (Gastro-Resistant)  10 mg
ZAEF16095NEMIS	Zantac 75 Relief Dissolve  Effervescent tablets  75 mg
NICA5200	Nicardipine Hydrochloride  Capsules  20 mg
RAEF36848MGEMIS	Ranitidine  Effervescent tablets  150 mg (Unichem)
PATA9016EGTON	Pancrex V  Tablets  
NICA36237MGEMIS	Nizatidine  Capsules  150 mg (Generics (UK))
LILI35749MGEMIS	Liquid Paraffin B.P.  Liquid  (Thornton & Ross)
PITA6904	Pirenzepine  Tablets  50 mg
VESO136655NEMIS	Vedolizumab  Solution for injection  108 mg/0.68 ml pre-filled syringe
MALI35865MGEMIS	Magnesium Trisilicate Mixture  Liquid  (A.A.H. Pharm)
FYEF124279NEMIS	Fybogel Hi-Fibre  Effervescent Granules (Lemon)  3.5 gram sachet
OMCA25325EMIS	Omeprazole  Capsules (Gastro-Resistant)  10 mg
PYTA26985EMIS	Pylorid  Tablets  400 mg
VEGA118063NEMIS	Ventra  Gastro-resistant Capsules  20 mg
