16D..	Falls
T040.	Fall in train
T040y	Fall in train, other specified person injured
T040z	Fall in train, unspecified person injured
T041.	Fall on train
T041y	Fall on train, other specified person injured
T041z	Fall on train, unspecified person injured
T042.	Fall from train
T042y	Fall from train, other specified person injured
T042z	Fall from train, unspecified person injured
T430.	Fall on stairs in water transport
T4302	Fall-stairs water transport - crew other watercraft injured
T4303	Fall-stairs water transport - passenger other watercraft inj
T430y	Fall-stairs water transport - other specified person injured
T430z	Fall-stairs water transport - unspecified person injured
T532.	Fall while on board aircraft
T5323	Fall in aircraft - other occ comm aircraft surf/surf injured
T5325	Fall in aircraft - occupant other powered aircraft injured
T532z	Fall in aircraft - other person injured
TC0..	Fall on or from stairs or steps
TC00.	Fall on or from escalator
TC001	Fall from escalator
TC00z	Fall on or from escalator NOS
TC01.	Fall on or from stairs
TC010	Fall on stairs
TC011	Fall from stairs
TC01z	Fall on or from stairs NOS
TC02.	Fall on or from steps
TC020	Fall on steps
TC021	Fall from steps
TC02z	Fall on or from steps NOS
TC0z.	Fall on or from stairs or steps NOS
TC305	Accident caused by fall into swimming pool
TC321	Accidental fall into storm drain
TC3y1	Fall into dock
TC420	Fall from chair
TC421	Fall from bed
TC4y2	Fall from stationary vehicle
TC50.	Fall on same level from slipping
TC51.	Fall on same level from tripping
TC52.	Fall on same level from stumbling
TC53.	Fall on moving sidewalk
TC6..	Fall on same level- collision/push/shove by/with oth person
TC6y.	Fall on same level from other push/shove/collide oth person
TC6y0	Fall on same level from collision with other person, unspec
TC6y1	Fall on same level from pushing by other person, unspecified
TC6y2	Fall on same level from shoving by other person, unspecified
TC6yz	Other fall on same level- push/shove/collide-oth person NOS
TC6z.	Fall on same level- push/shove/collide - other person NOS
TCy..	Other falls
TCy0.	Fall from bump against object
U10..	[X]Falls
U100.	[X]Fall on same level involving ice and snow
U1000	[X]Fall on same level involving ice and snow occurrn home
U1001	[X]Fall same level involv ice / snow occurrn resid instit'n
U1002	[X]Fall sam lvl inv ice/snw occ sch oth inst/pub admin area
U1003	[X]Fall same levl involv ice/snow, occ sport/athlet area
U1004	[X]Fall same levl inv ice and snow, occ street / highway
U1005	[X]Fall same levl inv ice / snow, occ trade / service area
U1006	[X]Fall same levl inv ice/snow, occ indust / construct area
U1007	[X]Fall on same levl involving ice and snow occurrn on farm
U100y	[X]Fall same levl inv ice / snow, occ at other specif place
U100z	[X]Fall same levl inv ice / snow, occ at unspecified place
U102.	[X]Fall involv ice-skates skis roller-skates or skateboards
U1020	[X]Fall inv ice-skate skis roll-skate/skateboard, occ home
U1021	[X]Fall inv ice-skat ski roll-skat/skateboard occ resid inst
U1022	[X]Fall, ice-skt ski rol-skt/skbd, sch oth inst/pub adm area
U1023	[X]Fall inv ice-skt ski rol-skt/skbrd occ sport/athlet area
U1024	[X]Fall inv ice-skat ski roll-skat/skbrd occ street/highway
U1025	[X]Fall inv ice-skt ski rol-skt/skbrd occ trade/servce area
U1026	[X]Fall inv ice-skt ski rol-skt/skbrd indust/construct area
U1027	[X]Fall inv ice-skat ski roll-skat/skatebrd, occur on farm
U102y	[X]Fall inv ice-skt ski roll-skt/skbrd, occ oth spec place
U102z	[X]Fall inv ice-skat ski roll-skat/skbrd occ unspecif place
U103.	[X]Oth fall same levl due collisn/pushing by another person
U1030	[X]Oth fall same levl, collisn/push by anoth pers, occ home
U1031	[X]Oth fall same levl collisn/push anoth pers occ resid inst
U1032	[X]Oth fall lvl col/push anoth per occ sch/inst/pub adm area
U1033	[X]Oth fall sme levl col/push anoth pers occ sport/athl area
U1034	[X]Oth fall sme levl coll/push anoth pers occ street/h'way
U1035	[X]Oth fall sme levl coll/push anth pers occ trad/serv area
U1036	[X]Oth fall sme lvl col/push anoth per occ indus/constr area
U1037	[X]Oth fall sme levl, collisn/push by anoth pers, occ farm
U103y	[X]Oth fall sme levl coll/push anoth per occ oth spec place
U103z	[X]Oth fall same levl coll/push anoth pers occ unspec place
