CTV3ID	description
21260	Epilepsy resolved
6674.	Epilepsy associated problems
6675.	Fit frequency
6676.	Last fit
6678.	Epilepsy treatment changed
6679.	Epilepsy treatment started
667A.	Epilepsy treatment stopped
Eu052	[X]Schizophrenia-like psychosis in epilepsy
F1321	Progressive myoclonic epilepsy
F132z	Myoclonic seizure
F25..	Epilepsy
F250.	Generalised non-convulsive epilepsy
F2500	Petit mal epilepsy
F2502	Epileptic seizures - atonic
F2503	Epileptic seizures - akinetic
F250y	Other specified generalised non-convulsive epilepsy
F250z	Generalised non-convulsive epilepsy NOS
F251.	Generalised convulsive epilepsy
F2510	Grand mal epilepsy
F2511	Benign myoclonic epilepsy in infancy
F2512	Epileptic seizures - clonic
F2513	Epileptic seizures - myoclonic
F2514	Epileptic seizures - tonic
F251y	Other specified generalised convulsive epilepsy
F251z	Generalised convulsive epilepsy NOS
F253.	Status epilepticus
F254.	Partial epilepsy with impairment of consciousness
F2540	Temporal lobe epilepsy
F2542	Psychosensory epilepsy
F2543	Mesiobasal limbic epilepsy
F2544	Epileptic automatism
F254z	Partial epilepsy with impairment of consciousness NOS
F255.	Partial epilepsy without mention of impairment of consciousness
F2551	Epilepsy associated with specific stimuli
F2552	Somatosensory epilepsy
F2553	Partial epilepsy with autonomic symptoms
F2554	Visual reflex epilepsy
F2555	Unilateral epilepsy
F255y	Other specified partial epilepsy without mention of impairment of consciousness
F255z	Partial epilepsy without mention of impairment of consciousness NOS
F257.	Kojevnikov's epilepsy
F25y.	Other forms of epilepsy
F25y0	Cursive (running) epilepsy
F25y1	Gelastic seizure
F25y2	Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
F25yz	Other forms of epilepsy NOS
F25z.	Epilepsy NOS
Fyu50	[X]Other generalised epilepsy and epileptic syndromes
Fyu51	[X]Other epilepsy
Fyu52	[X]Other status epilepticus
Fyu59	[X]Status epilepticus, unspecified
Q480.	Neonatal seizures
R0032	[D]Fit (in non-epileptic) NOS
R0033	[D]Reflex anoxic seizure
R003z	[D]Seizure NOS
SC200	Traumatic epilepsy
Ua2Ci	At risk of epileptic fits
X003Y	Epileptic dementia
X005m	Focal epilepsy
X005o	Centrotemporal epilepsy
X005p	Benign frontal epilepsy of childhood
X005q	Benign psychomotor epilepsy of childhood
X005r	Benign atypical partial epilepsy in childhood
X005s	Epilepsy with recurrent unilateral seizures in children
X005t	Benign occipital epilepsy of childhood
X005u	Benign occipital epilepsy of childhood - early onset variant
X005v	Benign occipital epilepsy of childhood - late onset variant
X005w	Primary inherited reading epilepsy
X005x	Localisation-related symptomatic epilepsy
X005y	Amygdalo-hippocampal epilepsy
X005z	Rhinencephalic epilepsy
X0060	Lateral temporal epilepsy
X0061	Frontal lobe epilepsy
X0062	Supplementary motor epilepsy
X0063	Cingulate epilepsy
X0064	Anterior frontopolar epilepsy
X0065	Orbitofrontal epilepsy
X0066	Dorsolateral epilepsy
X0067	Opercular epilepsy
X0069	Parietal lobe epilepsy
X006A	Occipital lobe epilepsy
X006D	Localisation-related symptomatic epilepsy with specific precipitant
X006E	Hemiplegia-hemiconvulsion-epilepsy syndrome
X006F	Localisation-related cryptogenic epilepsy
X006G	Primary generalised epilepsy
X006H	Benign neonatal epilepsy
X006J	Myoclonic epilepsy of early childhood
X006K	Juvenile absence epilepsy
X006M	Epilepsy with grand mal seizures on awakening
X006N	Cryptogenic generalised epilepsy
X006Q	Lennox-Gastaut syndrome
X006R	Cryptogenic Lennox-Gastaut syndrome
X006S	Symptomatic Lennox-Gastaut syndrome
X006T	Myoclonic astatic epilepsy
X006U	Myoclonic absence epilepsy
X006Y	Myoclonic epilepsy - ragged red fibres
X006Z	Cryptogenic myoclonic epilepsy
X006a	Idiopathic myoclonic epilepsy
X006c	Symptomatic generalised epilepsy
X006f	Symptomatic myoclonic epilepsy
X006g	Situation-related seizures
X006i	Isolated seizures
X006j	Seizures in response to acute event
X006k	Reflex anoxic seizures
X006l	Epilepsy undetermined whether focal or generalised
X006n	Severe myoclonic epilepsy in infancy
X006p	ESSS - Epilepsy with continuous spike wave during slow-wave sleep
X006q	Reading epilepsy
X006s	Secondary reading epilepsy
X006t	Drug-induced epilepsy
X006v	Narcotic withdrawal epilepsy
X006w	Catamenial epilepsy
X006x	Nocturnal epilepsy
X006y	Photogenic epilepsy
X006z	Epilepsy only in relation to photic stimulation
X0072	Writing epilepsy
X0073	Musicogenic epilepsy
X0074	Tactile epilepsy
X0075	Eating epilepsy
X0076	Tapping epilepsy
X0077	Toothbrushing epilepsy
X0078	Decision-making epilepsy
X0079	Immersion-related epilepsy
X007A	Self-induced non-photosensitive epilepsy
X007B	Status epilepticus
X007C	Non-convulsive status epilepticus with 3/s spike wave
X007D	Non-convulsive status epilepticus without 3/s spike wave
X007E	Non-convulsive simple partial status epilepticus
X007G	Complex partial status epilepticus
X00RU	Epileptic psychosis
X00RX	Limbic epilepsy personality syndrome
X20If	Triple X syndrome, epilepsy, and hypogammaglobulinaemia
X75YS	Local seizure
X75YT	Simple partial seizure, consciousness not impaired
X75YU	Simple partial seizure with motor dysfunction
X75YV	Simple partial seizure with focal motor signs without march
X75YW	Simple partial seizure with focal motor signs with march
X75YY	Versive seizure
X75YZ	Postural seizure
X75Ya	Phonatory seizure
X75Yb	Simple partial seizure with somatosensory or special sensory dysfunction
X75Yc	Somatosensory seizure
X75Yd	Visual seizure
X75Ye	Auditory seizure
X75Yf	Olfactory seizure
X75Yg	Gustatory seizure
X75Yh	Vertiginous seizure
X75Yi	Simple partial seizure with autonomic dysfunction
X75Yj	Simple partial seizure with disturbance of higher cerebral function
X75Yk	Dysphasic seizure
X75Yl	Jamais-vu seizure
X75Ym	Cognitive seizure
X75Yn	Affective seizure
X75Yo	Seizure causing illusions
X75Yp	Seizure with structured hallucinations
X75Yq	Simple partial onset of seizure followed by impairment of consciousness
X75Yr	Simple partial seizure followed by impaired consciousness
X75Ys	Simple partial onset of seizure with automatisms
X75Yt	Complex partial seizure with impairment of consciousness at onset
X75Yu	Complex partial seizure with impairment of consciousness only
X75Yv	Complex partial seizure with automatisms
X75Yw	Partial seizure evolving to secondary generalised seizure
X75Yx	Simple partial seizure evolving to secondary generalised seizure
X75Yy	Complex partial seizure evolving to generalised seizure
X75Yz	Simple partial seizure evolving to complex partial seizure evolving to generalised seizure
X75Z0	Generalised seizure
X75Z1	Absence seizure with impairment of consciousness only
X75Z2	Absence seizure with mild clonic components
X75Z3	Absence seizure with atonic components
X75Z4	Absence seizure with tonic components
X75Z5	Absence seizure with automatisms
X75Z6	Absence seizure with autonomic components
X75Z7	Atypical absence seizure
X75Z8	Myoclonic seizure
X75Z9	Clonic seizure
X75ZA	Tonic seizure
X75ZD	Epileptic drop attack
X75ZE	Cursive seizure
XE15I	Progressive myoclonic epilepsy
XE15Y	Convulsive status epilepticus
XE15Z	Motor cortex epilepsy
XE15a	Epilepsy NOS
XE185	Attack - epileptic
XM03h	Tonic-clonic seizure
XM03i	Absence seizure
Xa0Bl	Benign neonatal seizures
Xa0Ji	Seizure undetermined whether focal or generalised
Xa0lJ	Localisation-related idiopathic epilepsy
Xa0s8	Paranoid-hallucinatory epileptic psychosis
XaB4R	Motor epilepsy
XaB4S	Jacksonian, focal or motor epilepsy
XaB4T	Psychomotor epilepsy
XaBM2	Grand mal seizure
XaBY7	Hypoglycaemia-induced seizure
XaC34	Fit (in known epileptic) NOS
