id	name	active	notes
230777006	Monoplegic cerebral palsy affecting upper limb (disorder)	y	direct mapping
230780007	Dyskinetic cerebral palsy (disorder)	y	direct mapping
193207007	Juvenile or adult myasthenia gravis (disorder)	y	direct mapping
448054001	Adult onset autosomal dominant leukodystrophy (disorder)	y	direct mapping
230301006	Akinetic-rigid form of Huntington's disease (disorder)	y	direct mapping
444024002	"Multiple system atrophy, cerebellar variant (disorder)"	y	direct mapping
230773005	Spastic cerebral palsy (disorder)	y	direct mapping
230686005	Generalized myasthenia (disorder)	y	direct mapping
193225000	Hereditary progressive muscular dystrophy (disorder)	y	direct mapping
1593000	Infantile hemiplegia (disorder)	y	direct mapping
307324001	Spastic foot (finding)	y	direct mapping
8.13921E+14	Spastic hemiplegic cerebral palsy (disorder)	y	direct mapping
792004	Jakob-Creutzfeldt disease (disorder)	y	direct mapping
240054004	Autosomal recessive muscular dystrophy with limb girdle distribution (disorder)	y	direct mapping
192685000	Subacute sclerosing panencephalitis (disorder)	y	direct mapping
28978003	Progressive supranuclear ophthalmoplegia (disorder)	y	direct mapping
278284007	Right hemiplegia (disorder)	y	direct mapping
230669004	Genetically determined myasthenia (disorder)	y	direct mapping
91637004	Myasthenia gravis (disorder)	y	direct mapping
58795000	Distal muscular dystrophy (disorder)	y	direct mapping
361273006	Alcoholic cerebellar degeneration (disorder)	y	direct mapping
399091004	Facioscapulohumeral muscular dystrophy (disorder)	y	direct mapping
9.04531E+14	Bilateral spastic cerebral palsy (disorder)	y	direct mapping
230299004	Juvenile onset Huntington's disease (disorder)	y	direct mapping
75019001	Athetoid cerebral palsy (disorder)	y	direct mapping
56989000	Eaton-Lambert syndrome (disorder)	y	direct mapping
80935004	Flaccid hemiplegia (disorder)	y	direct mapping
230672006	Congenital myasthenia (disorder)	y	direct mapping
240064008	Hutterite type of muscular dystrophy (disorder)	y	direct mapping
230300007	Late onset Huntington's disease (disorder)	y	direct mapping
192818008	Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder)	y	direct mapping
240063002	Eichsfeld type congenital muscular dystrophy (disorder)	y	direct mapping
278285008	Left hemiplegia (disorder)	y	direct mapping
193209005	Myasthenic syndrome due to another disorder (disorder)	y	direct mapping
307756005	"Cerebral palsy, not congenital or infantile, acute (disorder)"	y	direct mapping
361272001	Cerebellar ataxia due to alcoholism (disorder)	y	direct mapping
76670001	Duchenne muscular dystrophy (disorder)	y	direct mapping
24326000	"Metachromatic leukodystrophy, adult type (disorder)"	y	direct mapping
240058001	Reunion-Indiana Amish type muscular dystrophy (disorder)	y	direct mapping
240060004	Western type of congenital muscular dystrophy (disorder)	y	direct mapping
8.85831E+14	Choreoathetoid cerebral palsy (disorder)	y	direct mapping
240067001	Autosomal dominant muscular dystrophy with limb girdle distribution (disorder)	y	direct mapping
192958009	Hypotonic cerebral palsy (disorder)	y	direct mapping
387732009	Becker muscular dystrophy (disorder)	y	direct mapping
193206003	Persistent neonatal myasthenia gravis (disorder)	y	direct mapping
44359008	"Metachromatic leukodystrophy, juvenile type (disorder)"	y	direct mapping
47683004	"Metachromatic leukodystrophy, late infantile type (disorder)"	y	direct mapping
240057006	Autosomal recessive muscular dystrophy with gene located at 15q (disorder)	y	direct mapping
93153005	Limb-girdle muscular dystrophy (disorder)	y	direct mapping
111502003	Fukuyama congenital muscular dystrophy (disorder)	y	direct mapping
37340000	Motor neuron disease (disorder)	y	direct mapping
48721008	Quadriplegic cerebral palsy (disorder)	y	direct mapping
277373000	Severe childhood autosomal recessive muscular dystrophy (disorder)	y	direct mapping
193230001	Distal muscular dystrophy with juvenile onset (disorder)	y	direct mapping
240052000	Ji muscular dystrophy (disorder)	y	direct mapping
58193001	Diplegic cerebral palsy (disorder)	y	direct mapping
240076008	Benign scapuloperoneal muscular dystrophy (disorder)	y	direct mapping
128188000	Cerebral palsy (disorder)	y	direct mapping
230685009	Myasthenia gravis associated with thymoma (disorder)	y	direct mapping
230254007	Western Pacific motor neurone disease (disorder)	y	direct mapping
111505001	"Muscle-eye-brain disease, congenital muscular dystrophy (disorder)"	y	direct mapping
10394003	Friedreich's ataxia (disorder)	y	direct mapping
240048000	X-linked muscular dystrophy with abnormal dystrophin (disorder)	y	direct mapping
54304004	Progressive bulbar palsy (disorder)	y	direct mapping
193216006	Congenital and developmental myasthenia (disorder)	y	direct mapping
240051007	X-linked limb girdle muscular dystrophy with normal dystrophin (disorder)	y	direct mapping
240075007	Autosomal dominant muscular dystrophy not predominantly limb girdle (disorder)	y	direct mapping
240078009	Benign congenital muscular dystrophy with finger flexion contractures (disorder)	y	direct mapping
193227008	Pelvic muscular dystrophy (disorder)	y	direct mapping
78468005	Erb's muscular dystrophy (disorder)	y	direct mapping
278286009	Right hemiparesis (disorder)	y	direct mapping
275468009	Congenital quadriplegia (disorder)	y	direct mapping
11538006	Quadriplegia (disorder)	y	direct mapping
304603007	Variant Creutzfeldt-Jakob disease (disorder)	y	direct mapping
240070002	Muscular dystrophy not predominantly limb girdle in distribution (disorder)	y	direct mapping
192819000	Cerebral degeneration due to progressive multifocal leukoencephalopathy (disorder)	y	direct mapping
230367007	Neuraxonal leucodystrophy (disorder)	y	direct mapping
442344002	Dementia due to Huntington chorea (disorder)	y	direct mapping
230255008	Madras-type motor neurone disease (disorder)	y	direct mapping
313434001	Residual hemiplegia (disorder)	y	direct mapping
230702001	Lacunar ataxic hemiparesis (disorder)	y	direct mapping
39058009	Lumbosacral radiculoplexus neuropathy co-occurrent and due to diabetes mellitus (disorder)	y	direct mapping
240069003	Late onset proximal muscular dystrophy with dysarthria (disorder)	y	direct mapping
111501005	Congenital hereditary muscular dystrophy (disorder)	y	direct mapping
230778001	Monoplegic cerebral palsy affecting lower limb (disorder)	y	direct mapping
278287000	Left hemiparesis (disorder)	y	direct mapping
111508004	Emery-Dreifuss muscular dystrophy (disorder)	y	direct mapping
278512001	Ataxic cerebral palsy (disorder)	y	direct mapping
50582007	Hemiplegia (disorder)	y	direct mapping
240059009	Congenital muscular dystrophy (disorder)	y	direct mapping
707621005	Gross motor function classification system for cerebral palsy (assessment scale)	y	direct mapping
20022000	Hemiparesis (disorder)	y	direct mapping
240068006	Autosomal dominant muscular dystrophy with gene located at 5q31 (disorder)	y	direct mapping
240074006	Scapulohumeral muscular dystrophy (disorder)	y	direct mapping
23732000	Primary cerebellar degeneration (disorder)	y	direct mapping
230257000	Paraneoplastic motor neurone disease (disorder)	y	direct mapping
77097004	Oculopharyngeal muscular dystrophy (disorder)	y	direct mapping
230241000	Secondary cerebellar degeneration (disorder)	y	direct mapping
240046001	Muscular dystrophy with predominantly proximal limb girdle distribution (disorder)	y	direct mapping
240073000	Autosomal recessive muscular dystrophy not predominantly limb girdle (disorder)	y	direct mapping
230466004	Alternating hemiplegia of childhood (disorder)	y	direct mapping
713060000	Sporadic Creutzfeldt-Jakob disease (disorder)	y	direct mapping
240047005	X-linked muscular dystrophy with limb girdle distribution (disorder)	y	direct mapping
230687001	Myopathy in myasthenia gravis (disorder)	y	direct mapping
73297009	Muscular dystrophy (disorder)	y	direct mapping
230238009	Progressive spinocerebellar ataxia with retained tendon reflexes (disorder)	y	direct mapping
230564004	Chronic inflammatory demyelinating polyradiculoneuropathy with central nervous system demyelination (disorder)	y	direct mapping
22255007	Progressive multifocal leukoencephalopathy (disorder)	y	direct mapping
58756001	Huntington's chorea (disorder)	y	direct mapping
240049008	Intermediate X-linked muscular dystrophy (disorder)	y	direct mapping
240062007	Ullrich congenital muscular dystrophy (disorder)	y	direct mapping
79633009	Spastic hemiplegia (disorder)	y	direct mapping
230781006	Dystonic/rigid cerebral palsy (disorder)	y	direct mapping
240050008	Manifesting female carrier of X-linked muscular dystrophy (disorder)	y	direct mapping
240071003	X-linked muscular dystrophy not predominantly limb girdle (disorder)	y	direct mapping
