prodcode	CodingSystem	productname	gemscriptcode
47	prodcode	Diazepam 5mg tablets	58981020
107	prodcode	Phenytoin 25mg capsule	65732020
202	prodcode	Phenobarbital 15mg/5ml elixir	55605020
209	prodcode	Primidone 250mg/5ml oral suspension	66215020
432	prodcode	Carbamazepine 100mg tablets	59758020
584	prodcode	Sodium valproate 200mg gastro-resistant tablets	69070020
596	prodcode	Carbamazepine 100mg/5ml oral suspension sugar free	60388020
652	prodcode	Carbamazepine 400mg tablets	59760020
660	prodcode	Gabapentin 100mg capsules	68252020
790	prodcode	Pregabalin 25mg capsules	88034020
795	prodcode	Topiramate 15mg capsules	80221020
816	prodcode	Clonazepam 1mg/1ml solution for injection ampoules and diluent	61489020
819	prodcode	Pregabalin 75mg capsules	88038020
1157	prodcode	Primidone 250mg tablets	66214020
1158	prodcode	Carbamazepine 200mg tablets	59759020
1370	prodcode	Phenytoin 100mg capsule	65736020
1398	prodcode	Epanutin 100mg capsules (Pfizer Ltd)	54769020
1399	prodcode	Phenobarbital 60mg tablets	59037020
1550	prodcode	Sodium valproate 200mg/5ml oral solution	69212020
1559	prodcode	Clonazepam 500microgram tablets	61487020
1576	prodcode	Phenobarbital 30mg tablets	59036020
1584	prodcode	Gabapentin 300mg capsules	68253020
2062	prodcode	Phenytoin sodium 100mg tablets	55594020
2073	prodcode	Clonazepam 2mg tablets	61488020
2077	prodcode	TEGRETOL liq 100 MG/5ML LIQ	3520007
2079	prodcode	Lamotrigine 25mg tablets	66061020
2080	prodcode	Lamotrigine 50mg tablets	66059020
2081	prodcode	Lamotrigine 5mg dispersible tablets sugar free	75707020
2082	prodcode	Epilim 200mg/5ml liquid (Sanofi)	69797020
2085	prodcode	Tegretol 200mg tablets (Novartis Pharmaceuticals UK Ltd)	54570020
2128	prodcode	Phenytoin 50mg capsule	65733020
2284	prodcode	Diamox sr 250mg Capsule (Wyeth Pharmaceuticals)	56850020
2388	prodcode	Carbamazepine 200mg modified-release tablets	72634020
2401	prodcode	Valium 2mg Tablet (Roche Products Ltd)	52129020
2551	prodcode	Acetazolamide 250mg tablets	59941020
2782	prodcode	Phenytoin sodium 50mg tablets	55593020
2821	prodcode	Vigabatrin 500mg tablets	71955020
2822	prodcode	Epilim ec 500mg Gastro-resistant tablet (Sanofi)	69792020
2823	prodcode	Tegretol retard 200mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)	72792020
2824	prodcode	Tegretol retard 400mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)	72793020
2830	prodcode	Piracetam 1.2g tablets	74449020
3068	prodcode	Phenytoin 300mg capsule	65738020
3107	prodcode	Epilim Chrono 500 tablets (Sanofi)	74925020
3108	prodcode	Ethosuximide 250mg capsules	60918020
3109	prodcode	CLOBAZAM 5 MG TAB	3839007
3110	prodcode	Clobazam 10mg capsules	61431020
3225	prodcode	Phenobarbital sodium 30mg tablet	59573020
3263	prodcode	Acetazolamide 250mg modified-release capsules	59948020
3265	prodcode	Diamox 250mg Tablet (Wyeth Pharmaceuticals)	54723020
3350	prodcode	Sodium valproate 500mg gastro-resistant tablets	69071020
3446	prodcode	Zarontin 250mg capsules (Pfizer Ltd)	52336020
3569	prodcode	Carbamazepine 400mg modified-release tablets	72635020
3731	prodcode	Epilim ec 200mg Gastro-resistant tablet (Sanofi)	69791020
