CTV3ID	description
44W2.	Phenobarbitone: blood
X78EL	Fetal carbamazepine syndrome
X78EQ	Fetal primidone syndrome
X7957	Carbamazepine - chemical
X796h	Phenobarbitone - chemical
X796l	Phenytoin - chemical
XC0RS	Valproate
XaCE2	Vigabatrin - chemical
XaD4O	Valproic acid and derivatives
a517.	Cantil+phenobarbitone tablet
bc6..	Phenytoin sodium [antiarrythmic]
bc61.	Epanutin Ready Mixed Parenteral 250mg/5mL injection
bc62.	Phenytoin 250mg/5mL injection
d21..	Diazepam [anxiolytic]
d211.	Diazepam 2mg capsule
d212.	Diazepam 5mg capsule
d213.	Diazepam 2mg tablet
d214.	Diazepam 5mg tablet
d215.	Diazepam 10mg tablet
d216.	Diazepam 2mg/5mL oral solution
d21A.	Diazepam 5mg/5mL oral solution
d21H.	Diazepam 1mg/5mL suspension
d21I.	Diazepam 2.5mg/5mL suspension
d21J.	Diazepam 10mg/5mL suspension
d21z.	Diazepam 10mg suppository
d26..	Clobazam
d261.	Clobazam 10mg capsule
d263.	Clobazam 10mg tablet
d266.	CLOBAZAM 5mg/5mL oral suspension
d268.	CLOBAZAM 10mg/5mL oral suspension
dn1..	Acetazolamide [epilepsy]
dn11.	Diamox [ep] 500mg m/r capsules
dn12.	Diamox [ep] 250mg tablets
dn13.	Diamox [ep] 500mg injection
dn1y.	Acetazolamide [ep] 250mg tablets
dn1z.	Acetazolamide [ep] 500mg injection
dn3..	Carbamazepine product
dn31.	Carbamazepine 100mg tablet
dn32.	Carbamazepine 200mg tablet
dn33.	Carbamazepine 400mg tablet
dn34.	Tegretol 100mg tablet
dn35.	Tegretol 200mg tablet
dn36.	Tegretol 400mg tablet
dn37.	Tegretol 100mg/5mL oral liquid
dn38.	Tegretol Retard 200mg m/r tablet
dn39.	Tegretol Retard 400mg m/r tablet
dn3A.	Epimaz 100mg tablet
dn3B.	Epimaz 200mg tablet
dn3C.	Epimaz 400mg tablet
dn3D.	Tegretol 125mg suppository
dn3E.	Tegretol 250mg suppository
dn3F.	Timonil Retard 200mg m/r tablet
dn3G.	Timonil Retard 400mg m/r tablet
dn3H.	Teril Retard 200mg m/r tablet
dn3I.	Teril Retard 400mg m/r tablet
dn3J.	Carbagen SR 200mg m/r tablet
dn3K.	Carbagen SR 400mg m/r tablet
dn3a.	Carbamazepine 200mg m/r tablet
dn3b.	Carbamazepine 400mg m/r tablet
dn3c.	Tegretol 100mg chewable tablet
dn3d.	Tegretol 200mg chewable tablet
dn3e.	Arbil MR 200mg m/r tablet
dn3f.	Arbil MR 400mg m/r tablet
dn3v.	Carbamazepine 125mg suppository
dn3w.	Carbamazepine 250mg suppository
dn3x.	Carbamazepine 200mg chewable tablet
dn3y.	Carbamazepine 100mg chewable tablet
dn3z.	Carbamazepine 100mg/5mL oral liquid
dn4..	Clonazepam [epilepsy control]
dn41.	Rivotril 500mcg tablet
dn42.	Rivotril 2mg tablet
dn4w.	Clonazepam 0.5mg/5mL s/f oral solution
dn4x.	Clonazepam 2mg/5mL s/f oral solution
dn4y.	Clonazepam 500micrograms tablet
dn4z.	Clonazepam 2mg tablet
dn5..	Ethosuximide
dn53.	Emeside 250mg capsule
dn54.	Emeside 250mg/5mL syrup
dn55.	Zarontin 250mg capsule
dn56.	Zarontin 250mg/5mL syrup
dn5x.	Ethosuximide 250mg capsule
dn5y.	Ethosuximide 250mg/5mL elixir
dn5z.	Ethosuximide 250mg/5mL oral solution
dn7..	Phenobarbital
dn71.	Phenobarbital 15mg tablet
dn72.	Phenobarbital 30mg tablet
dn73.	Phenobarbital 60mg tablet
dn74.	Phenobarbital 100mg tablet
dn75.	Phenobarbitone sodium 30mg tablets
dn76.	Phenobarbitone sodium 60mg tablets
dn77.	Phenobarbitone 15mg/10mL elixir
dn78.	Phenobarbital sodium 200mg/1mL injection
dn79.	Gardenal Sodium 200mg/1mL injection
dn7a.	Luminal 15mg tablet
dn7b.	Luminal 30mg tablet
dn7c.	Luminal 60mg tablet
dn7d.	Phenobarbital 15mg/5mL elixir
dn81.	Epanutin 30mg/5mL suspension
dn82.	Epanutin 50mg Infatab
dn83.	Phenytoin 50mg chewable tablet
dn8y.	Phenytoin 30mg/5mL oral suspension
