Xa0lV	Peripheral arterial disease
XE0VP	Other peripheral vascular disease
XE0XC	Vasc. dis. periph. NOS
G73y.	Other specified peripheral vascular disease
G73z.	Peripheral vascular disease NOS
G73yz	Other specified peripheral vascular disease NOS
Gyu74	[X]Other specified peripheral vascular diseases
G73..	Other peripheral vascular disease
X203Q	Peripheral ischaemic vascular disease
X203R	Ischaemic arm
X203T	Ischaemic leg
G73z0	Vascular claudication
XE0VR	Intermittent claudication
XSDWB	Venous claudication
bn6..	Other drugs for peripheral vascular disease
XM1Qu	Claudication
XaZJa	Ischaemic leg pain at rest
G73y0	Diabetic peripheral angiopathy
Gyu7A	[X]Peripheral angiopathy in diseases classified elsewhere
XaFmK	Type I diabetes mellitus with peripheral angiopathy
XaFn7	Type II diabetes mellitus with peripheral angiopathy
G73y1	Peripheral angiopathic disease EC NOS
X203U	Critical lower limb ischaemia
Xa7lT	Ischaemia of feet
Xa84U	Ischaemic foot
XaB5V	Trash foot
XaB5X	Ischaemic toe
XabhR	Ischaemic foot pain at rest
XaE3G	Critical ischaemia of foot
C107.	Diabetes mellitus with peripheral circulatory disorder
C1073	IDDM with peripheral circulatory disorder
C107y	Other specified diabetes mellitus with peripheral circulatory complications
C107z	Diabetes mellitus NOS with peripheral circulatory disorder
XE10I	Diabetes mellitus with peripheral circulatory disorder

