medcode	readcode	Description	CodingSystem
1638	J615z13	Cirrhosis of liver NOS	readcode
1641	G85..11	Oesophageal varices	readcode
1754	J614.00	Chronic hepatitis	readcode
1755	J614200	Chronic aggressive hepatitis	readcode
2834	A705000	Viral hepatitis C without mention of hepatic coma	readcode
2860	A703.00	Viral (serum) hepatitis B	readcode
3450	J615300	Diffuse nodular cirrhosis	readcode
4743	J612.00	Alcoholic cirrhosis of liver	readcode
5129	J623.00	Portal hypertension	readcode
5638	J616000	Primary biliary cirrhosis	readcode
6015	Jyu7100	[X]Other and unspecified cirrhosis of liver	readcode
6800	65Q7.00	Viral hepatitis carrier	readcode
6863	J61..00	Cirrhosis and chronic liver disease	readcode
7602	J617000	Chronic alcoholic hepatitis	readcode
7943	J617.00	Alcoholic hepatitis	readcode
7957	J614111	Autoimmune chronic active hepatitis	readcode
8206	C350012	Pigmentary cirrhosis of liver	readcode
8363	G852300	Oesophageal varices in alcoholic cirrhosis of the liver	readcode
9029	J614100	Chronic active hepatitis	readcode
9494	J616.00	Biliary cirrhosis	readcode
10539	J61z.00	Chronic liver disease NOS	readcode
10636	J624.00	Hepatorenal syndrome	readcode
10797	G858.00	Oesophageal varices NOS	readcode
11431	ZV02B00	[V]Hepatitis B carrier	readcode
11960	760C300	Fibreoptic endoscopic injection sclerotherapy oesoph varices	readcode
15424	J616100	Secondary biliary cirrhosis	readcode
15489	J614z00	Chronic hepatitis NOS	readcode
16455	J615z00	Non-alcoholic cirrhosis NOS	readcode
16725	J615.00	Cirrhosis - non alcoholic	readcode
16759	760C500	Fibreoptic endoscopic banding of oesophageal varices	readcode
16766	ZV02600	[V]Viral hepatitis carrier	readcode
17219	J635300	Toxic liver disease with chronic persistent hepatitis	readcode
18652	J63B.00	Autoimmune hepatitis	readcode
18739	J615z12	Cryptogenic cirrhosis of liver	readcode
19512	C310400	Glycogenosis with hepatic cirrhosis	readcode
20233	7609z00	Open operation on oesophageal varices NOS	readcode
20912	7609400	Open injection sclerotherapy to oesophageal varices	readcode
21713	J612000	Alcoholic fibrosis and sclerosis of liver	readcode
22841	J615z11	Macronodular cirrhosis of liver	readcode
23578	J614000	Chronic persistent hepatitis	readcode
24220	7609.00	Open operations on oesophageal varices	readcode
24813	A707000	Chronic viral hepatitis B with delta-agent	readcode
24989	G850.00	Oesophageal varices with bleeding	readcode
25383	J61y400	Hepatic fibrosis	readcode
25589	C376100	Alpha-1-antitrypsin hepatitis	readcode
26037	C32y511	Hepatic familial steatosis	readcode
26319	G852200	Oesophageal varices in cirrhosis of the liver	readcode
26367	A707.00	Chronic viral hepatitis	readcode
27438	J615700	Cardiac portal cirrhosis	readcode
27663	J63X.00	"Granulomatous hepatitis, not elsewhere classified"	readcode
28703	ZV02C00	[V]Hepatitis C carrier	readcode
