medcode	readcode	Description	CodingSystem
352	J12..00	Duodenal ulcer - (DU)	readcode
657	J12y200	Unspecified duodenal ulcer with perforation	readcode
670	J13..00	Peptic ulcer - (PU) site unspecified	readcode
1262	J11..00	Gastric ulcer - (GU)	readcode
1295	J14..15	Stomal ulcer	readcode
3101	J11..12	Pyloric ulcer	readcode
3462	J123.00	Duodenal erosion	readcode
4741	7627000	Closure of perforated duodenal ulcer	readcode
5521	J130200	Acute peptic ulcer with perforation	readcode
5928	7627	Operations on duodenal ulcer	readcode
6333	J11..11	Prepyloric ulcer	readcode
6865	761J.11	Stomach ulcer operations	readcode
9853	J121.00	Chronic duodenal ulcer	readcode
11104	J111211	Perforated chronic gastric ulcer	readcode
11124	J110111	Bleeding acute gastric ulcer	readcode
14671	J110200	Acute gastric ulcer with perforation	readcode
15175	J12z.00	Duodenal ulcer NOS	readcode
15403	J14z.00	Gastrojejunal ulcer NOS	readcode
15821	J13..11	Stress ulcer NOS	readcode
15979	J14y200	Unspecified gastrojejunal ulcer with perforation	readcode
18001	J120100	Acute duodenal ulcer with haemorrhage	readcode
18027	J120.00	Acute duodenal ulcer	readcode
18324	J120200	Acute duodenal ulcer with perforation	readcode
18625	J121111	Bleeding chronic duodenal ulcer	readcode
18654	J111.00	Chronic gastric ulcer	readcode
19928	J13z.00	Peptic ulcer NOS	readcode
20677	761J000	Closure of perforated gastric ulcer	readcode
22918	J122.00	Duodenal ulcer disease	readcode
23082	J14..00	Gastrojejunal ulcer (GJU)	readcode
23688	761J.00	Operations on gastric ulcer	readcode
24021	J102000	Peptic ulcer of oesophagus	readcode
24040	J110.00	Acute gastric ulcer	readcode
24342	J110y00	Acute gastric ulcer unspecified	readcode
26261	ZV12711	[V]Personal history of peptic ulcer	readcode
28366	J12yy00	Unspec duodenal ulcer; unspec haemorrhage and/or perforation	readcode
29317	J124.00	Recurrent duodenal ulcer	readcode
29771	J11z.00	Gastric ulcer NOS	readcode
30054	J110100	Acute gastric ulcer with haemorrhage	readcode
32856	J130.00	Acute peptic ulcer	readcode
33438	J121000	Chronic duodenal ulcer without mention of complication	readcode
33914	761Jz00	Operation on gastric ulcer NOS	readcode
36461	J11y200	Unspecified gastric ulcer with perforation	readcode
36583	J111111	Bleeding chronic gastric ulcer	readcode
37620	J131200	Chronic peptic ulcer with perforation	readcode
40997	J131.00	Chronic peptic ulcer	readcode
41271	ZV12C00	[V] Personal history of gastric ulcer	readcode
42274	J140z00	Acute gastrojejunal ulcer NOS	readcode
44073	J121400	Chronic duodenal ulcer with obstruction	readcode
44284	J11yz00	Unspecified gastric ulcer NOS	readcode
44309	J111z00	Chronic gastric ulcer NOS	readcode
44324	J110z00	Acute gastric ulcer NOS	readcode
44335	J120000	Acute duodenal ulcer without mention of complication	readcode
44637	J130100	Acute peptic ulcer with haemorrhage	readcode
45184	J140.00	Acute gastrojejunal ulcer	readcode
45304	J130300	Acute peptic ulcer with haemorrhage and perforation	readcode
48730	J120300	Acute duodenal ulcer with haemorrhage and perforation	readcode
48946	J111000	Chronic gastric ulcer without mention of complication	readcode
50048	J130z00	Acute peptic ulcer NOS	readcode
50497	J13y.00	Unspecified peptic ulcer	readcode
51406	J121z00	Chronic duodenal ulcer NOS	readcode
52138	J121y00	Chronic duodenal ulcer unspecified	readcode
52313	J131400	Chronic peptic ulcer with obstruction	readcode
52323	J11z.12	Multiple gastric ulcers	readcode
53081	J11y.00	Unspecified gastric ulcer	readcode
53126	J131100	Chronic peptic ulcer with haemorrhage	readcode
53336	J111200	Chronic gastric ulcer with perforation	readcode
53669	J12y.00	Unspecified duodenal ulcer	readcode
53797	J120z00	Acute duodenal ulcer NOS	readcode
53822	J120y00	Acute duodenal ulcer unspecified	readcode
57958	J11y100	Unspecified gastric ulcer with haemorrhage	readcode
60249	J13yz00	Unspecified peptic ulcer NOS	readcode
60346	J14y100	Unspecified gastrojejunal ulcer with haemorrhage	readcode
