CTV3ID	Description
Ub0eF	Lactitol - value
X771E	Presence of laxative
X77Yb	Sodium sulphate loading test
X796i	Phenolphthalein
X7A0i	Polyethylene glycol precipitation
X807j	PEG - Polyethylene glycol
XM0l3	Lactulose
a4dy.	Alverine citrate+sterculia 0.5%/62% granules
a4e3.	Colven 135mg granules
a4e5.	Fybogel Mebeverine sachet
ab11.	Fybranta 2g tablet
ab13.	Proctofibe tablet
ab14.	Trifyba 3.5g/sachet powder
ab15.	Trifyba 250g powder
ab16.	Wheat fibre 80% powder
ab2..	Ispaghula husk [gastro-intestinal bulk laxative]
ab21.	Fybogel 3.5g/sachet s/f granules
ab22.	Fybogel Orange 3.5g/sachet s/f granules
ab23.	Isogel granules
ab24.	Metamucil 49% powder 7g
ab25.	Metamucil powder
ab26.	Regulan 3.6g/sachet powder
ab28.	Manevac granules 250g
ab29.	Manevac sachets 4x14
ab2A.	Manevac granules 400g
ab2B.	Regulan orange s/f powder
ab2C.	Konsyl 6g/sachet s/f powder
ab2D.	Konsyl Dex 3.4g/sachet powder
ab2E.	Konsyl Orange 3.4g/sachet powder
ab2F.	Regulan lemon/lime s/f powder
ab2G.	Ispaghula husk 3.4g/sachet powder
ab2H.	Fybogel Lemon 3.5g/sachet s/f granules
ab2J.	Ispaghula husk 3.4g/sachet s/f powder
ab2K.	Ispaghula husk 6g/sachet s/f powder
ab2L.	Konsyl Orange 3.5g/sachet s/f granules
ab2M.	Ispagel 3.5g/sachet s/f powder
ab2N.	Fybogel Orange s/f granules 150g
ab2O.	Senokot Hi-Fibre Orange 3.5g/sachet s/f granules
ab2P.	Senokot Hi-Fibre Lemon 3.5g/sachet s/f granules
ab2Q.	Fibrelief Orange 3.5g/sachet s/f granules
ab2R.	Fibrelief 3.5g/sachet s/f granules
ab2n.	Ispaghula husk 3.5g/sachet s/f powder
ab2o.	Ispaghula husk lemon/lime 3.4g/sachet s/f powder
ab2p.	Ispaghula husk orange 3.4g/sachet s/f powder
ab2q.	Ispaghula husk orange 3.5g/sachet s/f granules
ab2r.	Ispaghula husk lemon 3.5g/sachet s/f granules
ab2s.	Senna+ispaghula 12.4%/54.2% granules
ab2t.	Ispaghula husk 3.6g/sachet powder
ab2u.	Ispaghula husk 3.5g/sachet s/f granules
ab2v.	Ispaghula husk 90% granules
ab2w.	Ispaghula husk 49% powder 7g
ab2x.	Ispaghula husk 49% powder
ab2y.	Ispaghula husk 56% powder 6.4g
ab2z.	Ispaghula husk 66% granules
ab3..	Methylcellulose [gastro-intestinal bulk laxative]
ab31.	Methylcellulose granules
ab32.	Methylcellulose 900mg/10mL mixture
ab33.	Celevac 500mg tablet
ab34.	Celevac granules
ab35.	Cellucon 500mg tablet
ab36.	Cologel 900mg/10mL mixture
ab37.	Methylcellulose-450 500mg tablet
ab4..	Sterculia [bulk laxative]
ab41.	Normacol 500g granules
ab42.	Normacol granules 7g/sachet
ab43.	Normacol Plus granules 200g
ab44.	Normacol Plus granules 500g
ab45.	Normacol Plus granules 7g/sachet
ab4x.	Sterculia+frangula 62%/8% granules
ab4y.	Sterculia 62% granules
ab4z.	Sterculia granules 7g
ac...	Stimulant laxatives
ac1..	Bisacodyl
