readcode	description
a4e3.00	*COLVEN 135mg granules
a4e5.00	FYBOGEL-MEBEVERINE orange granules
ab11.00	*FYBRANTA 2g tablets
ab13.00	*PROCTOFIBE 375mg tablets
ab14.00	*TRIFYBA 3.5g powder
ab15.00	*TRIFYBA 250g powder
ab2..00	ISPAGHULA HUSK [GASTRO-INTESTINAL BULK LAXATIVE]
ab21.00	FYBOGEL 3.5g plain sugar free granules
ab22.00	FYBOGEL 3.5g orange sugar free granules
ab23.00	*ISOGEL 90% granules
ab24.00	*METAMUCIL 49% powder 7g
ab25.00	*METAMUCIL 49% powder
ab26.00	*REGULAN powder 3.6g
ab28.00	*MANEVAC granules 250g
ab28.11	*AGIOLAX granules 250g
ab29.00	*MANEVAC sachets 4x14
ab2A.00	MANEVAC granules 400g
ab2B.00	REGULAN orange sugar free powder
ab2C.00	*KONSYL 6g s/f powder sachet
ab2D.00	*KONSYL DEX 3.4g powder sachet
ab2E.00	*KONSYL ORANGE 3.4g pdr sachet
ab2F.00	REGULAN lemon/lime sugar free powder
ab2G.00	ISPAGHULA HUSK 3.4g/sachet powder
ab2H.00	FYBOGEL 3.5g lemon sugar free granules
ab2J.00	ISPAGHULA HUSK 3.4g/sachet sugar free powder
ab2K.00	ISPAGHULA HUSK 6g/sachet sugar free powder
ab2L.00	KONSYL ORANGE 3.5g/sachet sugar free granules
ab2M.00	ISPAGEL 3.5g/sachet sugar free powder
ab2N.00	FYBOGEL orange s/f granules 150g
ab2O.00	SENOKOT HI-FIBRE ORANGE 3.5g sachets s/f granules
ab2P.00	SENOKOT HI-FIBRE LEMON 3.5g sachets s/f granules
ab2Q.00	FIBRELIEF ORANGE 3.5g/sachet sugar free granules
ab2R.00	FIBRELIEF 3.5g/sachet sugar free granules
ab2n.00	ISPAGHULA HUSK 3.5g/sachet sugar free powder
ab2o.00	ISPAGHULA HUSK lemon/lime 3.4g/sachet sugar free powder
ab2p.00	ISPAGHULA HUSK orange 3.4g/sachet sugar free powder
ab2q.00	ISPAGHULA HUSK orange 3.5g/sachet sugar free granules
ab2r.00	ISPAGHULA HUSK lemon 3.5g/sachet sugar free granules
ab2t.00	ISPAGHULA HUSK 3.6g/sachet powder
ab2u.00	ISPAGHULA HUSK 3.5g/sachet sugar free granules
ab2v.00	*ISPAGHULA HUSK 90% granules
ab2w.00	*ISPAGHULA HUSK 49% powder 7g
ab2x.00	*ISPAGHULA HUSK 49% powder
ab2y.00	ISPAGHULA HUSK 56% powder 6.4g
ab2z.00	*ISPAGHULA HUSK 66% granules
ab3..00	METHYLCELLULOSE [GASTRO-INTESTINAL BULK LAXATIVE]
ab31.00	*METHYLCELLULOSE granules
ab32.00	METHYLCELLULOSE 900mg/10mL mixture
ab33.00	CELEVAC 500mg tablets
ab34.00	*CELEVAC granules
ab35.00	*CELLUCON 500mg tablets
ab36.00	*COLOGEL 900mg/10mL mixture
ab37.00	METHYLCELLULOSE 500mg tablets
ab3y.00	*METHYLCELLULOSE granules
ab4..00	STERCULIA [BULK LAXATIVE]
ab41.00	NORMACOL 500g granules
ab42.00	NORMACOL granules 7g/sachet
ab43.00	*NORMACOL PLUS granules 200g
ab44.00	NORMACOL PLUS granules 500g
ab45.00	NORMACOL PLUS granules 7g/sachet
ab4x.00	STERCULIA + FRANGULA 62%/8% granules
ab4y.00	STERCULIA 62% granules
ab4z.00	*STERCULIA granules 7g
ac...00	STIMULANT LAXATIVES
ac1..00	BISACODYL
ac11.00	BISACODYL 5mg tablets
ac12.00	DULCO-LAX 5mg tablets
ac13.00	*DULCODOS tablets
ac14.00	ENTROLAX 5mg e/c tablets
ac15.00	ENTROLAX CONSTIPATION RELIEF 5mg e/c tablets
ac16.00	VANTAGE PHARMACY CONSTIPATION RELIEF 5mg e/c tablets
ac2..00	CASCARA
ac21.00	*CASCARA 20mg tablets
ac3..00	CASTOR OIL [LAXATIVE]
ac41.00	CO-DANTHRAMER 200mg/25mg capsules
ac42.00	CO-DANTHRAMER 200mg/25mg/5mL suspension
ac43.00	CO-DANTHRAMER STRONG 1000mg/75mg/5mL suspension
ac44.00	CO-DANTHRUSATE capsules
ac45.00	NORMAX capsules
ac46.00	*CODALAX liquid 300mL
ac47.00	*CODALAX liquid 1 litre
ac48.00	*CODALAX FORTE liquid 300mL
ac49.00	*CODALAX FORTE liquid 1 litre
ac4A.00	NORMAX suspension
ac4B.00	CO-DANTHRUSATE suspension
ac4C.00	CO-DANTHRAMER STRONG 500mg/37.5mg capsules
ac4D.00	*AILAX suspension
ac4E.00	*CAPSUVAC capsules
ac4F.00	*AILAX FORTE suspension
ac4a.00	*CODALAX FORTE liquid 100mL
ac5..00	DOCUSATE SODIUM
ac51.00	*DIOCTYL 100mg tablets
ac52.00	DIOCTYL PAED 12.5mg/5mL syrup 125mL
ac53.00	DIOCTYL 50mg/5mL solution
ac53.11	DOCUSOL 50mg/5mL solution
ac54.00	*DOCUSATE SODIUM 100mg tablets
ac55.00	DOCUSATE SODIUM PAEDIATRIC 12.5mg/5mL syrup
ac56.00	DOCUSATE 50mg/5mL solution
ac57.00	DIOCTYL PAEDIATRIC 12.5mg/5mL syrup 300mL
ac57.11	DOCUSOL 12.5mg/5mL paediatric solution 300mL
