prodcode	CodingSystem	productname	gemscriptcode
12	prodcode	Lactulose 3.35g/5ml Oral solution	63906020
52	prodcode	Senna 7.5mg tablets	66580020
54	prodcode	Fybogel sugar free Granules (Reckitt Benckiser Healthcare (UK) Ltd)	58283020
171	prodcode	Senokot 7.5mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)	58306020
174	prodcode	Milk of magnesia Liquid (Sterling-Winthrop)	73609020
358	prodcode	Co-danthrusate 50mg/60mg capsules	68225020
1026	prodcode	Fybogel Mebeverine effervescent granules sachets orange (Reckitt Benckiser Healthcare (UK) Ltd)	52040020
1207	prodcode	Micolette Micro-enema 5ml (Pinewood Healthcare)	52561020
1227	prodcode	Ispaghula husk gluten-free sugar free granules	66411020
1435	prodcode	Micralax micro Enema (UCB Pharma Ltd)	50397020
1561	prodcode	Co-danthramer 25mg/200mg/5ml oral suspension sugar free	72423020
1655	prodcode	ISPAGHULA HUSK 66 % GRA	2376007
1701	prodcode	Lactitol 10g Powder	53840020
1858	prodcode	Senna 7.5mg/5ml oral solution	66581020
2063	prodcode	Co-danthrusate 50mg/60mg/5ml oral suspension sugar free	68226020
2173	prodcode	Magnesium sulfate mixture	52469020
2337	prodcode	Ispaghula husk 3.4g oral powder sachets gluten free sugar free	66417020
2364	prodcode	Celevac 500mg tablets (AMCo)	48595020
2451	prodcode	Bisacodyl 5mg gastro-resistant tablets	67675020
2468	prodcode	Docusate 100mg capsules	62781020
2494	prodcode	Manevac granules (Meda Pharmaceuticals Ltd)	68582020
2582	prodcode	Ispaghula husk gluten-free sugar free 3.6g effervesant powder	66416020
2699	prodcode	Docusate sodium 100mg tablets	62769020
2770	prodcode	Bisacodyl 5mg suppositories	69611020
2771	prodcode	Bisacodyl 10mg suppositories	69612020
2861	prodcode	Magnesium hydroxide oral suspension	54288020
2905	prodcode	Docusol Paediatric 12.5mg/5ml oral solution (Typharm Ltd)	62797020
2989	prodcode	Glycerol 1g suppositories	52447020
2993	prodcode	Isogel Granules (Pfizer Consumer Healthcare Ltd)	49976020
3098	prodcode	Regulan 3.4g Powder (Procter & Gamble (Health & Beauty Care) Ltd)	51360020
3106	prodcode	Dioctyl 100mg Capsule (Schwarz Pharma Ltd)	62793020
3149	prodcode	Methylcellulose 500mg tablets	64544020
3160	prodcode	Glycerol 2g suppositories	52448020
3245	prodcode	Sodium picosulfate 5mg/5ml oral solution sugar free	66673020
3247	prodcode	Picolax oral powder 16.1g sachets (Ferring Pharmaceuticals Ltd)	66678020
3315	prodcode	Dorbanex forte Liquid (3M Health Care Ltd)	49098020
3337	prodcode	Normacol Granules (Norgine Pharmaceuticals Ltd)	54984020
3338	prodcode	Sterculia 62% granules	66741020
3339	prodcode	Normacol plus Granules (Norgine Pharmaceuticals Ltd)	50765020
3531	prodcode	Magnesium hydroxide 415mg/5ml oral suspension sugar free	54289020
3558	prodcode	Docusate 12.5mg/5ml oral solution sugar free	62780020
3672	prodcode	Senokot 7.5mg/5ml syrup (Reckitt Benckiser Healthcare (UK) Ltd)	58309020
3946	prodcode	Relaxit Enema (Crawford Healthcare Ltd)	71306020
3949	prodcode	Alvercol Granules (Norgine Pharmaceuticals Ltd)	72848020
4033	prodcode	Arachis oil 130ml enema	70760020
4056	prodcode	Dioctyl 50mg/5ml Oral solution (Schwarz Pharma Ltd)	62792020
