snomed	description
235648004	Acute drug-induced ulcer of stomach
196652006	Acute duodenal ulcer
12847006	Acute duodenal ulcer with haemorrhage
87756006	Acute duodenal ulcer with haemorrhage AND obstruction
86895006	Acute duodenal ulcer with haemorrhage AND perforation
51847008	Acute duodenal ulcer with haemorrhage AND with perforation but without obstruction
66767006	Acute duodenal ulcer with haemorrhage but without obstruction
41986000	Acute duodenal ulcer with haemorrhage, with perforation AND with obstruction
196658005	Acute duodenal ulcer with obstruction
61347001	Acute duodenal ulcer with perforation
62936002	Acute duodenal ulcer with perforation AND obstruction
22511002	Acute duodenal ulcer with perforation but without obstruction
32490005	Acute duodenal ulcer without haemorrhage AND without perforation
75342000	Acute duodenal ulcer without haemorrhage AND without perforation but with obstruction
23693000	Acute duodenal ulcer without haemorrhage, without perforation AND without obstruction
39344002	Acute erosion of duodenum
444926003	Acute erosive gastritis
111350000	Acute gastric erosion associated with drug ingestion
18665000	Acute gastric mucosal erosion
95529005	Acute gastric ulcer
89748001	Acute gastric ulcer with haemorrhage
46708007	Acute gastric ulcer with haemorrhage AND obstruction
48974009	Acute gastric ulcer with haemorrhage AND perforation
17067009	Acute gastric ulcer with haemorrhage AND with perforation but without obstruction
70418001	Acute gastric ulcer with haemorrhage but without obstruction
53337006	Acute gastric ulcer with haemorrhage, with perforation AND with obstruction
196632005	Acute gastric ulcer with obstruction
19850005	Acute gastric ulcer with perforation
43694004	Acute gastric ulcer with perforation AND obstruction
90628007	Acute gastric ulcer with perforation but without obstruction
67964002	Acute gastric ulcer without haemorrhage AND without perforation
81225008	Acute gastric ulcer without haemorrhage AND without perforation but with obstruction
54053008	Acute gastric ulcer without haemorrhage, without perforation AND without obstruction
196707000	Acute gastrojejunal ulcer
63954007	Acute gastrojejunal ulcer with haemorrhage
72408002	Acute gastrojejunal ulcer with haemorrhage AND obstruction
81387001	Acute gastrojejunal ulcer with haemorrhage AND perforation
66673003	Acute gastrojejunal ulcer with haemorrhage AND with perforation but without obstruction
59515005	Acute gastrojejunal ulcer with haemorrhage but without obstruction
58711008	Acute gastrojejunal ulcer with haemorrhage, with perforation AND with obstruction
196712004	Acute gastrojejunal ulcer with obstruction
66636001	Acute gastrojejunal ulcer with perforation
72219001	Acute gastrojejunal ulcer with perforation AND obstruction
72395008	Acute gastrojejunal ulcer with perforation but without obstruction
30514008	Acute gastrojejunal ulcer without haemorrhage AND without perforation
10389003	Acute gastrojejunal ulcer without haemorrhage AND without perforation but with obstruction
77987006	Acute gastrojejunal ulcer without haemorrhage, without perforation AND without obstruction
183281000119107	Acute marginal gastrojejunal ulcer
196682000	Acute peptic ulcer
235687004	Acute peptic ulcer of duodenum
235647009	Acute peptic ulcer of stomach
12274003	Acute peptic ulcer with haemorrhage
43406003	Acute peptic ulcer with haemorrhage AND obstruction
111353003	Acute peptic ulcer with haemorrhage and perforation
47064007	Acute peptic ulcer with haemorrhage AND with perforation but without obstruction
22157005	Acute peptic ulcer with haemorrhage but without obstruction
28945005	Acute peptic ulcer with haemorrhage, with perforation AND with obstruction
196687006	Acute peptic ulcer with obstruction
79118000	Acute peptic ulcer with perforation
35681000	Acute peptic ulcer with perforation AND obstruction
34921009	Acute peptic ulcer with perforation but without obstruction
45485004	Acute peptic ulcer without haemorrhage AND without perforation
58085004	Acute peptic ulcer without haemorrhage AND without perforation but with obstruction
3023008	Acute peptic ulcer without haemorrhage, without perforation AND without obstruction
109814008	Acute ulcerative gastroenteritis complicating pneumonia
724523000	Anastomotic ulcer of stomach caused by drug
724522005	Anastomotic ulcer of stomach caused by Helicobacter pylori
4911000119101	Antral ulcer
307233002	Bleeding gastric erosion
308882008	Bleeding stress ulcer of stomach
43035002	Childhood duodenal ulcer
235650007	Chronic drug-induced ulcer of stomach
128286008	Chronic duodenal ulcer
89469000	Chronic duodenal ulcer with haemorrhage
34021006	Chronic duodenal ulcer with haemorrhage AND obstruction
36975000	Chronic duodenal ulcer with haemorrhage AND perforation
81142005	Chronic duodenal ulcer with haemorrhage AND with perforation but without obstruction
62341002	Chronic duodenal ulcer with haemorrhage but without obstruction
86258000	Chronic duodenal ulcer with haemorrhage, with perforation AND with obstruction
196666001	Chronic duodenal ulcer with obstruction
49916007	Chronic duodenal ulcer with perforation
60551006	Chronic duodenal ulcer with perforation AND obstruction
34602004	Chronic duodenal ulcer with perforation but without obstruction
40214005	Chronic duodenal ulcer without haemorrhage AND without perforation
28082003	Chronic duodenal ulcer without haemorrhage AND without perforation but with obstruction
57940000	Chronic duodenal ulcer without haemorrhage, without perforation AND without obstruction
63137003	Chronic erosive gastritis
95530000	Chronic gastric ulcer
57246001	Chronic gastric ulcer with haemorrhage
85859006	Chronic gastric ulcer with haemorrhage AND with obstruction
76181002	Chronic gastric ulcer with haemorrhage AND with perforation
74341002	Chronic gastric ulcer with haemorrhage AND with perforation but without obstruction
76078009	Chronic gastric ulcer with haemorrhage but without obstruction
85787009	Chronic gastric ulcer with haemorrhage, with perforation AND with obstruction
196639001	Chronic gastric ulcer with obstruction
31301004	Chronic gastric ulcer with perforation
55483002	Chronic gastric ulcer with perforation AND with obstruction
36246001	Chronic gastric ulcer with perforation but without obstruction
76796008	Chronic gastric ulcer without haemorrhage AND without perforation
60531007	Chronic gastric ulcer without haemorrhage AND without perforation but with obstruction
1567007	Chronic gastric ulcer without haemorrhage, without perforation AND without obstruction
128288009	Chronic gastrojejunal ulcer
62838000	Chronic gastrojejunal ulcer with haemorrhage
90257004	Chronic gastrojejunal ulcer with haemorrhage AND obstruction
45640006	Chronic gastrojejunal ulcer with haemorrhage AND perforation
46523000	Chronic gastrojejunal ulcer with haemorrhage AND with perforation but without obstruction
59356009	Chronic gastrojejunal ulcer with haemorrhage but without perforation
