dB11.	Memantine hydrochloride 10mg tablet
dB12.	Memantine hydrochloride 10mg/g oral drops
dB13.	Ebixa 10mg tablet
dB14.	Ebixa 10mg/g oral drops
dB15.	EBIXA 20mg tablets
dB16.	MEMANTINE HYDROCHLORIDE 20mg tablets
dB17.	EBIXA TREATMENT INITIATION PACK tablets
dB18.	NEMDATINE 10mg tablets
dB19.	NEMDATINE 20mg tablets
dy11.	Donepezil hydrochloride 5mg tablet
dy12.	Donepezil hydrochloride 10mg tablet
dy13.	Aricept 5mg tablet
dy14.	Aricept 10mg tablet
dy15.	ARICEPT EVESS 5mg oro-dispersible tablets
dy16.	ARICEPT EVESS 10mg oro-dispersible tablets
dy1y.	DONEPEZIL HYDROCHLORIDE 10mg oro-dispersible tablets
dy1z.	DONEPEZIL HYDROCHLORIDE 5mg oro-dispersible tablets
dy21.	Rivastigmine 1.5mg capsule
dy22.	Rivastigmine 3mg capsule
dy23.	Rivastigmine 4.5mg capsule
dy24.	Rivastigmine 6mg capsule
dy25.	Exelon 1.5mg capsule
dy26.	Exelon 3mg capsule
dy27.	Exelon 4.5mg capsule
dy28.	Exelon 6mg capsule
dy29.	Rivastigmine 2mg/mL oral solution
dy2A.	Exelon 2mg/mL oral solution
dy2B.	EXELON 4.6mg/24hrs patches
dy2C.	EXELON 9.5mg/24hrs patches
dy2D.	RIVASTIGMINE 4.6mg/24hrs patches
dy2E.	RIVASTIGMINE 9.5mg/24hrs patches
dy2F.	NIMVASTID 1.5mg capsules
dy2G.	NIMVASTID 3mg capsules
dy2H.	NIMVASTID 4.5mg capsules
dy2I.	NIMVASTID 6mg capsules
dy2J.	EXELON 13.3mg/24hours transdermal patches
dy2K.	RIVASTIGMINE 13.3mg/24hours transdermal patches
dy2L.	ALZEST 4.6mg/24hours transdermal patches
dy2M.	ALZEST 9.5mg/24hours transdermal patches
dy2N.	PROMETAX 4.6mg/24hours transdermal patches
dy2O.	PROMETAX 9.5mg/24hours transdermal patches
dy2P.	SOMNITON 4.6mg/24hours transdermal patches
dy2Q.	SOMNITON 9.5mg/24hours transdermal patches
dy2R.	VOLEZE 4.6mg/24hours transdermal patches
dy2S.	VOLEZE 9.5mg/24hours transdermal patches
dy2U.	ELUDEN 4.6mg/24hours transdermal patches
dy2V.	ELUDEN 9.5mg/24hours transdermal patches
dy31.	Reminyl 4mg tablet
dy32.	Reminyl 8mg tablet
dy33.	Reminyl 12mg tablet
dy34.	Reminyl 4mg/mL s/f oral solution
dy35.	Reminyl XL 8mg m/r capsule
dy36.	Reminyl XL 16mg m/r capsule
dy37.	Reminyl XL 24mg m/r capsule
dy38.	GALSYA XL 8mg m/r capsules
dy39.	GALSYA XL 16mg m/r capsules
dy3A.	GALSYA XL 24mg m/r capsules
dy3B.	ACUMOR XL 8mg m/r capsules
dy3C.	ACUMOR XL 16mg m/r capsules
dy3D.	ACUMOR XL 24mg m/r capsules
dy3E.	LOTPROSIN XL 8mg m/r capsules
dy3F.	LOTPROSIN XL 16mg m/r capsules
dy3G.	LOTPROSIN XL 24mg m/r capsules
dy3H.	ELMINO XL 8mg m/r capsules
dy3I.	ELMINO XL 16mg m/r capsules
dy3J.	ELMINO XL 24mg m/r capsules
dy3K.	LUVENTA XL 8mg m/r capsules
dy3L.	LUVENTA XL 16mg m/r capsules
dy3M.	LUVENTA XL 24mg m/r capsules
dy3t.	Galantamine 8mg m/r capsule
dy3u.	Galantamine 16mg m/r capsule
dy3v.	Galantamine 24mg m/r capsule
dy3w.	Galantamine 4mg/mL s/f oral solution
dy3x.	Galantamine 4mg tablet
dy3y.	Galantamine 8mg tablet
dy3z.	Galantamine 12mg tablet
