E11..	Bipolar psychoses
E1100	"Single manic episode, unspecified"
E1101	"Single manic episode, mild"
E1102	"Single manic episode, moderate"
E1103	"Single manic episode, severe without mention of psychosis"
E1104	"Single manic episode, severe, with psychosis"
E1105	Single manic episode in partial or unspecified remission
E1106	Single manic episode in full remission
E110z	"Manic disorder, single episode NOS"
E111.	Recurrent manic episodes
E1110	"Recurrent manic episodes, unspecified"
E1111	"Recurrent manic episodes, mild"
E1112	"Recurrent manic episodes, moderate"
E1113	"Recurrent manic episodes, severe without mention of psychosis"
E1114	"Recurrent manic episodes, severe, with psychosis"
E1115	"Recurrent manic episodes, in partial or unspecified remission"
E1116	"Recurrent manic episodes, in full remission"
E111z	Recurrent manic episode NOS
E114.	"Bipolar affective disorder, current episode manic"
E114.	Manic-depressive - now manic
E1140	"Bipolar affective disorder, currently manic, unspecified"
E1141	"Bipolar affective disorder, currently manic, mild"
E1142	"Bipolar affective disorder, currently manic, moderate"
E1143	"Bipolar affect disord, currently manic, severe, no psychosis"
E1144	"Bipolar affective disorder, currently manic, severe, with psychosis"
E1145	"Bipolar affect disord,currently manic, part/unspec remission"
E1146	"Bipolar affective disorder, currently manic, full remission"
E114z	"Bipolar affective disorder, currently manic, NOS"
E115.	"Bipolar affective disorder, current episode depression"
E1150	"Bipolar affective disorder, currently depressed, unspecified"
E1151	"Bipolar affective disorder, currently depressed, mild"
E1152	"Bipolar affective disorder, currently depressed, moderate"
E1153	"Bipolar affective disorder, currently depressed, severe, without mention of psychosis"
E1154	"Bipolar affective disorder, currently depressed, severe, with psychosis"
E1156	"Bipolar affective disorder, now depressed, in full remission"
E115z	"Bipolar affective disorder, currently depressed, NOS"
E116.	Mixed bipolar affective disorder
E1160	"Mixed bipolar affective disorder, unspecified"
E1161	"Mixed bipolar affective disorder, mild"
E1162	"Mixed bipolar affective disorder, moderate"
E1163	"Mixed bipolar affective disorder, severe, without psychosis"
E1164	"Mixed bipolar affective disorder, severe, with psychosis"
E1165	"Mixed bipolar affective disorder, partial/unspec remission"
E1166	"Mixed bipolar affective disorder, in full remission"
E116z	"Mixed bipolar affective disorder, NOS"
E117.	Unspecified bipolar affective disorder
E1170	"Unspecified bipolar affective disorder, unspecified"
E1171	"Unspecified bipolar affective disorder, mild"
E1172	"Unspecified bipolar affective disorder, moderate"
E1173	"Unspecified bipolar affective disorder, severe, no psychosis"
E1174	"Unspecified bipolar affective disorder, severe, with psychosis"
E1175	"Unspecified bipolar affective disorder, in partial or unspecified remission"
E1176	"Unspecified bipolar affective disorder, in full remission"
E117z	"Unspecified bipolar affective disorder, NOS"
E11y.	Other and unspecified manic-depressive psychoses
E11y1	Atypical manic disorder
E11y0	Unspecified manic-depressive psychoses
E11y3	Other mixed manic-depressive psychoses
E11yz	Other and unspecified manic-depressive psychoses NOS
Eu30.	"[X]Manic episode (& [bipolar disord, single manic episode])"
Eu301	[X]Mania without psychotic symptoms
Eu302	[X](Mania+psych sym (& mood [congr][incong]))/(manic stupor)
Eu30y	[X]Other manic episodes
Eu30z	"[X] Mania: [episode, unspecified] or [NOS]"
Eu310	"Bipolar affective disorder, current episode hypomanic"
Eu311	"[X]Bipolar affective disorder, current episode manic without psychotic symptoms"
Eu312	"[X]Bipolar affective disorder, current episode manic with psychotic symptoms"
Eu313	"[X]Bipolar affective disorder, current episode mild or moderate depression"
Eu314	"[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms"
Eu316	"Bipolar affective disorder , current episode mixed"
Eu317	"[X]Bipolar affective disorder, currently in remission"
Eu31y	[X]Other bipolar affective disorders
Eu31y	[X] (Bipolar affective disorders: [bipolar II] or [other]) or (recurrent manic episodes)
Eu31y	[X]Bipolar II disorder
Eu31y	[X]Recurrent manic episodes
Eu31z	"[X]Bipolar affective disorder, unspecified"
Eu333	"[X]Manic-depressive psychosis, depressed type with psychotic symptoms"
Eu34.	[X]Persistent mood affective disorders
Eu34y	[X]Other persistent mood affective disorders
Eu34z	"[X]Persistent mood affective disorder, unspecified"
Eu3y.	[X]Other mood affective disorders
Eu3yy	[X]Other specified mood affective disorders
Eu3y0	[X]Mixed affective episode
X00SM	Bipolar disorder
X00SM	Manic-depressive illness
X00SM	Manic-depressive psychosis
X00SM	Bipolar affective disorder
X00SN	Bipolar II disorder
XaB95	Other manic-depressive psychos
XE1ZX	[X]Other bipolar affective disorders
6657	On lithium
X00RN	Organic manic disorder
X00RO	Organic bipolar disorder
X00SJ	Mania
X00SK	Manic stupor
X00SL	Hypomania
X79ul	Bipolar diathermy
X9078	Bipolar
Xa2kP	Manic behaviour
Xa3WO	Manic
Xa3YM	Manic defence
XaA6j	"Profile of mood states, bipolar"
XaB95	Other manic-depressive psychos
XaCHo	"[X] Manic-depressive psychosis, depressed type without psychotic symptoms"
XafEv	Signposting to Bipolar UK
XaMwc	Bipolar affective disorder resolved
XaY1Y	Bipolar I disorder
XE1aS	Hypomania
XE1ZV	[X]Mania with psychotic symptoms
XE1Zg	[X]Other single mood affective disorders
XE1Zh	[X]Other recurrent mood affective disorders
XE1Zi	[X]Unspecified mood affective disorder
XE1ZW	"[X]Manic episode, unspecified"
XE1ZX	[X]Other bipolar affective disorders
