a815.	KAODENE suspension
a841.	AROMATIC CHALK + OPIUM mixture
a842.	KAOLIN & MORPHINE mixture
cg11.	CODEINE 15mg/5mL linctus
cg13.	CODEINE 3mg/5mL paediatric linctus
cg14.	GALCODINE 15mg/5mL linctus
cg15.	GALCODINE 3mg/5mL paediatric linctus
cg31.	DIAMORPHINE 3mg/5mL linctus
ch16.	SQUILL OPIATE linctus
ch17.	SQUILL OPIATE paediatric linctus
ch25.	*BENYLIN with codeine syrup
dia2.	CO-CODAMOL 8mg/500mg tablets
dia4.	*CO-CODAPRIN tablets
dia5.	CO-CODAPRIN dispersible tablets
dia6.	CO-DYDRAMOL tablets
dia7.	*CO-PROXAMOL tablets
dia9.	*ASPAV dispersible tablets
diad.	*DISTALGESIC tablets
diaJ.	KAPAKE INSTS 500mg/30mg/sachet powder
diaL.	KAPAKE INSTS 1000mg/60mg/sachet powder
diam.	KAPAKE tablets
diao.	KAPAKE capsules
diap.	CO-CODAMOL 8mg/500mg effervescent tablets
diaq.	CO-CODAMOL 8mg/500mg capsules
diaT.	CODIPAR caplets
diaU.	PARACETAMOL+CODEINE PHOSPHATE 500mg/15mg tablets
dibb.	PARACODOL dispersible tablets
dibE.	PARACETAMOL+DIHYDROCODEINE TARTRATE 500mg/20mg tablets
dibf.	*PARAMOL tablets
dibF.	PARACETAMOL+DIHYDROCOCEINE TARTRATE 500mg/30mg tablets
dibG.	TYLEX EFFERVESCENT soluble tablets
dibN.	PANADOL ULTRA tablets
dibp.	SYNDOL tablets
dibs.	VEGANIN tablets
dibS.	SOLPADOL capsules
dibt.	TYLEX 500mg capsules
dibu.	SOLPADOL effervescent tablets
dibv.	REMEDEINE tablets
dibw.	REMEDEINE FORTE tablets
dibW.	MEDOCODENE 30/500 capsules
dibz.	SOLPADOL caplets
dic3.	ZAPAIN caplets
dic4.	ZAPAIN capsules
dica.	CODIPAR 15mg/500mg effervescent tablets
dicb.	DYPRACET 20mg/500mg tablets
dicc.	DYPRACET 30mg/500mg tablets
dicN.	KAPAKE 30/500 effervescent tablets
dicO.	TRAMACET 325mg/37.5mg tablets
dicR.	MEDOCODENE 30/500 effervescent tablets
dicv.	PARACETAMOL+CODEINE PHOSPHATE 500mg/15mg effervescent tablet
dicx.	PARACETAMOL+TRAMADOL HCL 325mg/37.5mg effervescent tablets
dicY.	TRAMACET 325mg/37.5mg effervescent tablets
dicz.	PARACETAMOL+TRAMADOL HYDROCHLORIDE 325mg/37.5mg tablets
dj19.	MORPHINE SULFATE 15mg suppositories
dj1a.	MORPHINE SULFATE 30mg suppositories
dj1D.	MORPHINE SULFATE 10mg suppositories
dj1E.	MORPHINE SULFATE 20mg suppositories
dj1f.	MST CONTINUS 10mg m/r tablets
dj1g.	MST CONTINUS 30mg m/r tablets
dj1G.	MORPHINE SULPHATE 10mg/5mL oral unit dose vial
dj1h.	MST CONTINUS 60mg m/r tablets
dj1H.	ORAMORPH 30mg/5mL oral unit dose vial
dj1i.	MST CONTINUS 100mg m/r tablets
dj1I.	MORPHINE SULPHATE 30mg/5mL oral unit dose vial
dj1J.	ORAMORPH 100mg/5mL oral unit dose vial
dj1K.	MORPHINE SULPHATE 100mg/5mL oral unit dose vial
dj1L.	MORPHINE SULFATE 10mg/5mL oral solution
dj1M.	MORPHINE SULFATE 100mg/5mL oral solution
dj1N.	MST CONTINUS 20mg/sachet suspension
