a815.	Kaodene mixture
a841.	Aromatic chalk + opium mixture
a842.	Kaolin and morphine mixture BP
cg11.	Codeine phosphate 15mg/5mL linctus
cg13.	Codeine phosphate 3mg/5mL paediatric linctus
cg14.	Galcodine 15mg/5mL s/f linctus
cg15.	Galcodine 3mg/5mL paediatric s/f linctus
cg31.	Diamorphine 3mg/5mL linctus
ch16.	Squill opiate linctus
ch17.	Squill opiate paediatric linctus
ch25.	Benylin with codeine syrup
dia2.	Co-codamol 8mg/500mg tablet
dia4.	Co-codaprin 8mg/400mg tablet
dia5.	Co-codaprin 8mg/400mg dispersible tablet
dia6.	Co-dydramol 10mg/500mg tablet
dia7.	Co-proxamol 32.5mg/325mg tablet
dia9.	Aspav dispersible tablet
diad.	Distalgesic tablet
diaJ.	Kapake Insts 500mg/30mg/sachet powder
diaL.	Kapake Insts 1000mg/60mg/sachet powder
diam.	Kapake tablet
diao.	Kapake capsule
diap.	Co-codamol 8mg/500mg effervescent tablet
diaq.	Co-codamol 8mg/500mg capsule
diaT.	Codipar Caplet
diaU.	Paracetamol+codeine phosphate 500mg/15mg tablet
diax.	Co-proxamol 32.5mg/325mg/5mL s/f suspension
dibb.	Paracodol soluble tablet
dibE.	Paracetamol+dihydrocodeine tartrate 500mg/20mg tablet
dibf.	Paramol 10/500mg tablet
dibF.	Paracetamol+dihydrocodeine tartrate 500mg/30mg tablet
dibG.	Tylex Effervescent soluble tablet
dibN.	Panadol Ultra tablet
dibp.	Syndol tablet
dibs.	Veganin tablet
dibS.	Solpadol capsule
dibt.	Tylex capsule
dibu.	Solpadol effervescent tablet
dibv.	Remedeine tablet
dibw.	Remedeine Forte tablet
dibW.	Medocodene 30/500 capsule
dibz.	Solpadol Caplet
dic3.	Zapain Caplet
dic4.	Zapain capsule
dica.	CODIPAR 15mg/500mg effervescent tablets
dicb.	DYPRACET 20mg/500mg tablets
dicc.	DYPRACET 30mg/500mg tablets
dicN.	Kapake 30/500 effervescent tablet
dicO.	Tramacet 325mg/37.5mg tablet
dicR.	Medocodene 30/500 effervescent tablet
dicv.	PARACETAMOL+CODEINE PHOSPHATE 500mg/15mg effervescent tablet
dicx.	PARACETAMOL+TRAMADOL HCL 325mg/37.5mg effervescent tablets
dicY.	TRAMACET 325mg/37.5mg effervescent tablets
dicz.	Paracetamol 325mg / tramadol hydrochloride 37.5mg tablet
dj19.	Morphine sulphate 15mg suppository
dj1a.	Morphine sulphate 30mg suppository
dj1D.	Morphine sulphate 10mg suppository
dj1E.	Morphine sulphate 20mg suppository
dj1f.	MST Continus 10mg m/r tablet
dj1g.	MST Continus 30mg m/r tablet
dj1G.	Morphine sulphate 10mg/5mL oral unit dose vial
dj1h.	MST Continus 60mg m/r tablet
dj1H.	Oramorph 30mg/5mL oral unit dose vial
dj1i.	MST Continus 100mg m/r tablet
dj1I.	Morphine sulphate 30mg/5mL oral unit dose vial
dj1J.	Oramorph 100mg/5mL oral unit dose vial
dj1K.	Morphine sulphate 100mg/5mL oral unit dose vial
dj1L.	Morphine sulphate 10mg/5mL oral solution
dj1M.	Morphine sulphate 100mg/5mL oral solution
dj1N.	MST Continus 20mg/sachet granules for suspension
dj1P.	MST Continus 30mg/sachet granules for suspension
dj1r.	Sevredol 10mg tablet
dj1s.	Sevredol 20mg tablet
dj1S.	Morphine hydrochloride 15mg suppository
dj1t.	MST Continus 200mg m/r tablet
dj1W.	MST Continus 60mg/sachet granules for suspension
dj1X.	MST Continus 100mg/sachet granules for suspension
dj1y.	MST Continus 5mg m/r tablet
dj1Y.	MST Continus 200mg/sachet granules for suspension
dj1z.	MST Continus 15mg m/r tablet
dj25.	Morphine + cocaine elixir
dj32.	Temgesic 300micrograms/1mL injection
dj39.	Transtec 35micrograms/hour transdermal patch
dj3a.	Transtec 52.5micrograms/hour transdermal patch
dj3A.	BuTrans 5micrograms/hour patch
dj3b.	Transtec 70micrograms/hour transdermal patch
dj3B.	BuTrans 10micrograms/hour patch
dj3C.	BuTrans 20micrograms/hour patch
dj3H.	HAPOCTASIN 70micrograms/hour patches
dj3I.	HAPOCTASIN 52.5micrograms/hour patches
dj3J.	HAPOCTASIN 35micrograms/hour patches
dj3o.	Buprenorphine 5micrograms/hour patch
dj3p.	Buprenorphine 10micrograms/hour patch
dj3q.	Buprenorphine 20micrograms/hour patch
dj3r.	Buprenorphine 70micrograms/hour transdermal patch
dj3s.	Buprenorphine 52.5micrograms/hour transdermal patch
dj3t.	Buprenorphine 35micrograms/hour transdermal patch
dj3y.	Buprenorphine 300micrograms/1mL injection
dj41.	Codeine phosphate 15mg tablet
dj42.	Codeine phosphate 30mg tablet
dj43.	Codeine phosphate 60mg tablet
dj44.	Codeine phosphate 25mg/5mL syrup
dj45.	Codeine phosphate 60mg/1mL injection
dj51.	Palfium 5mg tablet
dj52.	Palfium 10mg tablet
dj56.	Dextromoramide 5mg tablet
dj57.	Dextromoramide 10mg tablet
dj61.	Dextropropoxyphene hydrochloride 65mg capsule
dj71.	Diamorphine hydrochloride 10mg tablet
dj72.	Diamorphine hydrochloride 5mg injection
dj73.	Diamorphine hydrochloride 10mg injection
dj74.	Diamorphine hydrochloride 30mg injection
dj75.	Diamorphine hydrochloride 100mg injection
dj76.	Diamorphine hydrochloride 500mg injection
dj81.	Dihydrocodeine tartrate 30mg tablet
dj82.	Dihydrocodeine tartrate 10mg/5mL elixir
dj83.	Dihydrocodeine tartrate 50mg/1mL injection
dj87.	DHC Continus 60mg m/r tablet
dj88.	Dihydrocodeine tartrate 60mg m/r tablet
dj89.	DHC Continus 90mg m/r tablet
dj8a.	DHC Continus 120mg m/r tablet
dj8b.	Dihydrocodeine tartrate 90mg m/r tablet
dj8c.	Dihydrocodeine tartrate 120mg m/r tablet
dj8d.	DF118 Forte 40mg tablet
dj8e.	Dihydrocodeine tartrate 40mg tablet
dj91.	Diconal tablet
dj92.	Dipipanone+cyclizine 10mg/30mg tablet
djA1.	MABRON 100mg m/r tablets
