C10..	DM - Diabetes mellitus
C100.	Diabetes mellitus with no mention of complication
C1000	Diabetes mellitus, juvenile type, with no mention of complication
C1001	Maturity onset diabetes
C100z	Diabetes mellitus NOS with no mention of complication
C101.	Diabetic ketoacidosis
C1010	Diabetes mellitus, juvenile type, with ketoacidosis
C1011	Diabetes mellitus, adult onset, with ketoacidosis
C101y	Other specified diabetes mellitus with ketoacidosis
C101z	Diabetes mellitus NOS with ketoacidosis
C102.	Diabetes mellitus with hyperosmolar coma
C1020	Diabetes mellitus, juvenile type, with hyperosmolar coma
C1021	Diabetes mellitus, adult onset, with hyperosmolar coma
C102z	Diabetes mellitus NOS with hyperosmolar coma
C103.	Diabetes mellitus with ketoacidotic coma
C1030	Diabetes mellitus, juvenile type, with ketoacidotic coma
C1031	Diabetes mellitus, adult onset, with ketoacidotic coma
C103y	Other specified diabetes mellitus with coma
C103z	Diabetes mellitus NOS with ketoacidotic coma
C1040	Diabetes mellitus, juvenile type, with renal manifestation
C1041	Diabetes mellitus, adult onset, with renal manifestation
C104y	Other specified diabetes mellitus with renal complications
C104z	Diabetes mellitus with nephropathy NOS
C105.	Diabetes mellitus with ophthalmic manifestation
C1050	Diabetes mellitus, juvenile type, with ophthalmic manifestation
C1051	Diabetes mellitus, adult onset, with ophthalmic manifestation
C105y	Other specified diabetes mellitus with ophthalmic complications
C105z	Diabetes mellitus NOS with ophthalmic manifestation
C1060	Diabetes mellitus, juvenile type, with neurological manifestation
C1061	Diabetes mellitus, adult onset, with neurological manifestation
C106y	Other specified diabetes mellitus with neurological complications
C106z	Diabetes mellitus NOS with neurological manifestation
C1070	Diabetes mellitus, juvenile type, with peripheral circulatory disorder
C1071	Diabetes mellitus, adult onset, with peripheral circulatory disorder
C1072	Diabetes mellitus, adult with gangrene
C107y	Other specified diabetes mellitus with peripheral circulatory complications
C107z	Diabetes mellitus NOS with peripheral circulatory disorder
C1080	Insulin-dependent diabetes mellitus with renal complications
C1081	Insulin-dependent diabetes mellitus with ophthalmic complications
C1082	Insulin-dependent diabetes mellitus with neurological complications
C1083	Insulin-dependent diabetes mellitus with multiple complications
C1085	Insulin-dependent diabetes mellitus with ulcer
C1086	Insulin-dependent diabetes mellitus with gangrene
C1087	IDDM - Insulin-dependent diabetes mellitus with retinopathy
C1088	Insulin-dependent diabetes mellitus - poor control
C1089	Insulin-dependent diabetes maturity onset
C108y	Other specified diabetes mellitus with multiple complications
C108z	Unspecified diabetes mellitus with multiple complications
C1090	Non-insulin-dependent diabetes mellitus with renal complications
C1091	Non-insulin-dependent diabetes mellitus with ophthalmic complications
C1092	Non-insulin-dependent diabetes mellitus with neurological complications
C1093	Non-insulin-dependent diabetes mellitus with multiple complications
C1094	Non-insulin-dependent diabetes mellitus with ulcer
C1095	Non-insulin-dependent diabetes mellitus with gangrene
C1096	NIDDM - Non-insulin-dependent diabetes mellitus with retinopathy
C1097	Non-insulin-dependent diabetes mellitus - poor control
C10A0	Malnutrition-related diabetes mellitus with coma
C10A1	Malnutrition-related diabetes mellitus with ketoacidosis
