13Y2.	Schizophrenia association member
286..	Poor insight into psychotic condition
1BC..	Morbid jealousy
1B1E.	Hallucinations
1464	H/O: schizophrenia
E0...	Organic psychotic condition
E00..	Senile and presenile organic psychotic conditions (& dementia)
E00y.	(Other senile and presenile organic psychoses) or (presbyophrenic psychosis)
E00z.	Senile or presenile psychoses NOS
E010.	Delirium tremens
E011.	Korsakoff psychosis
E0111	Korsakov's alcoholic psychosis with peripheral neuritis
E0112	Wernicke-Korsakov syndrome
E02..	Drug-induced psychosis
E021.	Drug-induced paranoia or hallucinatory states
E0210	Drug-induced paranoid state
E0211	Drug-induced hallucinosis
E021z	Drug-induced paranoia or hallucinatory state NOS
E02y.	Other drug psychoses
E02y0	Drug-induced delirium
E02y3	Drug-induced depressive state
E02y4	Drug-induced personality disorder
E02z.	Drug psychosis NOS
E03..	Transient organic psychoses
E03y.	Other transient organic psychoses
E03y0	Organic delusional disorder
E03y0	Paranoid organic state
E03y3	Unspecified puerperal psychosis
E03z.	Transient organic psychoses NOS
E04..	Other chronic organic psychoses
E04y.	Other specified chronic organic psychoses
E04z.	Chronic organic psychosis NOS
E0y..	Other specified organic psychoses
E0z..	Organic psychoses NOS
E1...	Non-organic psychoses
E100.	Schizophrenia simplex
E100.	Simple schizophrenia
E1000	Unspecified schizophrenia
E1001	Subchronic schizophrenia
E1002	Chronic schizophrenic
E1003	Acute exacerbation of subchronic schizophrenia
E1004	Acute exacerbation of chronic schizophrenia
E1005	Schizophrenia in remission
E100z	Simple schizophrenia NOS
E101.	Disorganised schizophrenia
E101.	Hebephrenic schizophrenia
E1010	Unspecified hebephrenic schizophrenia
E1011	Subchronic hebephrenic schizophrenia
E1012	Chronic hebephrenic schizophrenia
E1013	Acute exacerbation of subchronic hebephrenic schizophrenia
E1014	Acute exacerbation of chronic hebephrenic schizophrenia
E1015	Hebephrenic schizophrenia in remission
E101z	Hebephrenic schizophrenia NOS
E102.	[X]Schizophrenic flexibilatis cerea
E102.	Catatonic schizophrenia
E1020	Unspecified catatonic schizophrenia
E1021	Subchronic catatonic schizophrenia
E1022	Chronic catatonic schizophrenia
E1023	Acute exacerbation of subchronic catatonic schizophrenia
E1024	Acute exacerbation of chronic catatonic schizophrenia
E1025	Catatonic schizophrenia in remission
E102z	Catatonic schizophrenia NOS
E103.	Paranoid schizophrenia
E103.	Paraphrenic schizophrenia
E1030	Unspecified paranoid schizophrenia
E1031	Subchronic paranoid schizophrenia
E1032	Chronic paranoid schizophrenia
E1033	Acute exacerbation of subchronic paranoid schizophrenia
E1034	Acute exacerbation of chronic paranoid schizophrenia
E1035	Paranoid schizophrenia in remission
E103z	Paranoid schizophrenia NOS
E104.	Oneirophrenia
E105.	Latent schizophrenia
E1050	Unspecified latent schizophrenia
E1051	Subchronic latent schizophrenia
E1052	Chronic latent schizophrenia
E1053	Acute exacerbation of subchronic latent schizophrenia
E1054	Acute exacerbation of chronic latent schizophrenia
E1055	Latent schizophrenia in remission
E105z	Latent schizophrenia NOS
E106.	Residual schizophrenia
E106.	Restzustand
E107.	Cyclic schizophrenia
E107.	Schizoaffective schizophrenia
E1070	Unspecified schizoaffective schizophrenia
E1071	Subchronic schizoaffective schizophrenia
E1072	Chronic schizoaffective schizophrenia
E1073	Acute exacerbation of subchronic schizoaffective schizophrenia
E1074	Acute exacerbation of chronic schizoaffective schizophrenia
E1075	Schizoaffective schizophrenia in remission
E107z	Schizoaffective schizophrenia NOS
E10y.	Cenesthopathic schizophrenia
E10y.	Other schizophrenia
E10y.	Schizophrenia: [other] or [cenesthopathic]
E10y0	Atypical schizophrenia
E10y0	Undifferentiated schizophrenia
E10y1	Cenesthopathic schizophrenia
E10y1	Coenesthopathic schizophrenia
E10yz	Other schizophrenia NOS
E10z.	Schizophrenia NOS
E11..	Affective psychoses (& [bipolar] or [depressive] or [manic])
E1104	Single manic episode, severe, with psychosis
E1114	Recurrent manic episodes, severe, with psychosis
E1134	Recurrent major depressive episodes, severe, with psychosis
E1144	Bipolar affect disord, currently manic,severe with psychosis
E1154	Bipolar affect disord, now depressed, severe with psychosis
E1164	Mixed bipolar affective disorder, severe, with psychosis
E1174	Unspecified bipolar affective disorder,severe with psychosis
E11y.	Other and unspecified manic-depressive psychoses
E11y0	Unspecified manic-depressive psychoses
E11yz	Other and unspecified manic-depressive psychoses NOS
E11z.	Other and unspecified affective psychoses
E11z0	Unspecified affective psychoses NOS
E11zz	Other affective psychosis NOS
E12..	Paranoid disorder
E12..	Paranoid disorder
E120.	Simple paranoid state
E122.	Paraphrenia
E123.	Folie a deux
