ej2..00	CHLOROQUINE [ANTI-MALARIAL]
ej2z.00	CHLOROQUINE 200mg/5mL injection
ej2y.00	CHLOROQUINE 68mg/5mL syrup
ej2x.00	*CHLOROQUINE 200mg tablets
ej2w.00	CHLOROQUINE PHOSPHATE 80mg/5mL syrup
ej26.00	CHLOROQUINE PHOSPHATE 250mg tablets
ej25.00	*NIVAQUINE 200mg/5mL injection
ej24.00	NIVAQUINE 68mg/5mL syrup
ej23.00	*NIVAQUINE 200mg tablets
ej22.00	MALARIVON 80mg/5mL syrup
ej21.00	AVLOCLOR 250mg tablets
ejC..00	PROGUANIL HYDROCHLORIDE+CHLOROQUINE PHOSPHATE
ejC2.00	PALUDRINE tablets+AVLOCLOR tablets 100mg/250mg anti-malarial travel pack
ejC1.00	PROGUANIL HYDROCHLORIDE tablets+CHLOROQUINE PHOSPHATE tablets 100mg/250mg pack
j53..00	CHLOROQUINE [MUSCULO-SKELETAL]
