bk3..00	LOSARTAN
bk31.00	LOSARTAN POTASSIUM 25mg tablets
bk32.00	LOSARTAN POTASSIUM 50mg tablets
bk33.00	COZAAR HALF-STRENGTH 25mg tablets
bk33.11	COZAAR 25mg tablets
bk34.00	COZAAR 50mg tablets
bk35.00	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 50mg/12.5mg tablets
bk36.00	COZAAR-COMP 50mg/12.5mg tablets
bk37.00	LOSARTAN POTASSIUM 100mg tablets
bk38.00	COZAAR 100mg tablets
bk39.00	COZAAR-COMP 100mg/25mg tablets
bk3A.00	COZAAR-COMP 100mg/12.5mg tablets
bk3B.00	COZAAR 12.5mg tablets
bk3C.00	LOSARTAN POTASSIUM 12.5mg tablets
bk3D.00	COZAAR 2.5mg/mL oral suspension
bk3E.00	LOSARTAN POTASSIUM 2.5mg/mL oral suspension
bk3F.00	ZOVENCAL 25mg tablets
bk3G.00	ZOVENCAL 50mg tablets
bk3H.00	ZOVENCAL 100mg tablets
bk3y.00	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets
bk3z.00	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/25mg tablets
bk4..00	VALSARTAN
bk41.00	VALSARTAN 40mg capsules
bk42.00	VALSARTAN 80mg capsules
bk43.00	VALSARTAN 160mg capsules
bk44.00	DIOVAN 40mg capsules
bk45.00	DIOVAN 80mg capsules
bk46.00	DIOVAN 160mg capsules
bk47.00	CO-DIOVAN 160mg/12.5mg tablets
bk48.00	CO-DIOVAN 160mg/25mg tablets
bk49.00	CO-DIOVAN 80mg/12.5mg tablets
bk4A.00	DIOVAN 40mg tablets
bk4B.00	DIOVAN 320mg tablets
bk4C.00	DIOVAN 3mg/mL oral solution
bk4s.00	VALSARTAN 80mg tablets
bk4t.00	VALSARTAN 160mg tablets
bk4u.00	VALSARTAN 3mg/mL oral solution
bk4v.00	VALSARTAN 320mg tablets
bk4w.00	VALSARTAN 40mg tablets
bk4x.00	VALSARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bk4y.00	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/25mg tablets
bk4z.00	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/12.5mg tablets
bk5..00	IRBESARTAN
bk51.00	IRBESARTAN 75mg tablets
bk52.00	IRBESARTAN 150mg tablets
bk53.00	IRBESARTAN 300mg tablets
bk54.00	APROVEL 75mg tablets
bk55.00	APROVEL 150mg tablets
bk56.00	APROVEL 300mg tablets
bk57.00	COAPROVEL 150mg/12.5mg tablets
bk58.00	COAPROVEL 300mg/12.5mg tablets
bk59.00	COAPROVEL 300mg/25mg tablets
bk5x.00	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets
bk5y.00	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/12.5mg tablets
