medcode	readcode	Description	CodingSystem
318	B210.00	Malignant neoplasm of glottis	readcode
319	B21..00	Malignant neoplasm of larynx	readcode
348	B34..11	Ca female breast	readcode
779	B49..00	Malignant neoplasm of urinary bladder	readcode
780	B46..00	Malignant neoplasm of prostate	readcode
865	B32..00	Malignant melanoma of skin	readcode
1056	B5z..00	Malignant neoplasm of other and unspecified site NOS	readcode
1062	B10..00	Malignant neoplasm of oesophagus	readcode
1220	B13..00	Malignant neoplasm of colon	readcode
1481	B600.00	Reticulosarcoma	readcode
1599	B4A0.00	Malignant neoplasm of kidney parenchyma	readcode
1800	B141.00	Malignant neoplasm of rectum	readcode
1952	B580.00	Secondary malignant neoplasm of kidney	readcode
1986	B440.11	Cancer of ovary	readcode
2462	B61..00	Hodgkin's disease	readcode
2587	B22z.11	Lung cancer	readcode
2744	B40..00	"Malignant neoplasm of uterus, part unspecified"	readcode
2747	B41..00	Malignant neoplasm of cervix uteri	readcode
2815	B133.00	Malignant neoplasm of sigmoid colon	readcode
2890	B430200	Malignant neoplasm of endometrium of corpus uteri	readcode
2961	B47z.11	Seminoma of testis	readcode
3213	B430.00	"Malignant neoplasm of corpus uteri, excluding isthmus"	readcode
3230	B41..11	Cervical carcinoma (uterus)	readcode
3357	B1...11	Carcinoma of digestive organs and peritoneum	readcode
3541	B48..00	Malignant neoplasm of penis and other male genital organs	readcode
3604	B627.00	Non - Hodgkin's lymphoma	readcode
3811	B134.00	Malignant neoplasm of caecum	readcode
3903	B22z.00	Malignant neoplasm of bronchus or lung NOS	readcode
3968	B34..00	Malignant neoplasm of female breast	readcode
4072	B680.00	Acute leukaemia NOS	readcode
4137	B570.00	Secondary malignant neoplasm of lung	readcode
4218	B541.00	Malignant neoplasm of parathyroid gland	readcode
4222	B64..11	Lymphatic leukaemia	readcode
4250	B68z.00	Leukaemia NOS	readcode
4251	B640.00	Acute lymphoid leukaemia	readcode
4388	B020.00	Malignant neoplasm of parotid gland	readcode
4403	B577.11	Liver metastases	readcode
4413	B650.00	Acute myeloid leukaemia	readcode
4554	B454.00	Malignant neoplasm of vulva unspecified	readcode
4555	B45..00	Malig neop of other and unspecified female genital organs	readcode
4865	B10z.11	Oesophageal cancer	readcode
4870	B625.11	"Histiocytosis X (acute, progressive)"	readcode
4944	B630.00	Multiple myeloma	readcode
5062	B30..11	Chondroma	readcode
5137	B624.11	Leukaemic reticuloendotheliosis	readcode
