X78iC	Malignant tumour of female genital organ
B44..	Malignant neoplasm of ovary and other uterine adnexa
B440.	Malignant neoplasm of ovary
B44y.	Malignant neoplasm of other site of uterine adnexa
B44z.	Malignant neoplasm of uterine adnexa NOS
Byu70	[X]Malignant neoplasm of uterine adnexa, unspecified
XaFrN	Local recurrence of malignant tumour of cervix
XaFri	Metastasis from malignant tumour of cervix
B912.	Neoplasm of uncertain behaviour of ovary
B41..	Cervical carcinoma (uterus)
B41..	Malignant neoplasm of cervix uteri
B41y.	Malignant neoplasm of other site of cervix
B41y.	Malignant neoplasm of other site of cervix
B41yz	Malignant neoplasm of other site of cervix NOS
B41yz	Malignant neoplasm of other site of cervix NOS
B41z.	Malignant neoplasm of cervix uteri NOS
B41z.	Malignant neoplasm of cervix uteri NOS
B4302	Malignant neoplasm of endometrium
B4302	Malignant neoplasm of endometrium of corpus uteri
B4302	Malignant neoplasm of endometrium of corpus uteri
B45..	Malignant neoplasm of other and unspecified female genital organs
B45..	Malignant neoplasm of other and unspecified female genital organs
B45y.	Malignant neoplasm of other specified female genital organ
B45y.	Malignant neoplasm of other specified female genital organ
B45z.	Malignant neoplasm of female genital organ NOS
B45z.	Malignant neoplasm of female genital organ NOS
B586.	Krukenburg tumour
B586.	Metastasis to ovary
B586.	Metastasis to ovary
B586.	Ovarian metastasis
B586.	Secondary cancer of ovary
B586.	Secondary malignant neoplasm of ovary
B586.	Secondary tumour to ovary
B58y2	Secondary cancer of the cervix
B58y2	Secondary malignant neoplasm of cervix uteri
B58y2	Secondary malignant neoplasm of cervix uteri
Byu7.	[X]Malignant neoplasm of female genital organs
Byu7.	[X]Malignant neoplasm of female genital organs
Byu71	[X]Malignant neoplasm of other specified female genital organs
Byu71	[X]Malignant neoplasm of other specified female genital organs
Byu73	[X]Malignant neoplasm of female genital organ, unspecified
Byu73	[X]Malignant neoplasm of female genital organ, unspecified
X407e	Tumour of cervix
X407e	Tumour of cervix
X78Wf	Ovarian tumour
X78Wf	Tumour of ovary
X78Wf	Tumour of ovary
X78Wl	Clear cell tumour of ovary
X78Wl	Clear cell tumour of ovary
