^ESCT1199845	Suspected ovarian cancer
^ESCT1202154	Borderline epithelial tumour of ovary
^ESCT1202155	Borderline ovarian epithelial tumor
^ESCT1202156	Borderline ovarian epithelial tumour
^ESCT1202157	Borderline epithelial tumor of ovary
^ESCT1202158	Borderline epithelial neoplasm of ovary
^ESCT1247309	Malignant tumor of female genital organ
^ESCTBE399649	Benign neoplasm of uterine cervix
^ESCTBE399650	Benign neoplasm of cervix uteri
^ESCTBE399651	Benign tumour of cervix
^ESCTBE399652	Benign tumor of cervix
^ESCTBE400041	Benign ovarian tumor
^ESCTBI748490	Bilateral oophorectomy for malignant neoplasm of ovary
^ESCTBI748491	Bilateral oophorectomy for ovarian malignancy
^ESCTBI748492	Bilateral oophorectomy for malignant tumor of ovary
^ESCTBI748493	Bilateral oophorectomy for malignant tumour of ovary
^ESCTBL374815	Bleeding after menopause
^ESCTCA403543	Cancer metastatic to neck lymph nodes
^ESCTCA403692	Cancer metastatic to ovary
^ESCTCA475133	Cancer metastatic to cervix
^ESCTCA624310	Cancer of cervix
^ESCTCA624313	Cancer of the uterine cervix
^ESCTCA624613	CA - Cancer of ovary
^ESCTCA632597	Cancer metastatic to left ovary
^ESCTCA632610	Cancer metastatic to right ovary
^ESCTCA700461	Carcinoma of ovary, stage 4
^ESCTCA700462	Cancer of ovary, stage 4
^ESCTCA700824	Carcinoma of ovary, stage 3
^ESCTCA700826	Cancer of ovary, stage 3
^ESCTCA701746	Carcinoma of uterine cervix, invasive
^ESCTCA701747	Cancer of uterine cervix, invasive
^ESCTCA702727	Carcinoma of ovary, stage 2
^ESCTCA702729	Cancer of ovary, stage 2
^ESCTCA702949	Carcinoma of ovary, stage 1
^ESCTCA702950	Cancer of ovary, stage 1
^ESCTCE624314	Cervical cancer
^ESCTCE797918	Cervical cancer screening not done
^ESCTCE803550	Cervical cancer Papanicolaou smear screening declined
^ESCTCL689609	Clear cell (mesonephric) neoplasm of ovary
^ESCTDE732582	Debulking of neoplasm of ovary
^ESCTEL716188	Elevated cancer antigen 125
^ESCTFI274652	FIGO CC stage I
^ESCTFI291047	FIGO CC stage Ib
^ESCTFI298928	FIGO EC stage II
^ESCTFI305606	FIGO EC stage IV
^ESCTFI325560	FIGO EC stage I A
^ESCTFI329633	FIGO CC stage Ia
^ESCTFI331374	FIGO EC stage I
^ESCTFI335459	FIGO CC stage III
^ESCTFI347892	FIGO EC stage I B
^ESCTFI361021	FIGO CC stage II
^ESCTFI381706	FIGO EC stage III
^ESCTFI383047	FIGO CC stage IV
^ESCTFI392953	FIGO CC stage Ib occ
^ESCTFI763214	FIGO CC stage IA1
^ESCTFI763222	FIGO CC stage IA2
^ESCTFI763240	FIGO CC stage IB1
^ESCTFI763270	FIGO CC stage IB2
^ESCTFI763288	FIGO CC stage IIA1
^ESCTFI763293	FIGO CC stage IIA2
^ESCTFI763301	FIGO CC stage IIB
^ESCTFI763311	FIGO CC stage IIIA
^ESCTFI763317	FIGO CC stage IIIB
^ESCTFI763327	FIGO CC stage IVA
^ESCTFI763336	FIGO CC stage IVB
^ESCTFI763356	FIGO EC stage IIIB
^ESCTFI763390	FIGO EC stage IIIC1
^ESCTFI763398	FIGO EC stage IIIC2
^ESCTFI763414	FIGO EC stage IVA
^ESCTFI763420	FIGO EC stage IVB
^ESCTFI763570	FIGO EC stage IIIA
^ESCTGY472470	Gynecological referral
^ESCTGY472575	Gynecological self-referral
^ESCTHE776943	Hereditary breast and ovarian cancer syndrome
^ESCTIN274653	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage I
^ESCTIN274654	International Federation of Gynecology and Obstetrics cervical cancer stage I
^ESCTIN274655	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage I
^ESCTIN291043	International Federation of Gynaecology and Obstetrics cervical cancer stage Ib
^ESCTIN291044	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage Ib
^ESCTIN291045	International Federation of Gynecology and Obstetrics cervical cancer stage Ib
^ESCTIN291046	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage Ib
^ESCTIN298929	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage II
^ESCTIN298930	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage II
^ESCTIN298931	International Federation of Gynaecology and Obstetrics endometrial cancer stage II
^ESCTIN298932	International Federation of Gynecology and Obstetrics endometrial cancer stage II
^ESCTIN305607	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IV
^ESCTIN305608	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IV
^ESCTIN305609	International Federation of Gynecology and Obstetrics endometrial cancer stage IV
^ESCTIN325561	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage I A
^ESCTIN325562	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage I A
^ESCTIN325563	International Federation of Gynecology and Obstetrics endometrial cancer stage I A
^ESCTIN329631	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage Ia
^ESCTIN329632	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage Ia
^ESCTIN329634	International Federation of Gynecology and Obstetrics cervical cancer stage Ia
^ESCTIN331375	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage I
^ESCTIN331376	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage I
^ESCTIN331377	International Federation of Gynecology and Obstetrics endometrial cancer stage I
^ESCTIN335460	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage III
^ESCTIN335461	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage III
^ESCTIN335462	International Federation of Gynecology and Obstetrics cervical cancer stage III
^ESCTIN347893	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage I B
^ESCTIN347894	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage I B
^ESCTIN347895	International Federation of Gynecology and Obstetrics endometrial cancer stage I B
^ESCTIN361022	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage II
^ESCTIN361023	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage II
^ESCTIN361024	International Federation of Gynecology and Obstetrics cervical cancer stage II
^ESCTIN381707	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage III
^ESCTIN381708	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage III
^ESCTIN381709	International Federation of Gynecology and Obstetrics endometrial cancer stage III
^ESCTIN383048	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IV
^ESCTIN383049	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IV
^ESCTIN383050	International Federation of Gynecology and Obstetrics cervical cancer stage IV
^ESCTIN392954	International Federation of Gynecology and Obstetrics cervical cancer stage Ib occ
^ESCTIN392955	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage Ib occ
^ESCTIN392956	International Federation of Gynaecology and Obstetrics cervical cancer stage Ib occ
^ESCTIN392957	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage Ib occ
^ESCTIN701748	Invasive cervical cancer
^ESCTIN716186	Increased cancer antigen 125
^ESCTIN763215	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IA1
^ESCTIN763216	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IA1
^ESCTIN763223	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IA2
^ESCTIN763224	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IA2
^ESCTIN763241	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IB1
^ESCTIN763242	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IB1
^ESCTIN763271	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IB2
^ESCTIN763272	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IB2
^ESCTIN763289	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IIA1
^ESCTIN763290	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IIA1
^ESCTIN763294	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IIA2
^ESCTIN763295	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IIA2
^ESCTIN763302	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IIB
^ESCTIN763303	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IIB
^ESCTIN763312	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IIIA
^ESCTIN763313	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IIIA
^ESCTIN763318	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IIIB
^ESCTIN763319	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IIIB
^ESCTIN763328	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IVA
^ESCTIN763329	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IVA
^ESCTIN763337	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage IVB
^ESCTIN763338	International Federation of Gynaecology and Obstetrics cervical cancer (FIGO CC) stage IVB
^ESCTIN763357	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IIIB
^ESCTIN763358	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IIIB
^ESCTIN763359	International Federation of Gynecology and Obstetrics endometrial cancer stage IIIB
