aa6..11	SULPHASALAZINE [GASTRO-INTESTINAL USE]
aa6..00	SULFASALAZINE [GASTRO-INTESTINAL USE]
aa6t.00	SULFASALAZINE 250mg/5mL sugar free suspension
aa6z.11	*SULPHASALAZINE 3g/100mL enema
aa6z.00	*SULFASALAZINE 3g/100mL enema
aa6y.11	SULPHASALAZINE 500mg suppositories
aa6y.00	SULFASALAZINE 500mg suppositories
aa6v.11	SULPHASALAZINE 500mg tablets
aa6v.00	SULFASALAZINE 500mg tablets
aa6u.11	SULPHASALAZINE 250mg/5mL suspension
aa6u.00	SULFASALAZINE 250mg/5mL suspension
aa67.00	*UCINE 500mg tablets
aa66.11	SULPHASALAZINE 500mg e/c tablets
aa66.00	SULFASALAZINE 500mg e/c tablets
aa65.00	SALAZOPYRIN 250mg/5mL suspension
aa64.00	*SALAZOPYRIN 3g/100mL enema
aa63.00	SALAZOPYRIN 500mg suppositories
aa62.00	SALAZOPYRIN-EN 500mg e/c tablets
aa61.00	SALAZOPYRIN 500mg tablets
j55..11	SULPHASALAZINE [MUSCULO-SKELETAL USE]
j55..00	SULFASALAZINE [MUSCULOSKELETAL USE]
j55z.11	SULPHASALAZINE 500mg e/c tablets
j55z.00	SULFASALAZINE 500mg e/c tablets
j552.00	SULAZINE EC 500mg e/c tablets
j551.00	SALAZOPYRIN EN 500mg e/c tablets
