B61..	Hodgkin's disease
B613.	Hodgkin's disease, lymphocytic predominance
B616.	Hodgkin's disease, lymphocytic depletion
B614.	Hodgkin's disease, nodular sclerosis
B615.	Hodgkin's disease, mixed cellularity
B61z.	Hodgkin's disease NOS
B610.	Hodgkin's paragranuloma
B611.	Hodgkin's granuloma
B612.	Hodgkin's sarcoma
Xa0St	Nodular lymphocyte predominant Hodgkin lymphoma
B6130	Hodgkin's disease, lymphocytic-histiocytic predominance of unspecified site
B6131	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck
B6132	Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes
B6133	Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes
B6134	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb
B6135	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb
B6136	Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes
B6137	Hodgkin's, lymphocytic-histiocytic predominance of spleen
B6138	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites
B613z	Hodgkin's, lymphocytic-histiocytic predominance NOS
Xa0Su	Hodgkin's disease, lymphocytic predominance - diffuse
B6160	Hodgkin's lymphocytic depletion of unspecified site
B6161	Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face and neck
B6162	Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes
B6163	Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes
B6164	Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb
B6165	Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb
B6166	Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes
B6167	Hodgkin's disease, lymphocytic depletion of spleen
B6168	Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites
B616z	Hodgkin's disease, lymphocytic depletion NOS
XaBBZ	Hodgkin's disease, lymphocytic depletion, diffuse fibrosis
XaBBb	Hodgkin's disease, lymphocytic depletion, reticular type
Xa0Sv	Hodgkin's disease, nodular sclerosis - lymphocytic predominance
B6140	Hodgkin's disease, nodular sclerosis of unspecified site
B6141	Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck
B6142	Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes
B6143	Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes
B6144	Hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb
B6145	Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region and lower limb
B6146	Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes
B6147	Hodgkin's disease, nodular sclerosis of spleen
B6148	Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites
B614z	Hodgkin's disease, nodular sclerosis NOS
Xa0Sw	Hodgkin's disease, nodular sclerosis - mixed cellularity
Xa0Sx	Hodgkin's disease, nodular sclerosis - syncytial variant
