dicO.00	TRAMACET 325mg/37.5mg tablets
dicx.00	PARACETAMOL+TRAMADOL HCL 325mg/37.5mg effervescent tablets
dicY.00	TRAMACET 325mg/37.5mg effervescent tablets
dicz.00	PARACETAMOL+TRAMADOL HYDROCHLORIDE 325mg/37.5mg tablets
dj19.00	MORPHINE SULFATE 15mg suppositories
dj1a.00	MORPHINE SULFATE 30mg suppositories
dj1D.00	MORPHINE SULFATE 10mg suppositories
dj1E.00	MORPHINE SULFATE 20mg suppositories
dj1f.00	MST CONTINUS 10mg m/r tablets
dj1g.00	MST CONTINUS 30mg m/r tablets
dj1G.00	MORPHINE SULPHATE 10mg/5mL oral unit dose vial
dj1h.00	MST CONTINUS 60mg m/r tablets
dj1H.00	ORAMORPH 30mg/5mL oral unit dose vial
dj1i.00	MST CONTINUS 100mg m/r tablets
dj1I.00	MORPHINE SULPHATE 30mg/5mL oral unit dose vial
dj1J.00	ORAMORPH 100mg/5mL oral unit dose vial
dj1K.00	MORPHINE SULPHATE 100mg/5mL oral unit dose vial
dj1L.00	MORPHINE SULFATE 10mg/5mL oral solution
dj1M.00	MORPHINE SULFATE 100mg/5mL oral solution
dj1N.00	MST CONTINUS 20mg/sachet suspension
dj1P.00	MST CONTINUS 30mg/sachet suspension
dj1r.00	SEVREDOL 10mg tablets
dj1s.00	SEVREDOL 20mg tablets
dj1S.00	MORPHINE HCL 15mg suppositories
dj1t.00	MST CONTINUS 200mg m/r tablets
dj1V.00	MORPHINE SULFATE powder
dj1W.00	MST CONTINUS 60mg/sachet suspension
dj1X.00	MST CONTINUS 100mg/sachet suspension
dj1y.00	MST CONTINUS 5mg m/r tablets
dj1Y.00	MST CONTINUS 200mg/sachet suspension
dj1z.00	MST CONTINUS 15mg m/r tablets
dj25.00	*MORPHINE + COCAINE elixir
dj31.00	TEMGESIC 200microgram sublingual tablets
dj32.00	TEMGESIC 300micrograms/1mL injection
dj34.00	TEMGESIC 400microgram sublingual tablets
dj35.00	BUPRENORPHINE 400microgram sublingual tablets
dj39.00	TRANSTEC 35micrograms/hour patches
dj3a.00	TRANSTEC 52.5micrograms/hour patches
dj3A.00	BUTRANS 5micrograms/hour patches
dj3b.00	TRANSTEC 70micrograms/hour patches
dj3B.00	BUTRANS 10micrograms/hour patches
dj3C.00	BUTRANS 20micrograms/hour patches
dj3f.00	TEPHINE 200micrograms sublingual tablets
dj3g.00	TEPHINE 400micrograms sublingual tablets
dj3H.00	HAPOCTASIN 70micrograms/hour patches
