^ESCT1186029	Lorazepam 1mg tablets (Mylan)
^ESCT1186119	Allerief 2mg/5ml oral solution (Crescent Pharma Ltd)
^ESCT1189263	Zolpidem 10mg tablets (Mylan)
^ESCT1196327	Diazemuls 10mg/2ml emulsion for injection ampoules (Accord Healthcare Ltd)
^ESCT1196591	Lorazepam 1mg/ml oral solution sugar free
^ESCT1197963	Hydroxyzine 10mg/5ml oral suspension
^ESCT1198924	Diazemuls 10mg/2ml emulsion for injection ampoules (Actavis UK Ltd)
^ESCT1199497	Diazemuls 10mg/2ml emulsion for injection ampoules (Accord Healthcare Ltd)
^ESCT1214643	Alimemazine 7.5mg/5ml oral solution
^ESCT1214732	Azatadine 500micrograms/5ml oral solution
^ESCT1214784	Brompheniramine 2mg/5ml oral solution
^ESCT1214814	Temazepam 10mg/5ml oral solution sugar free
^ESCT1214963	Promethazine 25mg/1ml solution for injection ampoules
^ESCT1215499	Lorazepam 4mg/1ml solution for injection ampoules
^ESCT1215673	Hydroxyzine 10mg/5ml oral solution
^ESCT1215786	Diphenhydramine 10mg/5ml oral solution
^ESCT1215897	Diazepam 10mg/2ml emulsion for injection ampoules
^ESCT1215898	Diazepam 10mg/2ml solution for injection ampoules
^ESCT1215998	Midazolam 10mg/2ml solution for injection ampoules
^ESCT1215999	Midazolam 10mg/5ml solution for injection ampoules
^ESCT1216000	Midazolam 2mg/2ml solution for injection ampoules
^ESCT1216001	Midazolam 2mg/ml oral solution sugar free
^ESCT1216002	Midazolam 50mg/10ml solution for injection ampoules
^ESCT1216003	Midazolam 5mg/5ml solution for injection ampoules
^ESCT1250228	Zaditen 1mg tablets (CD Pharma Srl)
^ESCT1250271	Zaditen 1mg/5ml elixir (CD Pharma Srl)
^ESCT1250396	Midazolam 10mg/2ml solution for injection ampoules (Advanz Pharma)
^ESCT1250410	Midazolam 2mg/2ml solution for injection ampoules (Advanz Pharma)
^ESCT1250412	Midazolam 5mg/5ml solution for injection ampoules (Advanz Pharma)
^ESCT1250481	Temazepam 10mg/5ml oral solution sugar free (Advanz Pharma)
^ESCT1258376	Chlorphenamine 4mg tablets (Strides Pharma UK Ltd)
^ESCT1264212	Chlorphenamine 2mg/5ml oral solution
^ESCT1264213	Chlorphenamine 2mg/5ml oral solution sugar free
^ESCT1268308	Dalmane 30mg capsules (Mylan)
^ESCT1301329	Xanax 250microgram tablets (Upjohn Ltd)
^ESCT1301331	Xanax 500microgram tablets (Upjohn Ltd)
^ESCT1303975	Xanax 250microgram tablets (Upjohn UK Ltd)
^ESCT1303977	Xanax 500microgram tablets (Upjohn UK Ltd)
^ESCT1304015	Diazepam 10mg/2ml solution for injection ampoules (hameln pharma Ltd)
^ESCT1304079	Midazolam 10mg/2ml solution for injection ampoules (hameln pharma Ltd)
^ESCT1410147	Tavegil 1mg tablets (GlaxoSmithKline Consumer Healthcare UK Ltd)
^ESCT1410717	Diazepam 2mg/5ml oral solution sugar free (Accord Healthcare Ltd)
^ESCT1422366	Alimemazine 7.5mg/5ml oral solution (Zentiva Pharma UK Ltd)
^ESCT1437723	Dalmane 30mg capsules (Viatris UK Healthcare Ltd)
^ESCT1437725	Xanax 250microgram tablets (Viatris UK Healthcare Ltd)
^ESCT1437729	Xanax 500microgram tablets (Viatris UK Healthcare Ltd)
^ESCT1437762	Zolpidem 10mg tablets (Viatris UK Healthcare Ltd)
^ESCT1437951	Lorazepam 1mg tablets (Viatris UK Healthcare Ltd)
^ESCT1438111	Diazepam 10mg/5ml oral suspension (Drug Tariff Special Order)
^ESCT1440858	Tavegil 1mg tablets (Thornton & Ross Ltd)
^ESCTAL901871	Allerief 2mg/5ml oral solution (Orbis Consumer Products Ltd)
^ESCTAL963800	ALLERcalm Allergy Relief 4mg tablets (Actavis UK Ltd)
^ESCTAL993471	Alimemazine 7.5mg/5ml oral solution (Zentiva)
^ESCTAT865612	Ativan 4mg/1ml solution for injection ampoules (Pfizer Ltd)
^ESCTBO1029895	Boots Allergy Relief Antihistamine 4mg tablets (The Boots Company Plc)
^ESCTBR1045299	Brompheniramine 12mg modified-release capsules
^ESCTCH1000449	Chlorphenamine 4mg tablets (Strides Shasun (UK) Ltd)
^ESCTCH1005307	Chlordiazepoxide 10mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTCH1034631	Chlorphenamine 4mg tablets (Bristol Laboratories Ltd)
^ESCTCH1047662	Chlorphenamine 4mg tablets (Waymade Healthcare Plc)
^ESCTCH905519	Chlordiazepoxide 5mg/5ml oral suspension
^ESCTCH906129	Chlordiazepoxide 5mg tablets (A A H Pharmaceuticals Ltd)
^ESCTCH906132	Chlordiazepoxide 10mg tablets (A A H Pharmaceuticals Ltd)
^ESCTCH923594	Chlorphenamine 4mg tablets (Almus Pharmaceuticals Ltd)
^ESCTCH939597	Chlorphenamine 2mg/5ml oral solution sugar free (Teva UK Ltd)
^ESCTCH945425	Chlorphenamine 50mg/5ml oral solution
^ESCTCH978237	Chlorphenamine 4mg tablets (Sigma Pharmaceuticals Plc)
^ESCTCL1005360	Clonazepam 500microgram tablets (Phoenix Healthcare Distribution Ltd)
^ESCTCL1005451	Clonazepam 500microgram orodispersible tablets
^ESCTCL1006363	Clonazepam 500microgram tablets (Almus Pharmaceuticals Ltd)
^ESCTCL1006668	Clonazepam 500microgram oral lyophilisates sugar free
^ESCTCL1025042	Clonazepam 500micrograms/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTCL1025047	Clonazepam 2mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTCL1025496	Clonazepam 2mg/5ml oral solution sugar free
^ESCTCL1028247	Clonazepam 500micrograms/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTCL1044245	Clonazepam 2mg/5ml oral solution sugar free (Waymade Healthcare Plc)
^ESCTCL1057064	Clonazepam 2.5mg/ml drops
^ESCTCL868112	Clonazepam 1mg/1ml solution for injection ampoules and diluent
^ESCTCL905738	Clonazepam 10mg/5ml oral solution
^ESCTCL905842	Clonazepam 250micrograms/5ml oral solution
^ESCTCL905843	Clonazepam 250micrograms/5ml oral suspension
^ESCTCL905844	Clonazepam 2mg/5ml oral solution
^ESCTCL905845	Clonazepam 2mg/5ml oral suspension
^ESCTCL905856	Clonazepam 500micrograms/5ml oral solution
^ESCTCL905857	Clonazepam 500micrograms/5ml oral suspension
^ESCTCL905859	Clonazepam 5mg/5ml oral suspension
^ESCTCL944584	Clonazepam 125micrograms/5ml oral solution
^ESCTCL944585	Clonazepam 125micrograms/5ml oral suspension
^ESCTCL944691	Clonazepam 312.5micrograms/5ml oral suspension
^ESCTCL944700	Clonazepam 50micrograms/5ml oral solution
^ESCTCL964560	Clonazepam 500microgram tablets (A A H Pharmaceuticals Ltd)
^ESCTCL978253	Clonazepam 2mg tablets (Sigma Pharmaceuticals Plc)
^ESCTCL983376	Clonazepam 500microgram tablets (Teva UK Ltd)
^ESCTDA871743	Dalmane 30mg capsules (Meda Pharmaceuticals Ltd)
^ESCTDI1007611	Diazepam 2mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTDI1021177	Diazepam 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTDI1022162	Diazepam 2mg/5ml oral suspension
^ESCTDI1042779	Diazepam 5mg tablets (Waymade Healthcare Plc)
^ESCTDI1046527	Diazepam 5mg/5ml oral solution (AM Distributions (Yorkshire) Ltd)
^ESCTDI1046544	Diazepam 10mg/5ml oral solution (AM Distributions (Yorkshire) Ltd)
^ESCTDI1109076	Diazepam 5mg tablets (Crescent Pharma Ltd)
