4775.	Faeces: gallstones present
4G2..	O/E: gallstone
4G21.	O/E: cholesterol gallstone
4G22.	O/E: pigment gallstone
4G2Z.	O/E: gallstone NOS
J5030	Gallstone ileus
J64..	Gallbladder calculus
J640.	Gallbladder calculus with acute cholecystitis
J6400	Gallbladder calculus with acute cholecystitis and no obstruction
J6401	Gallbladder calculus with acute cholecystitis and obstruction
J640z	Gallbladder calculus with acute cholecystitis and obstruction NOS
J641.	Gallbladder calculus with other cholecystitis
J6410	Gallbladder calculus with other cholecystitis and no obstruction
J6411	Gallbladder calculus with other cholecystitis and obstruction
J641z	Gallbladder calculus with other cholecystitis and obstruction NOS
J642.	Gallbladder calculus without mention of cholecystitis
J6420	Gallbladder calculus without mention of cholecystitis and no obstruction
J6421	Gallbladder calculus without mention of cholecystitis and with obstruction
J642z	Gallbladder calculus without mention of cholecystitis and obstruction NOS
X308A	Gallstones
X308i	Gallstone acute pancreatitis
X308u	Gallstone chronic pancreatitis
X79cS	Gallstone
X7ABd	Gallstone sample
XaaBJ	On gallstone care pathway
XaDc4	Gallbladder and bile duct stones
XaIR8	Suspected gallstones
XaJCM	H/O: gall stones
XE0dL	Gall stones (& [calculus - gall bladder])
