16C..	Backache symptom
16C2.	Backache
16C3.	Backache with radiation
16C4.	Back pain worse on sneezing
16C5.	C/O - low back pain
16C6.	Back pain without radiation NOS
16C7.	C/O - upper back ache
16CZ.	Backache symptom NOS
1A53.	C/O - lumbar pain
1DC8.	Generalised pain
N12..	Acute back pain - disc
N131.	Pain in cervical spine
N142.	Pain in lumbar spine
N1420	Lumbago with sciatica
N145.	Backache, unspecified
N14y.	(Other back symptoms) or (facet joint syndrome)
N2410	Myalgia unspecified
R00z2	[D]Pain, generalised
X75rs	Myalgia
X75rt	Intercostal myalgia
XE0up	Lumbar pain
XE1F4	Nonspecific pain in the neck region
XE1FB	Pain in lumbar spine
XE1FE	Backache, unspecified
XE1Fm	Myalgia unspecified
XE1HU	Neck pain NOS
XE1He	Low back pain
XE1IU	Myalgia/myositis - NOS
XM0Cq	C/O - lumbar pain
XM1GI	Pain in back
Xa0sM	Acute low back pain
Xa0wj	Pain in cervical spine
Xa0wt	Nonspecific pain in the lumbar region
182B0	Costal margin chest pain
1D24.	C/O - a back symptom
A741.	Epidemic pleurodynia
A78y2	Epidemic cervical myalgia
F26y1	Ophthalmoplegic migraine
F32z.	Bertolotti's syndrome
G73z0	Vascular claudication
N094.	Pain in joint - arthralgia
N0940	Arthralgia of unspecified site
N0941	Shoulder joint pain
N0942	Elbow joint pain
N0943	Wrist joint pain
N0944	Hand joint pain
N0945	Hip joint pain
N0947	Arthralgia of the ankle and foot
N0948	Arthralgia of other specified site
N0949	Polyarthralgia
N094B	Sternoclavicular joint pain
N094C	Arthralgia of acromioclavicular joint
N094D	Elbow joint pain
N094E	Distal radioulnar joint pain
N094F	Wrist joint pain
N094G	Metacarpophalangeal joint pain
N094H	Proximal interphalangeal joint of finger pain
N094J	Distal interphalangeal joint of finger pain
N094L	Sacroiliac joint pain
N094N	Tibiofibular joint pain
N094P	Arthralgia of ankle
N094Q	Subtalar joint pain
N094R	Talonavicular joint pain
N094S	Arthralgia of other tarsal joint
N094T	First metatarsophalangeal joint pain
N094U	Lesser metatarsophalangeal joint pain
N094V	Interphalangeal joint of toe pain
N094z	Arthralgia NOS
N096.	Musculoskeletal pain - joints
N0960	Other joint symptoms of unspecified site
N0961	Other joint symptoms of the shoulder region
N0965	Hip snapping
N0967	Other joint symptoms of the ankle and foot
N096D	Other symptoms - elbow
N096K	Other symptoms - hip
N123.	Intervertebral disc prolapse NOS
N12z.	Other and unspecified disc disorders
N12z0	Other disc disorders of unspecified site
N12z2	Other thoracic disc disorders
N12zz	Disc disorders NOS
N2157	Trochanteric bursitis
N2158	Iliotibial band syndrome
N2172	Metatarsalgia NOS
N21y0	Anterior shin splints
N2401	Fibrositis unspecified
N242z	Policeman's disease
N33A0	Bony pelvic pain
N33A1	Clavicle pain
Nyu70	[X]Other cervical disc displacement
Nyu73	[X]Lumbar and other intervertebral disc disorders with myelopathy
Nyu75	[X]Other specified intervertebral disc displacement
Nyu77	[X]Other specified intervertebral disc disorders
R065A	[D]Musculoskeletal chest pain
R090C	[D]Loin pain
X705M	Eosinophilia myalgia syndrome
X7063	Soft tissue rheumatism
X707a	Metatarsalgia
X708C	Fibrositis and nodular fasciitis
X709g	Viral myalgia
X70Cg	Slipped intervertebral disc
X70Ci	Intervertebral disc prolapse NOS
X70Dq	Persistent prosthetic joint pain
X75rq	Bone pain
