medcode	readcode	Description	CodingSystem
929	K200.00	Prostatic hyperplasia unspecified	readcode
1053	K21z.00	Prostatitis NOS	readcode
2041	K22..00	Other disorders of prostate	readcode
2627	K20..16	Prostatism	readcode
2946	K211.00	Chronic prostatitis	readcode
3045	K20..00	Benign prostatic hypertrophy	readcode
4235	K221000	Prostatic congestion	readcode
5906	1AA..00	Prostatism	readcode
7094	K21..11	Prostatitis and other inflammatory diseases of prostate	readcode
7555	K20..15	BPH - benign prostatic hypertrophy	readcode
10146	K21..00	Prostate inflammatory diseases	readcode
14871	K22yz00	Other prostate disorders NOS	readcode
16035	K20z.00	Prostatic hyperplasia NOS	readcode
23601	K221.00	Prostatic congestion or haemorrhage	readcode
27479	K220.00	Calculus of prostate	readcode
29437	K22y.00	Other disorders of prostate OS	readcode
29497	K213.00	Prostatocystitis	readcode
33389	K212.00	Abscess of prostate	readcode
33409	K22z.00	Prostatic disorders NOS	readcode
35676	K202.00	Prostatic hyperplasia of the medial lobe	readcode
47717	K22y200	Stricture of prostate	readcode
48181	K221100	Prostatic haemorrhage	readcode
53550	K222.00	Atrophy of prostate	readcode
59599	K22y000	Prostatic fistula	readcode
62232	K21y.00	Other prostatic inflammatory diseases	readcode
64296	K201.00	Prostatic hyperplasia of the lateral lobe	readcode
65775	K22y100	Infarction of prostate	readcode
67204	K22y300	Periprostatic adhesions	readcode
71783	K221z00	Prostatic congestion or haemorrhage NOS	readcode
72679	Kyu6100	[X]Other specified disorders of prostate	readcode
