medcode	readcode	Description	CodingSystem
669	E250000	"Nondependent alcohol abuse, unspecified"	readcode
689	E240.11	Heroin dependence	readcode
1588	E25z.00	Misuse of drugs NOS	readcode
3519	E24..11	Drug addiction	readcode
3635	E252.00	Nondependent cannabis abuse	readcode
4564	Eu11212	[X]Heroin addiction	readcode
5105	E24..00	Drug dependence	readcode
5203	E246.00	Glue sniffing dependence	readcode
5610	E253.00	Nondependent hallucinogen abuse	readcode
6111	8B23.11	Drug addictn therap-methadone	readcode
7496	8B23.00	Drug addiction therapy	readcode
7747	E25..00	Nondependent abuse of drugs	readcode
8284	E243.00	Cannabis type drug dependence	readcode
8490	13c..00	Drug user	readcode
9024	8B23.13	Drug dependence therapy	readcode
9615	Eu19211	[X]Drug addiction NOS	readcode
10045	Eu15211	[X]Drug addiction-other stimul	readcode
10538	Eu11211	[X]Drug addiction - opioids	readcode
10655	Eu12.00	[X]Mental and behavioural disorders due to use cannabinoids	readcode
10656	Eu19.00	[X]Men & behav disorder multiple drug use/psychoactive subst	readcode
10859	SL85000	Cocaine poisoning	readcode
10860	E256.00	Nondependent cocaine abuse	readcode
11746	Eu14211	[X]Drug addiction - cocaine	readcode
11840	E242.00	Cocaine type drug dependence	readcode
12353	Eu10500	[X]Mental & behav dis due to use alcohol: psychotic disorder	readcode
14809	E249.00	"Combined drug dependence, excluding opioids"	readcode
16071	E253.12	LSD reaction	readcode
16161	E25y.00	Nondependent other drug abuse	readcode
16243	E240.00	Opioid type drug dependence	readcode
16374	E240.12	Methadone dependence	readcode
20458	SL50100	Heroin poisoning	readcode
20962	E240200	Episodic opioid dependence	readcode
21087	E24A.00	Ecstasy type drug dependence	readcode
21623	9G2..11	Drug addict notific admin	readcode
21662	Eu12211	[X]Drug addiction - cannabis	readcode
21683	E245.11	LSD dependence	readcode
22079	13c0.00	Injecting drug user	readcode
22186	E244.00	Amphetamine or other psychostimulant dependence	readcode
22481	E257.00	Nondependent amphetamine or other psychostimulant abuse	readcode
22530	9HC0.00	Initial substance misuse assessment	readcode
24441	E240z00	Opioid drug dependence NOS	readcode
24616	E243000	"Cannabis dependence, unspecified"	readcode
24637	Eu19500	[X]Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis	readcode
24849	9G21.00	Drug addict notific to CMO	readcode
24998	E247100	"Other specified drug dependence, continuous"	readcode
25229	E257200	"Nondependent amphetamine or psychostimulant abuse, episodic"	readcode
25448	E252200	"Nondependent cannabis abuse, episodic"	readcode
25526	E252z00	Nondependent cannabis abuse NOS	readcode
25527	Eu11311	"[X]Cold turkey, opiate withdrawal"	readcode
25646	E244z00	Amphetamine or psychostimulant dependence NOS	readcode
25670	E244.12	Stimulant dependence	readcode
25748	E242100	"Cocaine dependence, continuous"	readcode
25808	E242000	"Cocaine dependence, unspecified"	readcode
25925	13cE.00	Prolonged high dose use of cannabis	readcode
26061	E248.00	Combined opioid with other drug dependence	readcode
26831	E255.00	Nondependent opioid abuse	readcode
27652	Eu11700	[X]Men & beh dis due opioids: resid & late-onset psychot dis	readcode
28642	13c5.00	Substance misuse increased	readcode
28710	U205.11	[X]Overdose - heroin	readcode
28766	13cH.00	Persistent substance misuse	readcode
28976	8B2N.00	Drug addiction detoxification therapy - methadone	readcode
29446	E24z.00	Drug dependence NOS	readcode
29728	9G2..00	Drug addiction notification	readcode
30034	Eu1..00	[X]Mental and behavioural disorders due to psychoactive subs	readcode
30251	13c1.00	Intravenous drug user	readcode
30565	146C.00	Failed heroin detoxification	readcode
30679	8BAX.00	Drug dependence home detoxification	readcode
30694	8B2P.00	Drug addiction maintenance therapy - methadone	readcode
30750	7P22000	Delivery of rehabilitation for drug addiction	readcode
31736	Eu18.00	[X]Mental & behav disorders due to use of volatile solvents	readcode
31754	SL97000	Amfetamine poisoning	readcode
32052	Eu14.00	[X]Mental and behavioural disorders due to use of cocaine	readcode
32640	Eu1A.00	[X]Mental and behavioural disorders due use of crack cocaine	readcode
32653	8BAW.00	Drug dependence self detoxification	readcode
32751	E257.11	Psychostimulant abuse	readcode
32760	SL50.12	Opiate poisoning	readcode
32804	E240.14	Opium dependence	readcode
32887	E245.00	Hallucinogen dependence	readcode
32931	E256000	"Nondependent cocaine abuse, unspecified"	readcode
33462	E243z00	Cannabis drug dependence NOS	readcode
33585	Eu18211	[X]Drug addiction - solvent	readcode
33774	E246200	"Glue sniffing dependence, episodic"	readcode
33838	E259z00	Nondependent mixed drug abuse NOS	readcode
33876	TJ96000	Adverse reaction to cannabis	readcode
