CTV3Code	Description
13Y2.	Schizophrenia association member
13Y3.	Manic-depression association member
1464.	H/O: schizophrenia
1B1E.	Hallucinations
286..	Poor insight into psychotic condition
6657.	On lithium
665B.	Lithium stopped
E0...	Organic psychotic condition
E00z.	[X]Presenile psychosis NOS
E03y0	Organic delusional disorder
E03y3	Unspecified puerperal psychosis
E1...	Non-organic psychoses
E10..	Schizophrenic disorders
E100.	Simple schizophrenia
E1000	Unspecified schizophrenia
E1001	Subchronic schizophrenia
E1002	Chronic schizophrenic
E1003	Acute exacerbation of subchronic schizophrenia
E1004	Acute exacerbation of chronic schizophrenia
E1005	Schizophrenia in remission
E100z	Simple schizophrenia NOS
E101.	Disorganised schizophrenia
E1010	Unspecified hebephrenic schizophrenia
E1011	Subchronic hebephrenic schizophrenia
E1012	Chronic hebephrenic schizophrenia
E1013	Acute exacerbation of subchronic hebephrenic schizophrenia
E1014	Acute exacerbation of chronic hebephrenic schizophrenia
E1015	Hebephrenic schizophrenia in remission
E101z	Hebephrenic schizophrenia NOS
E102.	[X]Schizophrenic flexibilatis cerea
E1020	Unspecified catatonic schizophrenia
E1021	Subchronic catatonic schizophrenia
E1022	Chronic catatonic schizophrenia
E1023	Acute exacerbation of subchronic catatonic schizophrenia
E1024	Acute exacerbation of chronic catatonic schizophrenia
E1025	Catatonic schizophrenia in remission
E102z	Catatonic schizophrenia NOS
E103.	Paraphrenic schizophrenia
E1030	Unspecified paranoid schizophrenia
E1031	Subchronic paranoid schizophrenia
E1032	Chronic paranoid schizophrenia
E1033	Acute exacerbation of subchronic paranoid schizophrenia
E1034	Acute exacerbation of chronic paranoid schizophrenia
E1035	Paranoid schizophrenia in remission
E103z	Paranoid schizophrenia NOS
E104.	Oneirophrenia
E105.	Latent schizophrenia
E1050	Unspecified latent schizophrenia
E1051	Subchronic latent schizophrenia
E1052	Chronic latent schizophrenia
E1053	Acute exacerbation of subchronic latent schizophrenia
E1054	Acute exacerbation of chronic latent schizophrenia
E1055	Latent schizophrenia in remission
E105z	Latent schizophrenia NOS
E107.	Schizoaffective schizophrenia
E1070	Unspecified schizoaffective schizophrenia
E1071	Subchronic schizoaffective schizophrenia
E1072	Chronic schizoaffective schizophrenia
E1073	Acute exacerbation of subchronic schizoaffective schizophrenia
E1074	Acute exacerbation of chronic schizoaffective schizophrenia
E1075	Schizoaffective schizophrenia in remission
E107z	Schizoaffective schizophrenia NOS
E10y.	Cenesthopathic schizophrenia
E10y0	Atypical schizophrenia
E10y1	Coenesthopathic schizophrenia
E10yz	Other schizophrenia NOS
E10z.	Schizophrenia NOS
E11..	Manic psychoses
E1100	Single manic episode, unspecified
E1101	Single manic episode, mild
E1102	Single manic episode, moderate
E1103	Single manic episode, severe without mention of psychosis
E1104	Single manic episode, severe, with psychosis
E1105	Single manic episode in partial or unspecified remission
E1106	Single manic episode in full remission
E111.	Recurrent manic episodes
E1110	Recurrent manic episodes, unspecified
E1111	Recurrent manic episodes, mild
E1112	Recurrent manic episodes, moderate
E1113	Recurrent manic episodes, severe without mention of psychosis
E1114	Recurrent manic episodes, severe, with psychosis
E1115	Recurrent manic episodes, in partial or unspecified remission
E1116	Recurrent manic episodes, in full remission
E111z	Recurrent manic episode NOS
E1123	Single major depressive episode, severe, without mention of psychosis
E1124	Single major depressive episode, severe, with psychosis
E1133	Recurrent major depressive episodes, severe, without mention of psychosis
E1134	Recurrent major depressive episodes, severe, with psychosis
E114.	Bipolar affective disorder, current episode manic
E1140	Bipolar affective disorder, currently manic, unspecified
E1141	Bipolar affective disorder, currently manic, mild
E1142	Bipolar affective disorder, currently manic, moderate
E1143	Bipolar affective disorder, currently manic, severe, without mention of psychosis
E1144	Bipolar affective disorder, currently manic, severe, with psychosis
E1145	Bipolar affective disorder, currently manic, in partial or unspecified remission
E1146	Bipolar affective disorder, currently manic, in full remission
E114z	Bipolar affective disorder, currently manic, NOS
E115.	Bipolar affective disorder, current episode depression
E1150	Bipolar affective disorder, currently depressed, unspecified
E1151	Bipolar affective disorder, currently depressed, mild
E1152	Bipolar affective disorder, currently depressed, moderate
