prodcode	CodingSystem	productname	gemscriptcode
22	prodcode	Fluoxetine 20mg capsules	69654020
49	prodcode	Amitriptyline 25mg tablets	58950020
50	prodcode	Paroxetine 20mg tablets	72932020
67	prodcode	Citalopram 20mg tablets	79462020
74	prodcode	Dosulepin 75mg tablets	62834020
83	prodcode	Amitriptyline 10mg tablets	58949020
84	prodcode	Dosulepin 25mg capsules	62833020
114	prodcode	Lofepramine 70mg tablets	64034020
182	prodcode	Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd)	55445020
252	prodcode	Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd)	69507020
301	prodcode	Venlafaxine 37.5mg tablets	54686020
418	prodcode	Prozac 20mg capsules (Eli Lilly and Company Ltd)	69506020
470	prodcode	Venlafaxine 75mg modified-release capsules	85108020
476	prodcode	Citalopram 10mg tablets	79463020
487	prodcode	Amitriptyline 25mg modified-release capsules	60222020
488	prodcode	Sertraline 50mg tablets	74050020
513	prodcode	Citalopram 40mg/ml oral drops sugar free	77306020
527	prodcode	Paroxetine 10mg/5ml oral suspension sugar free	72934020
595	prodcode	Amitriptyline 25mg / Perphenazine 2mg tablets	68729020
603	prodcode	Escitalopram 10mg tablets	78768020
623	prodcode	Efexor 37.5mg tablets (Wyeth Pharmaceuticals)	48376020
648	prodcode	Cipralex 10mg tablets (Lundbeck Ltd)	86222020
727	prodcode	Sertraline 100mg tablets	74051020
742	prodcode	Mirtazapine 30mg tablets	85247020
785	prodcode	Cipralex 5mg tablets (Lundbeck Ltd)	87526020
815	prodcode	Cipramil 40mg/ml drops (Lundbeck Ltd)	77312020
841	prodcode	Seroxat 20mg tablets (GlaxoSmithKline UK Ltd)	72937020
1169	prodcode	Prothiaden 25mg capsules (Teofarma)	55456020
1208	prodcode	Triptafen tablets (AMCo)	52046020
1222	prodcode	Venlafaxine 75mg tablets	54687020
1310	prodcode	Imipramine 10mg tablets	59429020
1397	prodcode	Paroxetine 30mg tablets	72933020
1453	prodcode	Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)	52047020
1474	prodcode	Efexor XL 75mg capsules (Pfizer Ltd)	85163020
1575	prodcode	Seroxat 30mg tablets (GlaxoSmithKline UK Ltd)	72938020
1612	prodcode	Lustral 50mg tablets (Pfizer Ltd)	74046020
1712	prodcode	Cipramil 20mg tablets (Lundbeck Ltd)	79420020
1730	prodcode	Trazodone 100mg capsules	67152020
1809	prodcode	Imipramine 25mg tablets	59430020
1888	prodcode	Amitriptyline 50mg tablets	58951020
1940	prodcode	Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd)	56698020
2039	prodcode	Trimipramine 25mg tablets	67281020
2093	prodcode	Gamanil 70mg tablets (Merck Serono Ltd)	55432020
2290	prodcode	Fluvoxamine 100mg tablets	62070020
2320	prodcode	Prothiaden 75mg tablets (Teofarma)	55457020
2356	prodcode	Reboxetine 4mg tablets	84955020
2408	prodcode	Cipramil 40mg tablets (Lundbeck Ltd)	79422020
2525	prodcode	Amitriptyline 75mg modified-release capsules	60224020
2531	prodcode	Surmontil 50mg capsules (Sanofi)	55418020
2532	prodcode	Surmontil 25mg tablets (Sanofi)	55417020
2533	prodcode	TRIMIPRAMINE 50 MG TAB	1787007
2548	prodcode	Fluoxetine 20mg/5ml oral solution	69655020
2579	prodcode	Tofranil 10mg Tablet (Novartis Pharmaceuticals UK Ltd)	55402020
2617	prodcode	Venlafaxine 50mg tablets	54688020
2654	prodcode	Venlafaxine 150mg modified-release capsules	85109020
2880	prodcode	Fluvoxamine 50mg tablets	62069020
2883	prodcode	Moclobemide 150mg tablets	72031020
2897	prodcode	Faverin 50mg tablets (Mylan)	62073020
3083	prodcode	Mianserin 10mg tablets	64729020
3183	prodcode	Nortriptyline 10mg tablets	65153020
3194	prodcode	Clomipramine 10mg capsules	61463020
3196	prodcode	Trimipramine 50mg capsules	67282020
3349	prodcode	Nardil 15mg tablets (Kyowa Kirin Ltd)	50620020
3353	prodcode	L-TRYPTOPHAN 500 MG CAP	62007
3355	prodcode	Trazodone 50mg capsules	67151020
3356	prodcode	Parstelin Tablet (GlaxoSmithKline Consumer Healthcare)	51013020
3490	prodcode	Amitriptyline 10mg / Perphenazine 2mg tablets	68728020
3554	prodcode	Doxepin 25mg capsules	62851020
3601	prodcode	Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd)	72939020
3657	prodcode	Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)	55387020
3668	prodcode	IMIPRAMINE 100 MG TAB	3312007
3670	prodcode	Clomipramine 25mg capsules	61464020
3777	prodcode	Amitriptyline 10mg/5ml sugar free oral solution	75331020
3783	prodcode	Tranylcypromine 10mg tablets	67145020
3842	prodcode	Doxepin 10mg capsules	62850020
3861	prodcode	Cipramil 10mg tablets (Lundbeck Ltd)	79421020
3903	prodcode	Nortriptyline 25mg tablets	65154020
3925	prodcode	Clomipramine 50mg capsules	61465020
3951	prodcode	Fluanxol 1mg tablets (Lundbeck Ltd)	49503020
3953	prodcode	Fluanxol 500microgram tablets (Lundbeck Ltd)	49502020
3954	prodcode	OPTIMAX TAB	4647007
3955	prodcode	Tranylcypromine with trifluoperazine Tablet	67148020
4003	prodcode	Molipaxin 150mg tablets (Zentiva)	54110020
4020	prodcode	Trazodone 150mg tablets	67153020
4075	prodcode	Fluoxetine 60mg capsules	69656020
4118	prodcode	Nortriptyline 10mg Capsule	65157020
4194	prodcode	Molipaxin 100mg capsules (Zentiva)	54109020
4218	prodcode	Lofepramine 70mg/5ml oral suspension sugar free	64035020
4310	prodcode	Trimipramine 10mg tablets	67280020
4321	prodcode	Phenelzine 15mg tablets	65635020
4329	prodcode	Mianserin 20mg tablets	64730020
4352	prodcode	Lustral 100mg tablets (Pfizer Ltd)	74047020
4422	prodcode	Tryptophan 500mg tablets	67310020
4682	prodcode	Amitriptyline 50mg modified-release capsules	60223020
4690	prodcode	Amitriptyline 50mg/5ml oral solution sugar free	75329020
4726	prodcode	Zispin 30mg tablets (Organon Laboratories Ltd)	85251020
4770	prodcode	Citalopram 40mg tablets	79464020
4874	prodcode	Molipaxin 50mg capsules (Zentiva)	54108020
4907	prodcode	Prozac 60mg capsules (Eli Lilly and Company Ltd)	69508020
5073	prodcode	Doxepin 50mg capsules	62852020
5187	prodcode	Moclobemide 300mg tablets	72032020
5611	prodcode	Optimax 500mg tablets (Intrapharm Laboratories Ltd)	50868020
5710	prodcode	Efexor XL 150mg capsules (Pfizer Ltd)	85164020
5832	prodcode	Manerix 300mg tablets (Meda Pharmaceuticals Ltd)	71995020
6054	prodcode	Dosulepin 25mg/5ml oral solution sugar free	62835020
6218	prodcode	Escitalopram 20mg tablets	53823020
6255	prodcode	Mianserin 30mg tablets	64731020
6274	prodcode	Efexor 50mg tablets (Wyeth Pharmaceuticals)	48378020
6312	prodcode	Amitriptyline 25mg/5ml oral solution sugar free	75330020
6360	prodcode	Cipralex 20mg tablets (Lundbeck Ltd)	55602020
6405	prodcode	Escitalopram 5mg tablets	87524020
6421	prodcode	Mirtazapine 15mg orodispersible tablets	87476020
6442	prodcode	Trazodone 50mg/5ml oral solution sugar free	67156020
6481	prodcode	Mirtazapine 45mg orodispersible tablets	87478020
6488	prodcode	Mirtazapine 30mg orodispersible tablets	86969020
6795	prodcode	Mirtazapine 15mg tablets	88879020
6846	prodcode	Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd)	87480020
6854	prodcode	Mirtazapine 45mg tablets	88881020
6894	prodcode	Perphenazine 2mg with Amitriptyline 25mg tablet	65593020
6895	prodcode	Duloxetine 60mg gastro-resistant capsules	88847020
7059	prodcode	Doxepin 75mg capsules	62857020
7122	prodcode	Duloxetine 30mg gastro-resistant capsules	88845020
7328	prodcode	Sertraline 50mg/5ml oral suspension	90497020
7468	prodcode	Bolvidon 10mg Tablet (Organon Laboratories Ltd)	48430020
7515	prodcode	Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)	55386020
7573	prodcode	IMIPRAMINE 25 MG CAP	4844007
7677	prodcode	Allegron 10mg tablets (King Pharmaceuticals Ltd)	55355020
7678	prodcode	Nortriptyline 25mg Capsule	65158020
7693	prodcode	Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)	55388020
7751	prodcode	Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd)	55441020
7780	prodcode	Nortriptyline 10mg / Fluphenazine 500microgram tablets	68989020
7784	prodcode	IMIPRAMINE 50 MG TAB	4843007
7894	prodcode	Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)	55396020
7910	prodcode	Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd)	55403020
8055	prodcode	Imipramine 25mg/5ml oral solution	63537020
8144	prodcode	Bolvidon 20mg Tablet (Organon Laboratories Ltd)	48431020
8174	prodcode	Molipaxin 50mg/5ml oral liquid (Sanofi)	54779020
8332	prodcode	Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd)	55442020
8585	prodcode	Bolvidon 30mg Tablet (Organon Laboratories Ltd)	48432020
8640	prodcode	Allegron 25mg tablets (King Pharmaceuticals Ltd)	55356020
8661	prodcode	Clomipramine 75mg modified-release tablets	61473020
8719	prodcode	Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)	55392020
8720	prodcode	Clomipramine 25mg/5ml oral solution	61469020
8726	prodcode	Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd)	55440020
8831	prodcode	Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd)	55446020
8844	prodcode	Tryptophan with ascorbic acid and pyridoxine powder	67314020
8845	prodcode	OPTIMAX 6 GM POW	5487007
8878	prodcode	Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd)	55450020
8928	prodcode	Surmontil 10mg tablets (Sanofi)	55416020
9182	prodcode	Efexor 75mg tablets (Wyeth Pharmaceuticals)	48377020
9206	prodcode	Manerix 150mg tablets (Meda Pharmaceuticals Ltd)	71994020
10083	prodcode	Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd)	86971020
10413	prodcode	Sinequan 10mg capsules (Pfizer Ltd)	55464020
10649	prodcode	IMIPRAMINE 75 MG TAB	4845007
10787	prodcode	Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd)	51010020
10948	prodcode	Dosulepin 75mg/5ml oral solution sugar free	54727020
11956	prodcode	Norval 20mg Tablet (Bencard)	50775020
11963	prodcode	Limbitrol 10 Capsule (Roche Products Ltd)	54655020
12123	prodcode	Faverin 100mg tablets (Mylan)	62074020
12125	prodcode	Sinequan 50mg capsules (Pfizer Ltd)	55466020
12129	prodcode	Sinequan 25mg capsules (Pfizer Ltd)	55465020
12192	prodcode	Norval 30mg Tablet (Bencard)	50776020
12194	prodcode	NORTRIPTYLINE 10 MG ELI	5750007
12207	prodcode	Isocarboxazid 10mg tablets	63638020
12221	prodcode	Pacitron 500mg Tablet (Rorer Pharmaceuticals Ltd)	50957020
12368	prodcode	Norval 10mg Tablet (Bencard)	50774020
12503	prodcode	Marplan 10mg Tablet (Cambridge Laboratories Ltd)	50286020
12710	prodcode	Trazodone 150mg modified-release tablets	67157020
13237	prodcode	Venlafaxine 37.5mg/5ml oral suspension	89954020
13621	prodcode	Molipaxin CR 150mg tablets (Aventis Pharma)	54780020
14519	prodcode	Sinequan 75mg capsules (Pfizer Ltd)	55469020
14521	prodcode	SINEQUAN 15 MG TAB	1972007
14534	prodcode	Limbitrol 5 Capsule (Roche Products Ltd)	50198020
14578	prodcode	Nortriptyline 30mg / Fluphenazine 1.5mg tablets	68990020
14740	prodcode	Oxactin 20mg capsules (Discovery Pharmaceuticals)	80679020
15163	prodcode	Edronax 4mg tablets (Pfizer Ltd)	84961020
15268	prodcode	Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd)	87482020
15632	prodcode	Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)	56699020
16154	prodcode	Mirtazapine 15mg/ml oral solution sugar free	87990020
16323	prodcode	Perphenazine 2mg with Amitriptyline 10mg tablet	65592020
18342	prodcode	Amitriptyline 25mg / Chlordiazepoxide 10mg capsules	68725020
19168	prodcode	Dosulepin 25mg/5ml mixture	54728020
19181	prodcode	Trazodone 100mg capsules (Mylan)	62912020
19183	prodcode	Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd)	61084020
19186	prodcode	Dosulepin 75mg tablets (Actavis UK Ltd)	56943020
19470	prodcode	Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd)	63016020
19779	prodcode	Amitriptyline 10mg/ml injection	60229020
20026	prodcode	Domical 25mg Tablet (Berk Pharmaceuticals Ltd)	55363020
20152	prodcode	Escitalopram 10mg/ml oral drops sugar free	90871020
20504	prodcode	Optimax wv Tablet (E. Merck)	54978020
20571	prodcode	Fluphenazine with nortriptyline 500microgramswith10mg Tablet	62045020
20715	prodcode	LIMBITROL 5	!4097101
21081	prodcode	Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules	68724020
21157	prodcode	Thaden 75mg tablets (Opus Pharmaceuticals Ltd)	84817020
21819	prodcode	Prepadine 75mg tablets (Teva UK Ltd)	57111020
21820	prodcode	Prepadine 25mg capsules (Teva UK Ltd)	57110020
22070	prodcode	Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)	55688020
23334	prodcode	FAVERIN	!2497701
23426	prodcode	Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)	49588020
24134	prodcode	Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd)	48517020
24141	prodcode	Amitriptyline 10mg tablets (Actavis UK Ltd)	48507020
24145	prodcode	Amitriptyline 25mg tablets (Actavis UK Ltd)	48508020
24147	prodcode	Amitriptyline 25mg tablets (Teva UK Ltd)	48480020
24152	prodcode	Amitriptyline 10mg tablets (Teva UK Ltd)	48479020
24680	prodcode	Elavil 10mg Tablet (DDSA Pharmaceuticals Ltd)	59132020
24890	prodcode	Trifluoperazine with tranylcypromine 1mg + 10mg Tablet	69003020
25045	prodcode	TRIMIPRAMINE	!7275101
25085	prodcode	TRIMIPRAMINE	!7275103
25444	prodcode	Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd)	84171020
26016	prodcode	Citalopram 20mg tablets (Sandoz Ltd)	65128020
26056	prodcode	Cipralex 10mg/ml oral drops (Lundbeck Ltd)	90873020
26213	prodcode	Domical 10mg Tablet (Berk Pharmaceuticals Ltd)	55362020
27008	prodcode	Domical 50mg Tablet (Berk Pharmaceuticals Ltd)	55364020
27565	prodcode	FLUANXOL	!2619101
29339	prodcode	Trazodone 50mg capsules (Mylan)	62911020
29756	prodcode	Paxoran 20mg Tablet (Ranbaxy (UK) Ltd)	88348020
29786	prodcode	Ranflutin 20mg capsules (Ranbaxy (UK) Ltd)	82055020
29857	prodcode	Trazodone 150mg tablets (Teva UK Ltd)	62363020
29875	prodcode	Dosulepin 25mg capsules (Mylan)	60464020
30258	prodcode	Fluoxetine 20mg/5ml oral solution (Teva UK Ltd)	64692020
