#AUTOGENERATED	DONT EDIT
A0223	Salmonella arthritis
A0224	Salmonella osteomyelitis
A151.	Tuberculosis of hip joint
A152.	Tuberculosis of knee joint
A153.	Tuberculosis limb bones - Tuberculous dactylitis
A154.	Tuberculous mastoiditis
A15x.	Tuberculosis of other specified bones
A15y.	Tuberculosis of other specified joint
A15z.	Tuberculosis of bones or joints NOS
A36y1	Meningococcal arthritis
A56x0	Arthritis due to rubella
A9850	Gonococcal arthritis
A9853	Gonococcal spondylitis
A985z	Gonococcal: [joint infection NOS] or [rheumatism]
J0642	Chronic osteitis of jaw
J0644	Acute osteomyelitis of jaw
J0645	Chronic osteomyelitis of jaw
J0650	Dry tooth socket
N010.	Arthritis: [septic] or [pyogenic]
N0100	Pyogenic arthritis of unspecified site
N0101	Pyogenic arthritis of the shoulder region
N0102	Pyogenic arthritis of: [upper arm] or [elbow]
N0104	Pyogenic arthritis of the hand
N0108	Staphylococcal arthritis and polyarthritis
N0109	Pneumococcal arthritis and polyarthritis
N010x	Pyogenic arthritis of multiple sites
N010y	Pyogenic arthritis of other specified sites
N010z	Pyogenic arthritis NOS
N014.	Arthropathy associated with other bacterial diseases
N0140	Arthropathy associated with other bacterial disease, of unspecified site
N0147	Arthropathy associated with other bacterial disease, of the ankle and foot
N01z.	Infective arthritis NOS
N01z5	Infective arthritis NOS, of the pelvic region and thigh
N01z7	Infective arthritis NOS, of the ankle and foot
N01z8	Infective arthritis NOS, of shoulder
N01zB	Infective arthritis NOS, of elbow
N01zH	Infective arthritis NOS, of hip
N01zK	Infective arthritis NOS, of knee
N11y1	Enterobacterial spondylitis
N30..	Osteomyelitis, periostitis and other infections affecting bone
N3000	Acute osteomyelitis of unspecified site
N3001	Acute osteomyelitis of the shoulder region
N3002	Acute osteomyelitis of the upper arm
N3003	Acute osteomyelitis of the forearm
N3004	Acute osteomyelitis of the hand
N3006	Acute osteomyelitis of the lower leg
N3008	Acute osteomyelitis of other specified site
N3009	Acute osteomyelitis of multiple sites
N300A	Acute osteomyelitis-cervical spine
N300B	Acute osteomyelitis-thoracic spine
N300C	Acute osteomyelitis-lumbar spine
N300D	Acute osteomyelitis-sacrum
N300E	Acute osteomyelitis-coccyx
N300F	Acute osteomyelitis-clavicle
N300H	Acute osteomyelitis-humerus
N300J	Acute osteomyelitis-radius
N300K	Acute osteomyelitis-ulna
N300M	Acute osteomyelitis-metacarpal
N300N	Acute osteomyelitis-phalanx of finger/thumb
N300P	Acute osteomyelitis-pelvis
N300Q	Acute osteomyelitis-femur
N300R	Acute osteomyelitis-patella
N300S	Acute osteomyelitis-tibia
N300T	Acute osteomyelitis-fibula
N300U	Acute osteomyelitis-calcaneum
N300V	Acute osteomyelitis-talus
N300X	Acute osteomyelitis-metatarsal
N300Y	Acute osteomyelitis-phalanx of toe
N300z	Acute osteomyelitis NOS
N300Z	Acute haematogenous osteomyelitis
N3010	Chronic osteomyelitis of unspecified site
N3011	Chronic osteomyelitis of the shoulder region
N3012	Chronic osteomyelitis of the upper arm
N3013	Chronic osteomyelitis of the forearm
N3014	Chronic osteomyelitis of the hand
N3016	Chronic osteomyelitis of the lower leg
N3018	Chronic osteomyelitis of other specified site
N3019	Chronic osteomyelitis of multiple sites
N301A	Chronic osteomyelitis-cervical spine
N301C	Chronic osteomyelitis-lumbar spine
N301D	Chronic osteomyelitis-sacrum
N301z	Chronic osteomyelitis NOS
N3020	Unspecified osteomyelitis of unspecified site
N3021	Unspecified osteomyelitis of the shoulder region
N3022	Unspecified osteomyelitis of the upper arm
N3023	Unspecified osteomyelitis of the forearm
N3024	Unspecified osteomyelitis of the hand
N3025	Unspecified osteomyelitis of the pelvic region and thigh
N3026	Unspecified osteomyelitis of the lower leg
N3027	Unspecified osteomyelitis of the ankle and foot
N3028	Unspecified osteomyelitis of other specified site
N3029	Unspecified osteomyelitis of multiple sites
N302a	Osteomyelitis of vertebra
N302A	Infection of cervical spine
N302B	Infection of thoracic spine
N302C	Infection of lumbar spine
N302D	Infection of sacrum
N302E	Infection of coccyx
N302F	Infection of clavicle
N302G	Infection of scapula
N302H	Infection of humerus
N302K	Infection of ulna
N302M	Infection of metacarpal
N302N	Infection of phalanx of finger or thumb
N302P	Infection of pelvis
N302Q	Infection of femur
N302R	Infection of patella
N302S	Infection of tibia
N302W	Infection of other tarsal bone
N302X	Infection of metatarsal
N302Y	Infection of phalanx of toe
N302z	Unspecified osteomyelitis NOS
N303.	Periostitis without osteomyelitis
N3030	Periostitis without mention of osteomyelitis, of unspecified site
