#AUTOGENERATED	DONT EDIT
N010.00	Pyogenic arthritis, unspecified
N302.00	Osteomyelitis, unspecified
A151.00	Tuberculosis of bones and joints
N301.00	Other chronic osteomyelitis
A150.00	Tuberculosis of spine
A15..00	Tuberculosis of bones and joints
N303000	Osteomyelitis, unspecified
N302500	Osteomyelitis, unspecified
A153.00	Tuberculosis of bones and joints
N300.00	Other acute osteomyelitis
N304.00	Tuberculosis of spine
N010600	Pyogenic arthritis, unspecified
N300Z00	Acute haematogenous osteomyelitis
N306.00	Tuberculosis of bones and joints
N302000	Osteomyelitis, unspecified
N010y00	Pyogenic arthritis, unspecified
N302N00	Osteomyelitis, unspecified
N300800	Other acute osteomyelitis
N300600	Other acute osteomyelitis
J064500	Inflammatory conditions of jaws
N302X00	Osteomyelitis, unspecified
N302Y00	Osteomyelitis, unspecified
A56x000	Arthritis due to rubella
A154.00	Tuberculous mastoiditis
N010500	Pyogenic arthritis, unspecified
N010200	Pyogenic arthritis, unspecified
N301M00	Chronic osteomyelitis with draining sinus
Nyu0000	[X]Other streptococcal arthritis and polyarthritis
N300500	Other acute osteomyelitis
N30..00	Osteomyelitis
N302b00	Other osteomyelitis
A985000	Gonococcal infection of musculoskeletal system
A152.00	Tuberculous arthritis
N300000	Other acute osteomyelitis
N309.00	Subacute osteomyelitis
N302a00	Osteomyelitis of vertebra
N302700	Osteomyelitis, unspecified
N305.00	Tuberculosis of bone
N301700	Other chronic osteomyelitis
N300700	Other acute osteomyelitis
N302600	Osteomyelitis, unspecified
A36y100	Meningococcal arthropathy
N303600	Osteomyelitis, unspecified
A022300	Arthritis in other bacterial diseases classified elsewhere
N010800	Staphylococcal arthritis and polyarthritis
SP06000	Infect and inflammatory reaction due to internal joint pros
N303.00	Osteomyelitis, unspecified
N300S00	Other acute osteomyelitis
N302z00	Osteomyelitis, unspecified
N300Q00	Other acute osteomyelitis
N014.00	Arthritis in other bacterial diseases classified elsewhere
N302P00	Osteomyelitis, unspecified
J064200	Inflammatory conditions of jaws
A15x.00	Tuberculosis of bones and joints
N30zz00	Osteomyelitis, unspecified
N300N00	Other acute osteomyelitis
N301600	Other chronic osteomyelitis
N010400	Pyogenic arthritis, unspecified
N300U00	Other acute osteomyelitis
N301L00	Chronic multifocal osteomyelitis
N302Q00	Osteomyelitis, unspecified
N302D00	Osteomyelitis of vertebra
N010000	Pyogenic arthritis, unspecified
N301100	Other chronic osteomyelitis
N302200	Osteomyelitis, unspecified
A15y.00	Tuberculous arthritis
N300X00	Other acute osteomyelitis
N300100	Other acute osteomyelitis
N30z.00	Osteomyelitis, unspecified
N302M00	Osteomyelitis, unspecified
A15z.00	Tuberculosis of bones and joints
A022400	Osteopathy in other infectious diseases classified elsewhere
N010100	Pyogenic arthritis, unspecified
N302S00	Osteomyelitis, unspecified
N300F00	Other acute osteomyelitis
N302B00	Osteomyelitis of vertebra
N300300	Other acute osteomyelitis
N300z00	Other acute osteomyelitis
N302C00	Osteomyelitis of vertebra
N302800	Osteomyelitis, unspecified
N301z00	Other chronic osteomyelitis
N301000	Other chronic osteomyelitis
N11y100	Enterobacterial spondylitis
N301500	Other chronic osteomyelitis
N302400	Osteomyelitis, unspecified
N010300	Pyogenic arthritis, unspecified
N302100	Osteomyelitis, unspecified
A985300	Gonococcal spondylitis
N300M00	Other acute osteomyelitis
N300T00	Other acute osteomyelitis
N30z400	Osteomyelitis, unspecified
N306100	Tuberculosis of bones and joints
N300Y00	Other acute osteomyelitis
N30z800	Osteomyelitis, unspecified
N303700	Osteomyelitis, unspecified
N301C00	Osteomyelitis of vertebra
N303z00	Osteomyelitis, unspecified
N300200	Other acute osteomyelitis
N302H00	Osteomyelitis, unspecified
N302W00	Osteomyelitis, unspecified
N01zK00	Pyogenic arthritis, unspecified
N301200	Other chronic osteomyelitis
N300C00	Osteomyelitis of vertebra
N300R00	Other acute osteomyelitis
J065000	Alveolitis of jaws
N305400	Tuberculosis of bones and joints
N300900	Other acute osteomyelitis
A985.00	Gonococcal infection of musculoskeletal system
N300K00	Other acute osteomyelitis
N33z300	Other osteomyelitis
N302300	Osteomyelitis, unspecified
N302R00	Osteomyelitis, unspecified
N01zB00	Pyogenic arthritis, unspecified
N305300	Tuberculosis of bones and joints
N300J00	Other acute osteomyelitis
N010700	Pyogenic arthritis, unspecified
N300B00	Osteomyelitis of vertebra
N01z.00	Pyogenic arthritis, unspecified
N300V00	Other acute osteomyelitis
N300A00	Osteomyelitis of vertebra
N301900	Other chronic osteomyelitis
N305100	Tuberculosis of bone
N300H00	Other acute osteomyelitis
N301400	Other chronic osteomyelitis
N302G00	Osteomyelitis, unspecified
N304200	Tuberculosis of bones and joints
N301800	Other chronic osteomyelitis
N01zH00	Pyogenic arthritis, unspecified
N010900	Pneumococcal arthritis and polyarthritis
N303800	Osteomyelitis, unspecified
N010z00	Pyogenic arthritis, unspecified
N304100	Tuberculosis of bones and joints
N300400	Other acute osteomyelitis
N300E00	Osteomyelitis of vertebra
N306300	Tuberculosis of bone
N303100	Osteomyelitis, unspecified
N305200	Tuberculosis of bones and joints
N30z700	Osteomyelitis, unspecified
N301300	Other chronic osteomyelitis
N30z600	Osteomyelitis, unspecified
N30z200	Osteomyelitis, unspecified
N304000	Tuberculosis of spine
N301D00	Osteomyelitis of vertebra
N301A00	Osteomyelitis of vertebra
N303300	Osteomyelitis, unspecified
N014700	Arthritis in other bacterial diseases classified elsewhere
N308.00	Subacute osteomyelitis
N01zz00	Arthritis in other infectious and parasitic diseases EC
N306z00	Tuberculosis of bone
N306400	Tuberculosis of bones and joints
N300P00	Other acute osteomyelitis
N30z900	Osteomyelitis, unspecified
N300D00	Osteomyelitis of vertebra
NyuC200	Other chronic osteomyelitis
N302900	Osteomyelitis, unspecified
J064400	Inflammatory conditions of jaws
NyuC300	Other osteomyelitis
N303500	Osteomyelitis, unspecified
N010x00	Pyogenic arthritis, unspecified
N014000	Arthritis in other bacterial diseases classified elsewhere
N303900	Osteomyelitis, unspecified
N302A00	Osteomyelitis of vertebra
N302E00	Osteomyelitis of vertebra
N01z700	Arthritis in other infectious and parasitic diseases EC
N30z500	Osteomyelitis, unspecified
N01z500	Arthritis in other infectious and parasitic diseases EC
N305500	Tuberculosis of bone
N01z800	Pyogenic arthritis, unspecified
N303400	Osteomyelitis, unspecified
Nyu0100	[X]Arthritis+polyarthritis due/other specfd bacterial agents
N302F00	Osteomyelitis, unspecified
NyuC100	Other chronic haematogenous osteomyelitis
N302K00	Osteomyelitis, unspecified
N304300	Tuberculosis of bones and joints
N018.00	Tuberculous arthritis
A955.00	Syphilis of bone
AB61400	Sporotrichosis of the bones
AB65600	Osseous cryptococcosis
AC23000	Echinococcus granulosus infection of bone
F4G0400	Orbital osteomyelitis
J065100	Dry socket
J065z00	Alveolitis of jaw NOS
N014100	Arthropathy associated with other bacterial disease, of the shoulder region
N014200	Arthropathy associated with other bacterial disease, of the upper arm
N014300	Arthropathy associated with other bacterial disease, of the forearm
N014400	Arthropathy associated with other bacterial disease, of the hand
N014500	Arthropathy associated with other bacterial disease, of the pelvic region and thigh
N014600	Arthropathy associated with other bacterial disease, of the lower leg
N014z00	Arthropathy associated with other bacterial disease NOS
N01z000	Infective arthritis NOS, of unspecified site
N01z100	Infective arthritis NOS, of the shoulder region
N01z200	Infective arthritis NOS, of the upper arm
N01z300	Infective arthritis NOS, of the forearm
N01z400	Infective arthritis NOS, of the hand
N01z600	Infective arthritis NOS, of the lower leg
N01z900	Infective arthritis NOS, of sternoclavicular joint
N01zA00	Infective arthritis NOS, of acromioclavicular joint
N01zC00	Infective arthritis NOS, of distal radio-ulnar joint
N01zD00	Infective arthritis NOS, of wrist
N01zE00	Infective arthritis NOS, of metacarpophalangeal joint
N01zF00	Infective arthritis NOS, of proximal interphalangeal joint of finger
N01zG00	Infective arthritis NOS, of distal interphalangeal joint of finger
N01zJ00	Infective arthritis NOS, of sacro-iliac joint
N01zL00	Infective arthritis NOS, of tibio-fibular joint
N01zM00	Infective arthritis NOS, of ankle
N01zN00	Infective arthritis NOS, of subtalar joint
N01zP00	Infective arthritis NOS, of talonavicular joint
N01zQ00	Infective arthritis NOS, of other tarsal joint
N01zR00	Infective arthritis NOS, of 1st metatarsophalangeal joint
N01zS00	Infective arthritis NOS, of lesser metatarsophalangeal joint
N01zT00	Infective arthritis NOS, of interphalangeal joint of toe
N01zx00	Infective arthritis NOS, of multiple sites
N01zy00	Infective arthritis NOS, of other specified site
N11y000	Brucella spondylitis
N25..00	SAPHO syndrome (Synovitis Acne Pustulosis Hyperostosis Osteomyelitis)
N300G00	Acute osteomyelitis-scapula
N300L00	Acute osteomyelitis-carpal bone
N300W00	Acute osteomyelitis-other tarsal bone
N301B00	Chronic osteomyelitis-thoracic spine
N301E00	Chronic osteomyelitis-coccyx
N301F00	Brodies abscess-cervical spine
N301G00	Brodies abscess-thoracic spine
N301H00	Brodies abscess-lumbar spine
N301J00	Brodies abscess-sacrum
N301K00	Brodies abscess-coccyx
N302L00	Infection of carpal bone
N302T00	Infection of fibula
N302U00	Infection of calcaneum
N302V00	Infection of talus
N302Z00	Infection of multiple bones
N303200	Periostitis without mention of osteomyelitis, of the upper arm
N305000	Tuberculosis of unspecified limb bone
N305600	Tuberculosis of multiple limb bones
N305z00	Tuberculosis of limb bones NOS
N306000	Tuberculosis of bone, site unspecified
N306200	Tuberculosis of the bones of the hand
N306500	Tuberculosis of the bones of multiple sites
N308000	Subacute osteomyelitis-cervical spine
N308100	Subacute osteomyelitis-thoracic spine
N308200	Subacute osteomyelitis-lumbar spine
N308300	Subacute osteomyelitis-sacrum
N308400	Subacute osteomyelitis-coccyx
N30z000	Bone infection NOS, of unspecified site
N30z100	Bone infection NOS, of the shoulder region
N30z300	Bone infection NOS, of the forearm
N33zE00	Costochondritis
Nyu0200	[X]Arthritis in other infectious and parasitic diseases classified elsewhere
Nyu6000	[X]Other infective spondylopathies
Nyu6600	[X]Spondylopathy in other infectious and parasitic diseases classified elsewhere
NyuC000	[X]Other acute osteomyelitis
G0...00	Acute rheumatic fever
G510.00	Acute and subacute bacterial endocarditis
G02..00	Rheumatic chorea
G510100	Subacute bacterial endocarditis - SBE
N042000	Rheumatic carditis
A742100	Coxsackie pericarditis
N000400	Systemic lupus erythematosus with pericarditis
G0z..00	Acute rheumatic fever NOS
G14z.00	Rheumatic endocarditis NOS
A364100	Meningococcal pericarditis
A742300	Coxsackie myocarditis
G01y000	Acute rheumatic pancarditis
G010.00	Acute rheumatic pericarditis
A270400	Listerial endocarditis
G510000	Acute bacterial endocarditis
A364200	Meningococcal endocarditis
A98y300	Gonococcal endocarditis
G5y7.00	Sarcoid myocarditis
M15y600	Erythema marginatum in acute rheumatic fever
G50z200	Acute pericarditis - pneumococcal
G011.00	Acute rheumatic endocarditis
A32y100	Diphtheritic myocarditis
G510200	Chronic bacterial endocarditis
