#AUTOGENERATED	DONT EDIT
111253001	Infection of bone (disorder)
1091631000119100	Malignant otitis externa of right external auditory canal (disorder)
1089021000119108	Malignant otitis externa of left external auditory canal (disorder)
1204335006	Infection of cranial bone flap (disorder)
1163139006	Infection of bone caused by Coccidioides (disorder)
735533006	Infection of bone caused by Echinococcus (disorder)
187137009	Echinococcus granulosus infection of bone (disorder)
721273004	Infection of vertebra (disorder)
12266931000119108	Infection of vertebral internal fixation device (disorder)
1162405008	Infection of vertebra caused by parasite (disorder)
203265004	Tuberculosis of lumbar spine (disorder)
203264000	Tuberculosis of thoracic spine (disorder)
203263006	Tuberculosis of cervical spine (disorder)
203241002	Osteomyelitis of vertebra (disorder)
315681000119104	Osteomyelitis of cervical vertebra (disorder)
203296008	Subacute osteomyelitis of cervical spine (disorder)
203198001	Brodies abscess of cervical spine (disorder)
203193005	Chronic osteomyelitis of cervical spine (disorder)
203157008	Acute osteomyelitis of cervical spine (disorder)
445063003	Chronic osteomyelitis of vertebra (disorder)
203195003	Chronic osteomyelitis of lumbar spine (disorder)
203194004	Chronic osteomyelitis of thoracic spine (disorder)
203193005	Chronic osteomyelitis of cervical spine (disorder)
444760002	Acute osteomyelitis of vertebra (disorder)
203159006	Acute osteomyelitis of lumbar spine (disorder)
203158003	Acute osteomyelitis of thoracic spine (disorder)
203157008	Acute osteomyelitis of cervical spine (disorder)
203298009	Subacute osteomyelitis of lumbar spine (disorder)
203200007	Brodies abscess of lumbar spine (disorder)
203297004	Subacute osteomyelitis of thoracic spine (disorder)
203199009	Brodies abscess of thoracic spine (disorder)
202699004	Enterobacterial spondylitis (disorder)
202698007	Brucella spondylitis (disorder)
1177068009	Spondylitis caused by Brucella abortus (disorder)
1177066008	Spondylitis caused by Brucella melitensis (disorder)
1177065007	Spondylitis caused by Brucella canis (disorder)
1177063000	Spondylitis caused by Brucella suis (disorder)
53664003	Gonococcal spondylitis (disorder)
714507001	Infection of tooth socket (disorder)
445215005	Infection of bone of tibia and/or fibula (disorder)
203272003	Tuberculosis of the lower leg bone (disorder)
203234008	Infection of fibula (disorder)
203173002	Acute osteomyelitis of fibula (disorder)
203233002	Infection of tibia (disorder)
445408000	Osteomyelitis of tibia (disorder)
300151000119109	Subacute osteomyelitis of tibia (disorder)
16030231000119100	Subacute osteomyelitis of right tibia (disorder)
16029991000119101	Subacute osteomyelitis of bilateral tibias (disorder)
16030551000119108	Subacute osteomyelitis of left tibia (disorder)
