^ESCTNO581524	Non-steroidal anti-inflammatory overdose
EMISNQSU33	Suspected drug overdose
^ESCT1177660	Self-harm
^ESCT1177661	Self damage
^ESCT1191730	Self-destructive behavior
^ESCT1272735	Suicide and self inflicted poisoning by drug or medicine NOS
^ESCT1272759	Suicide and self inflicted injury NOS
^ESCTBI525260	Biting self
^ESCTBI525261	Bites self
^ESCTBU569203	Burning self
^ESCTCO786202	Compulsive self-biting behaviour
^ESCTCO786203	Compulsive self-biting behavior
^ESCTCU525262	Cutting self
^ESCTCU525263	Cuts self
^ESCTDE525243	Deliberate self-harm
^ESCTDR493569	Drowning self
^ESCTFO708835	Found hanging self
^ESCTHA493568	Hanging self
^ESCTHI569217	Hitting self
^ESCTHI604726	History of deliberate self harm
^ESCTLA491239	Late effect of self inflicted injury
^ESCTNI569226	Nipping self
^ESCTPI569227	Pinching self
^ESCTPU569218	Punching self
^ESCTSC525259	Scratches self
^ESCTSE445208	Self mutilation
^ESCTSE491204	Self poisoning by corrosive or caustic substance
^ESCTSE491205	Self poisoning by arsenic or its compounds
^ESCTSE491206	Self poisoning caused by arsenic or its compounds
^ESCTSE491210	Self poisoning by motor vehicle exhaust gas
^ESCTSE491211	Self poisoning caused by motor vehicle exhaust gas
^ESCTSE493432	Self-incineration
^ESCTSE493433	Setting fire to self
^ESCTSE493434	Setting self alight
^ESCTSE493435	Self-electrocution
^ESCTSE493570	Self-strangulation
^ESCTSE493571	Self-asphyxiation
^ESCTSE517934	Self poisoning by paraquat
^ESCTSE517936	Self poisoning by gas
^ESCTSE525244	Self-abusive behaviour
^ESCTSE525245	Self-destructive behaviour
^ESCTSE525247	Self-abusive behavior
^ESCTSE525250	Self-injurious behavior
^ESCTSE525251	Self-mutilation of hands
^ESCTSE525252	Self-mutilation of penis
^ESCTSE525253	Self-mutilation of eyes
^ESCTSE525254	Self-mutilation of ears
^ESCTSE525255	Self-inflicted skin problems
^ESCTSE556762	Self poisoning by agricultural chemical
^ESCTSE556764	Self poisoning with weedkiller
^ESCTSE559142	Self inflicted injury
^ESCTSE569123	Self-mutilation of genitalia
^ESCTSE569126	Self-inducing a prolapse
^ESCTSE569754	Self-scalding
^ESCTSE668333	Self-inflicted caustic burn
^ESCTSH493436	Shooting self
^ESCTSI525246	SIB - Self-injurious behaviour
^ESCTSI525249	SIB - Self-injurious behavior
^ESCTSL569219	Slapping self
^ESCTST569220	Stabbing self
^ESCTSU491191	Suicide and selfinflicted poisoning by analgesics, antipyretics and anti-rheumatics
^ESCTSU491207	Suicide and selfinflicted poisoning by gases in domestic use
^ESCTSU491215	Suicide and selfinflicted injury by drowning
^ESCTSU491216	Suicide or selfinflicted injury by firearms and explosives
^ESCTSU491218	Suicide or selfinflicted injury by shotgun
^ESCTSU491222	Suicide or selfinflicted injury by cutting and stabbing
^ESCTSU491223	Suicide or selfinflicted injury by cutting
^ESCTSU491225	Suicide or selfinflicted injury by stabbing
^ESCTSU491226	Suicide or self injury by jumping from a height
^ESCTSU491235	Suicide or self injury by electric current
^ESCTSU551313	Suicide and selfinflicted injury
^ESCTSU551314	Suicide and self harm
^ESCTSU551315	Suicide and selfinflicted injury by suffocation by plastic bag
^ESCTTH493437	Throwing self in front of vehicle
^ESCTTH493439	Throwing self in front of train
^ESCTTH569202	Throwing self onto floor
^ESCT1191727	[X]Intentional self harm by jumping from a high place, occurrence at unspecified place
^ESCT1191742	[X]Intentional self harm by sharp object, occurrence at industrial and construction area
^ESCT1191743	[X]Intentional self harm by sharp object, occurrence in residential institution
^ESCT1191744	[X]Intentional self harm by sharp object, occurrence at sports and athletics area
^ESCT1191745	[X]Intentional self harm by sharp object, occurrence at trade and service area
^ESCT1191754	[X]Intentional self harm by sharp object, occurrence at school, other institution and public administrative area
^ESCT1191760	[X]Intentional self harm by sharp object, occurrence at other specified place
^ESCT1191761	[X]Intentional self harm by sharp object, occurrence on street and highway
^ESCT1191765	[X]Intentional self harm by sharp object, occurrence at unspecified place
^ESCT1191766	[X]Intentional self harm by sharp object, occurrence at home
^ESCT1191767	[X]Intentional self harm by sharp object, occurrence on farm
^ESCT1247024	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence in residential institution
^ESCT1247025	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence on street and highway
^ESCT1247026	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at unspecified place
^ESCT1247027	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at other specified place
^ESCT1247028	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at sports and athletics area
^ESCT1247029	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at trade and service area
^ESCT1247033	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at industrial and construction area
^ESCT1247034	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at industrial and construction area
^ESCT1247039	[X]Intentional self poisoning by and exposure to pesticides, occurrence at industrial and construction area
^ESCT1247052	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at sports and athletics area
^ESCT1247053	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at other specified place
^ESCT1247054	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at school, other institution and public administrative area
^ESCT1247055	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at sports and athletics area
^ESCT1247056	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at school, other institution and public administrative area
^ESCT1247057	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at other specified place
^ESCT1247067	[X]Intentional self poisoning by and exposure to pesticides, occurrence at sports and athletics area
^ESCT1247068	[X]Intentional self poisoning by and exposure to pesticides, occurrence at other specified place
^ESCT1247069	[X]Intentional self poisoning by and exposure to pesticides, occurrence at school, other institution and public administrative area
^ESCT1247084	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at home
^ESCT1247085	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence on farm
^ESCT1247086	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at home
^ESCT1247087	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence on farm
^ESCT1247090	[X]Intentional self poisoning by and exposure to pesticides, occurrence at home
^ESCT1247091	[X]Intentional self poisoning by and exposure to pesticides, occurrence on farm
^ESCT1247098	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at school, other institution and public administrative area
^ESCT1247099	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at industrial and construction area
^ESCT1247100	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at sports and athletics area
^ESCT1247113	[X]Intentional self harm by drowning and submersion, occurrence at industrial and construction area
^ESCT1247114	[X]Intentional self harm by drowning and submersion, occurrence at other specified place
^ESCT1247115	[X]Intentional self harm by drowning and submersion, occurrence at sports and athletics area
^ESCT1247116	[X]Intentional self harm by drowning and submersion, occurrence at trade and service area
^ESCT1247117	[X]Intentional self harm by drowning and submersion, occurrence at unspecified place
^ESCT1247118	[X]Intentional self harm by drowning and submersion, occurrence at home
^ESCT1247119	[X]Intentional self harm by drowning and submersion, occurrence on farm
^ESCT1247120	[X]Intentional self harm by drowning and submersion, occurrence in residential institution
^ESCT1247121	[X]Intentional self harm by drowning and submersion, occurrence on street and highway
^ESCT1247128	[X]Intentional self harm by handgun discharge, occurrence at other specified place
^ESCT1247129	[X]Intentional self harm by handgun discharge, occurrence at unspecified place
^ESCT1247130	[X]Intentional self harm by handgun discharge, occurrence in residential institution
^ESCT1247131	[X]Intentional self harm by handgun discharge, occurrence at industrial and construction area
^ESCT1247132	[X]Intentional self harm by handgun discharge, occurrence on street and highway
^ESCT1247133	[X]Intentional self harm by handgun discharge, occurrence at sports and athletics area
^ESCT1247134	[X]Intentional self harm by handgun discharge, occurrence at trade and service area
^ESCT1247138	[X]Intentional self harm by other and unspecified firearm discharge
^ESCT1247139	[X]Intentional self harm by rifle, shotgun and larger firearm discharge
^ESCT1247156	[X]Intentional self harm by drowning and submersion, occurrence at school, other institution and public administrative area
^ESCT1247157	[X]Intentional self harm by handgun discharge, occurrence at school, other institution and public administrative area
^ESCT1247158	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at trade and service area
^ESCT1247159	[X]Intentional self harm by other and unspecified firearm discharge, occurrence in residential institution
^ESCT1247160	[X]Intentional self harm by other and unspecified firearm discharge, occurrence on street and highway
^ESCT1247161	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at unspecified place
^ESCT1247162	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at other specified place
^ESCT1247163	[X]Intentional self harm by other and unspecified firearm discharge, occurrence at home
