Term_Code	DM_D_Product_Description
327072003	Azathioprine 50mg powder for solution for injection vials
946611000001107	Azathioprine 50mg powder for solution for injection vials
39837711000001100	Azathioprine 25mg tablets (Healthcare Pharma Ltd)
338311000001105	Azathioprine 25mg tablets (Kent Pharma (UK) Ltd)
29997911000001103	Azathioprine 25mg tablets (Mawdsley-Brooks & Company Ltd)
39481511000001101	Azathioprine 25mg tablets (Tillomed Laboratories Ltd)
29998011000001101	Azathioprine 25mg tablets (Mawdsley-Brooks & Company Ltd)
39837811000001108	Azathioprine 25mg tablets (Healthcare Pharma Ltd)
38801911000001101	Azathioprine 25mg tablets (Medihealth (Northern) Ltd)
9456811000001101	Azathioprine 25mg tablets (Kent Pharma (UK) Ltd)
38802011000001108	Azathioprine 25mg tablets (Medihealth (Northern) Ltd)
39837911000001103	Azathioprine 25mg tablets (Healthcare Pharma Ltd)
2018911000001104	Azathioprine 25mg tablets (Kent Pharma (UK) Ltd)
611111000001100	Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
2019011000001108	Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
2019111000001109	Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
3695011000001108	Azathioprine 25mg tablets (IVAX Pharmaceuticals UK Ltd)
3695111000001109	Azathioprine 25mg tablets (IVAX Pharmaceuticals UK Ltd)
5866911000001101	Azathioprine 25mg tablets (Actavis UK Ltd)
5867311000001104	Azathioprine 25mg tablets (Actavis UK Ltd)
8388611000001100	Azathioprine 25mg tablets (Teva UK Ltd)
8388711000001109	Azathioprine 25mg tablets (Teva UK Ltd)
10643411000001106	Azathioprine 25mg tablets (Teva UK Ltd)
13740711000001100	Azathioprine 25mg tablets (Tillomed Laboratories Ltd)
13741111000001107	Azathioprine 25mg tablets (Tillomed Laboratories Ltd)
15070411000001103	Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
15070511000001104	Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
29773311000001107	Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
17789111000001105	Azathioprine 25mg tablets (Phoenix Healthcare Distribution Ltd)
17789211000001104	Azathioprine 25mg tablets (Phoenix Healthcare Distribution Ltd)
