6776.	Abortion counselling
7E066	Hysterotomy and termination of pregnancy
7E070	Dilation of cervix uteri and curettage for termination of pregnancy
7E071	Curettage of term pregnancy NEC
7E071	Curettage of uterus for termination of pregnancy NEC
7E083	Extraction of menses
7E084	STOP - Suction termination of pregnancy
7E085	D&E - Dilatation and evacuation
7E086	Termination of pregnancy NEC
7E0B.	Introduction of abortifacient into uterine cavity
7E0B0	Intra-amniotic prostaglandin instillation
7E0B1	Intra-amniotic injection of abortifacient NEC
7E0B2	Extra-amniotic prostaglandin instillation
7E0B3	Extra-amniotic injection of abortifacient NEC
7E0B4	Insertion of prostaglandin abortifacient pessary
7E0B5	Insertion of abortifacient pessary NEC
7E0By	Other specified introduction of abortifacient into uterine cavity
7E0Bz	Introduction of abortifacient into uterine cavity NOS
7F02.	Feticide
7F02.	Selective destruction of fetus
7F020	Early selective feticide
7F021	Late selective feticide
7F022	Selective feticide NEC
7F02y	Other specified selective destruction of fetus
7F02z	Selective destruction of fetus NOS
8H7W.	Refer to TOP counselling
L05..	Elective abortion
L050.	Legal abortion unspecified
L0500	Unspecified legal abortion with genital tract or pelvic infection
L0501	Unspecified legal abortion with delayed or excessive haemorrhage
L0502	Unspecified legal abortion with damage to pelvic organs or tissues
L0503	Unspecified legal abortion with renal failure
L0504	Unspecified legal abortion with metabolic disorder
L0505	Unspecified legal abortion with shock
L0506	Unspecified legal abortion with embolism
L050w	Unspecified legal abortion with other specified complication
L050x	Unspecified legal abortion with complication NOS
L050y	Unspecified legal abortion with no mention of complication
L050z	Unspecified legal abortion NOS
L051.	Incomplete abortion: [legal] or [medical] or [surgical]
L0510	Incomplete legal abortion with genital tract or pelvic infection
L0511	Incomplete legal abortion with delayed or excessive haemorrhage
L0512	Incomplete legal abortion with damage to pelvic organs or tissues
L0513	Incomplete legal abortion with renal failure
L0514	Incomplete legal abortion with metabolic disorder
L0515	Incomplete legal abortion with shock
L0516	Incomplete legal abortion with embolism
L051w	Incomplete legal abortion with other specified complication
L051x	Incomplete legal abortion with complication NOS
L051y	Incomplete legal abortion with no mention of complication
L051z	Incomplete legal abortion NOS
L052.	Complete abortion: [legal] or [medical] or [surgical]
L0520	Complete legal abortion with genital tract or pelvic infection
L0521	Complete legal abortion with delayed or excessive haemorrhage
L0522	Complete legal abortion with damage to pelvic organs or tissues
L0523	Complete legal abortion with renal failure
L0524	Complete legal abortion with metabolic disorder
L0525	Complete legal abortion with shock
L0526	Complete legal abortion with embolism
L052w	Complete legal abortion with other specified complication
L052x	Complete legal abortion with complication NOS
L052y	Complete legal abortion with no mention of complication
L052z	Complete legal abortion NOS
L05z.	Legally induced abortion NOS
L06..	Abortion: [illegally induced] or [criminal] or [self-induced]
L060.	Illegal abortion unspecified
L0600	Unspecified illegal abortion with genital tract or pelvic infection
L0601	Unspecified illegal abortion with delayed or excessive haemorrhage
L0602	Unspecified illegal abortion with damage to pelvic organs or tissues
L0603	Unspecified illegal abortion with renal failure
L0604	Unspecified illegal abortion with metabolic disorder
L0605	Unspecified illegal abortion with shock
L0606	Unspecified illegal abortion with embolism
L060w	Unspecified illegal abortion with other specified complication
L060x	Unspecified illegal abortion with complication NOS
L060y	Unspecified illegal abortion with no mention of complication
L060z	Unspecified illegal abortion NOS
L061.	Illegal abortion incomplete
L0610	Incomplete illegal abortion with genital tract or pelvic infection
L0611	Incomplete illegal abortion with delayed or excessive haemorrhage
L0612	Incomplete illegal abortion with damage to pelvic organs or tissues
L0613	Incomplete illegal abortion with renal failure
L0614	Incomplete illegal abortion with metabolic disorder
L0615	Incomplete illegal abortion with shock
L0616	Incomplete illegal abortion with embolism
L061w	Incomplete illegal abortion with other specified complication
L061x	Incomplete illegal abortion with complication NOS
L061y	Incomplete illegal abortion with no mention of complication
