readcode	Description
l41a.00	TRI-ADCORTYL OTIC ear ointment 10g
m22D.00	EVENING PRIMROSE OIL 20% cream
m22D.11	GAMOLENIC ACID 20% cream
m22G.00	HYDROMOL ointment 125g
m22H.00	HYDROMOL ointment 500g
m22L.00	HYDROMOL ointment 1Kg
m22i.00	HYDROMOL cream 50g
m22j.00	HYDROMOL cream 100g
m22k.00	HYDROMOL cream 500g
m22n.00	HYDROMOL bath emollient 1 litre
m22n.11	HYDROMOL BATH & SHOWER EMOLLIENT bath additive 1 litre
m23j.00	*SENTIAL E cream 100g
m243.00	*CALMURID cream 50g
m244.00	*CALMURID cream 100g
m245.00	*CALMURID 300g
m247.00	*CALMURID cream 400g
m249.00	*CALMURID cream 500g
m24R.00	HYDROMOL INTENSIVE 10% cream 30g
m24S.00	HYDROMOL INTENSIVE 10% cream 100g
m25M.00	HYDROMOL EMOLLIENT bath additive 500mL
m25M.11	HYDROMOL BATH & SHOWER EMOLLIENT bath additive 500mL
m25T.00	HYDROMOL BATH & SHOWER EMOLLIENT bath additive 50mL
m25a.00	HYDROMOL EMOLLIENT bath additive 150mL
m25b.00	HYDROMOL EMOLLIENT bath additive 350mL
m25b.11	HYDROMOL BATH & SHOWER EMOLLIENT bath additive 350mL
m28j.00	DOUBLEBASE DAYLEVE gel 500g
m28k.00	DOUBLEBASE DAYLEVE gel 100g
m4...00	TOPICAL CORTICOSTEROIDS
m41..00	HYDROCORTISONE CREAMS
m411.00	HYDROCORTISONE 1% cream 15g
m412.00	HYDROCORTISONE 1% cream 30g
m413.00	HYDROCORTISONE 1% cream 50g
m414.00	HYDROCORTISONE 1% cream 100g
m415.00	HYDROCORTISONE 0.1% cream 30g
m416.00	*HYDROCORTISONE 0.125% cream
m417.00	HYDROCORTISONE 0.5% cream 15g
m418.00	*HYDROCORTISONE 0.5% cream 30g
m419.00	*HYDROCORTISONE 0.5% cream 50g
m41A.00	HYDROCORTISONE 2.5% cream 15g
m41B.00	*HYDROCORTISONE 2.5% cream 30g
m41C.00	HYDROCORTISONE 2.5% cream 50g
m41D.00	HYDROCORTISONE 1% aqueous cream
m41a.00	HYDROCORTISONE 0.5% cream 100g
m41b.00	HYDROCORTISONE 2.5% cream
m41c.00	*COBADEX 0.5% cream 20g
m41d.00	*COBADEX 1% cream 20g
m41e.00	DIODERM 0.1% cream 30g
m41f.00	*DOME-CORT 0.125% cream
m41g.00	*EFCORTELAN 0.5% cream 15g
m41h.00	*EFCORTELAN P 1% cream 15g
m41i.00	*EFCORTELAN 1% cream 50g
m41j.00	*EFCORTELAN 2.5% cream 15g
m41k.00	*HYDROCORTISTAB 1% cream 15g
m41l.00	*HYDROCORTISYL 1% cream 15g
m41m.00	MILDISON LIPOCREAM 1% cream 30g
m41n.00	*EFCORTELAN 0.5% cream 30g
m41o.00	*EFCORTELAN 1% cream 30g
m41p.00	*EFCORTELAN 2.5% cream 30g
m41q.00	DERMACORT cream
m41t.00	*DAYLEVE 0.1% cream 15g
m41u.00	HYDROCORTISONE 0.1% cream
m41v.00	ZENOXONE 1% aqueous cream
m41w.00	EXE-CORT HYDROCORTISONE 1% cream 15g
m42..00	HYDROCORTISONE OINTMENTS
m421.00	HYDROCORTISONE 0.5% ointment 15g
m422.00	HYDROCORTISONE 1% ointment 15g
m423.00	HYDROCORTISONE 1% ointment 30g
m424.00	HYDROCORTISONE 1% ointment 100g
m425.00	*EFCORTELAN 0.5% ointment 15g
m426.00	*EFCORTELAN P 1% ointment 15g
m427.00	*EFCORTELAN 1% ointment 50g
m428.00	*EFCORTELAN 2.5% ointment 15g
m429.00	HYDROCORTISTAB 1% ointment 15g
m42A.00	HYDROCORTISONE 2.5% ointment 15g
m42B.00	HYDROCORTISONE 2.5% ointment 30g
m42C.00	HYDROCORTISONE 2.5% ointment 50g
m42D.00	HYDROCORTISONE 1% ointment 50g
m42a.00	*HYDROCORTISYL 1% ointment 15g
m42b.00	HYDROCORTISONE 2.5% ointment
m42c.00	*EFCORTELAN 0.5% ointment 30g
m42d.00	*EFCORTELAN 1% ointment 30g
m42e.00	*EFCORTELAN 2.5% ointment 30g
m43..00	HYDROCORTISONE LOTIONS/DRESSNG
m431.00	*HYDROCORTISONE 1% lotion
m432.00	*EFCORTELAN 1% lotion 20mL
m433.00	*CORTACREAM 1% imp band
m441.00	ALPHADERM cream 30g
m442.00	ALPHADERM cream 100g
m443.00	*CALMURID-HC cream 30g
m444.00	*CALMURID-HC cream 100g
m445.00	*ECZEDERM+HYDROCORT cream 25g
m446.00	*EPIFOAM foam 10.6g
m447.00	EURAX-HYDROCORTISONE cream 30g
m448.00	*SENTIAL cream 30g
m449.00	*SENTIAL cream 100g
m44a.00	*TRI-CICATRIN ointment 15g
m44b.00	*TRI-CICATRIN ointment 30g
m44c.00	EURAX-HC cream 15g
m44d.00	*CALMURID HC cream 50g
m44e.00	HYDROMOL HC INTENSIVE cream 30g
m44f.00	HYDROMOL HC INTENSIVE cream 100g
m44z.00	HYDROCORTISONE+UREA 1.0%/10% cream
m451.00	*HYDROCORTISONE/NEOMYCIN cream
m452.00	*BARQUINOL-HC cream 15g
m453.00	CANESTEN-HC cream 30g
m454.00	DAKTACORT cream 30g
m455.00	*ECONACORT cream 30g
m456.00	*FRAMYCORT ointment 15g
m457.00	*FUCIDIN-H cream 15g
m458.00	FUCIDIN-H cream 30g
m459.00	*FUCIDIN-H gel 15g
m45A.00	FUCIDIN-H cream 60g
m45B.00	*FUCIDIN-H ointment 60g
m45C.00	DAKTACORT HC cream 15g
m45T.00	HYDROCORTISONE ACETATE+FUSIDIC ACID 1%/2% ointment
m45V.00	HYDROCORTISONE ACETATE+FUSIDIC ACID 1%/2% cream
m45W.00	HYDROCORTISONE+ECONAZOLE NITRATE 1%/1% cream
m45X.00	HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% ointment
m45Y.00	HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% cream
m45Z.00	HYDROCORTISONE+CLOTRIMAZOLE 1%/1% cream
