emis	Description
ALOI4565	Alclometasone Dipropionate  Ointment  0.05 %
AUCR250	Aureocort  Cream  
BELO9285BRIDL	Betnovate  Lotion  0.1 %
BEOI4642	Betamethasone  Ointment  0.05 % (as dipropionate)
CACR477	Canesten Hc  Cream  
CLSC643	Clobetasol Propionate  Scalp application  0.05 %
DEOI9530EMIS	Desoxymethasone  Oily cream  0.05 %
DICR8836EGTON	Dithrocream Hp  Cream  1.0 %
DILO3454	Diprosalic  Scalp application  0.05 % + 2 %
DIOI6779	Dithranol  Ointment  2 %
DIPAEGTON6493	Dithranol  Paste  0.1 %
DISC3458	Diprosone  Lotion  0.05 %
EFOI1026	Efcortelan  Ointment  0.5 %
EPOR34197EMIS	Epogam  Oral emulsion  160 mg/5 ml
EUOI1125	Eumovate  Ointment  0.05 %
EXLO33003EMIS	Exorex  Lotion  5 % Cutaneous Emulsion (1 % prepared coal tar)
FUCR984NEMIS	Fusidic Acid And Betamethasone Valerate  Cream  2 % + 0.1 %
FUCR986NEMIS	Fusidic Acid And Hydrocortisone Acetate  Cream  2 % + 1 %
GROI3669	Gregoderm  Ointment  
HYOI1395	Hydrocortisone  Ointment  0.5 %
ICOIEGTON6520	Ichthammol  Ointment  10 % BP
NELO1958	Neo-Medrone  Lotion  
PRCR2385	Propaderm  Cream  0.025 %
PSBA9884BRIDL	Psoriderm  Bath emulsion  40 %
QUCR4250	Quinocort  Cream  
SIGE77608NEMIS	Silderm Scar  Gel  
SISP79258NEMIS	Silderm Scar  Spray  
TECR4401	Terra-Cortril Nystatin  Cream  
TEOI2821	Terra-Cortril  Ointment  
ALCREGTON6483	Alphosyl Hc  Cream  
BEOI16714NEMIS	Betamethasone Dipropionate And Calcipotriol  Ointment  0.05 % + 50 micrograms/gram
BEOI357	Betnovate  Ointment  0.1 %
CLCR644	Clobetasone Butyrate  Cream  0.05 %
COOIEGTON6437	Coal Tar And Salicylic Acid  Ointment  BP
COSH8177	Coal Tar Extract  Shampoo  2 %
DECR840	Dermovate  Cream  0.05 %
DEOI841	Dermovate  Ointment  0.05 %
DICR27177EMIS	Dithranol  Cream  0.5 %
DOOI12900NEMIS	Dovobet  Ointment  
EFOI1026	Efcortelan  Ointment  0.5 %
ADCR9287BRIDL	Adcortyl  Cream  0.1 %
ALCA31056NEMIS	Alitretinoin  Capsules  30 mg
ALOI9174EMIS	Alphodith  Ointment  0.4 %
ANWAEGTON6506	Antraderm Forte  Wax stick  2 %
BECR19371NEMIS	Betamethasone Valerate And Clioquinol  Cream  0.1 % + 3 %
BEOI17530NEMIS	Beclometasone  Ointment  0.025 %
BEOI20607EMIS	Betamethasone Valerate  Ointment  0.025 %
BESC358	Betnovate  Scalp application  0.1 %
CASC25445EMIS	Calcipotriol  Scalp solution  50 micrograms/ml
DIOI9416HILLI	Diflucortolone Valerate  Ointment  0.3 %
DOGE103696NEMIS	Dovobet  Gel Applicator  
EUCR1123	Eumovate  Cream  0.05 %
FLOI17666NEMIS	Fludroxycortide  Ointment  0.0125 %
FLOI7099	Fluclorolone Acetonide  Ointment  0.025 %
GAPA34976EMIS	Gamolenic Acid  Paediatric Capsules  80 mg
GEOI9230EMIS	Gentisone Hc  Ointment  
HYOIEGTON6230	Hydromol Bath And Shower  Emollient  
LECR1633	Ledercort  Cream  0.1 %
LOEM28231EMIS	Locoid Crelo  Emulsion  0.1 %
LOOI8683EGTON	Locoid  Ointment  0.1 %
NECR4020	Nerisone  Cream  0.1 %
NEOI10464BRIDL	Nerisone Forte  Ointment  0.3 %
NEOI4021	Nerisone  Ointment  0.1 %
NYOI2048	Nystaform-Hc  Ointment  
PROI12895NEMIS	Protopic  Ointment  0.03 %
PSGE2408	Psorigel  Gel  7.5 %
PSSC26051EMIS	Psorin  Scalp gel  
PSSCEGTON8184	Psoriderm  Scalp lotion  
STLO9650BRIDL	Stiedex  Lotion  
SYCR2762	Synalar  Cream  1 in 4 dilution 0.00625 %
TOCA31058NEMIS	Toctino  Capsules  10 mg
TOCREGTON6245	Topilar  Cream  0.025 %
TROI2908	Triamcinolone  Ointment  0.1 %
ULCREGTON6268	Ultralanum Plain  Cream  
ZIPAEGTON6447	Zinc And Coal Tar  Paste  
ALSH15458NEMIS	Alcoholic Coal Tar Extract  Shampoo  5 %
BECR17529NEMIS	Beclometasone  Cream  0.025 %
BECR356	Betnovate  Cream  0.1 %
BEMO28663EMIS	Betamethasone Valerate  Mousse  0.12 % (= 0.1 % betamethasone)
BEOI3241	Betnovate-Rd  Ointment  0.025 %
FLOI17666NEMIS	Fludroxycortide  Ointment  0.0125 %
HAOIEGTON6273	Haelan  Ointment  0.0125 %
HYLO5008	Hydrocortisone Butyrate  Scalp lotion  0.1 %
HYOI1397	Hydrocortisone  Ointment  2.5 %
LOCR3847	Locoid  Cream  0.1 %
PICR14319NEMIS	Pimecrolimus  Cream  1 %
PROI12895NEMIS	Protopic  Ointment  0.03 %
ALCA31054NEMIS	Alitretinoin  Capsules  10 mg
AUOI251	Aureocort  Ointment  
BECR4224NEMIS	Betamethasone  Cream  0.05 % (as dipropionate)
BEME37176NEMIS	Betesil  Medicated Plaster  2.25 mg
CAOIEGTON6429	Calamine And Coal Tar  Ointment  
COLO3454NEMIS	Coal Tar  Lotion  1 %
DEOI841	Dermovate  Ointment  0.05 %
DICR27176EMIS	Dithranol  Cream  0.25 %
