medcode	readcode	Description	CodingSystem
476	M160.00	Psoriatic arthropathy	readcode
844	N040.00	Rheumatoid arthritis	readcode
1408	N20..00	Polymyalgia rheumatica	readcode
2667	M154100	Discoid lupus erythematosus	readcode
3649	N241z00	Myalgia or myositis NOS	readcode
3944	N044.00	Chronic post-rheumatic arthropathy	readcode
4125	M154.00	Lupus erythematosus	readcode
4186	N043.00	Juvenile rheumatoid arthritis - Still's disease	readcode
4578	N04y100	Sero negative arthritis	readcode
4908	N003.00	Dermatomyositis	readcode
5492	N241100	Myositis unspecified	readcode
5723	N042200	Rheumatoid nodule	readcode
5723	N042200	Rheumatoid nodule	readcode
6916	N040P00	Seronegative rheumatoid arthritis	readcode
7196	N045.00	Other juvenile arthritis	readcode
7196	N045.00	Other juvenile arthritis	readcode
7522	M154z00	Lupus erythematosus NOS	readcode
7871	N000.00	Systemic lupus erythematosus	readcode
8350	N040T00	Flare of rheumatoid arthritis	readcode
8583	N042000	Rheumatic carditis	readcode
9707	N047.00	Seropositive errosive rheumatoid arthritis	readcode
12019	N04X.00	"Seropositive rheumatoid arthritis, unspecified"	readcode
12500	M160z00	Psoriatic arthropathy NOS	readcode
12575	N045300	Juvenile arthritis in Crohn's disease	readcode
12575	N045300	Juvenile arthritis in Crohn's disease	readcode
15511	N004.00	Polymyositis	readcode
17675	N001100	CREST syndrome	readcode
18155	N040Q00	Rheumatoid bursitis	readcode
20615	N04..11	Inflammatory polyarthropathy	readcode
21358	N040200	Rheumatoid arthritis of shoulder	readcode
21533	N043200	Pauciarticular juvenile rheumatoid arthritis	readcode
23552	N041.00	Felty's syndrome	readcode
23833	N04yz00	Other specified inflammatory polyarthropathy NOS	readcode
24747	N04z.00	Inflammatory polyarthropathy NOS	readcode
25020	N065.00	Unspecified polyarthropathy or polyarthritis	readcode
25390	M154700	Subacute cutaneous lupus erythematosus	readcode
26368	M160000	Psoriasis spondylitica	readcode
27512	N241.00	Myalgia and myositis unspecified	readcode
27557	N043z00	Juvenile rheumatoid arthritis NOS	readcode
27603	N04..00	Rheumatoid arthritis and other inflammatory polyarthropathy	readcode
28316	N003X00	"Dermatopolymyositis, unspecified"	readcode
28417	N001.12	Systemic sclerosis	readcode
28456	N045200	Juvenile arthritis in psoriasis	readcode
30548	N040N00	Rheumatoid vasculitis	readcode
31054	N040S00	Rheumatoid arthritis - multiple joint	readcode
31181	N045100	Juvenile seronegative polyarthritis	readcode
31360	N045500	Juvenile rheumatoid arthritis	readcode
31724	N04y000	Rheumatoid lung	readcode
32001	N04y200	Adult-onset Still's disease	readcode
32649	N003000	Juvenile dermatomyositis	readcode
34880	N10..00	Inflammatory spondylopathies	readcode
36276	N043300	Monarticular juvenile rheumatoid arthritis	readcode
36597	N04y.00	Other specified inflammatory polyarthropathy	readcode
37418	N241200	Fibromyositis NOS	readcode
37431	N042z00	Rheumatoid arthropathy + visceral/systemic involvement NOS	readcode
41941	N040900	Rheumatoid arthritis of PIP joint of finger	readcode
42299	N040800	Rheumatoid arthritis of MCP joint	readcode
42405	N045000	Juvenile ankylosing spondylitis	readcode
42405	N045000	Juvenile ankylosing spondylitis	readcode
44141	N001000	Progressive systemic sclerosis	readcode
46436	N042100	Rheumatoid lung disease	readcode
46622	N045600	Pauciarticular onset juvenile chronic arthritis	readcode
47831	N043100	Acute polyarticular juvenile rheumatoid arthritis	readcode
48832	N040700	Rheumatoid arthritis of wrist	readcode
49067	N040B00	Rheumatoid arthritis of hip	readcode
49227	N042.00	Other rheumatoid arthropathy + visceral/systemic involvement	readcode
50644	N043000	Juvenile rheumatoid arthropathy unspecified	readcode
50863	N040D00	Rheumatoid arthritis of knee	readcode
51238	N040K00	Rheumatoid arthritis of 1st MTP joint	readcode
51239	N040F00	Rheumatoid arthritis of ankle	readcode
59738	N040500	Rheumatoid arthritis of elbow	readcode
63198	N040A00	Rheumatoid arthritis of DIP joint of finger	readcode
63365	N040600	Rheumatoid arthritis of distal radio-ulnar joint	readcode
70658	N040H00	Rheumatoid arthritis of talonavicular joint	readcode
71083	N045400	Juvenile arthritis in ulcerative colitis	readcode
71784	N040J00	Rheumatoid arthritis of other tarsal joint	readcode
73619	N040G00	Rheumatoid arthritis of subtalar joint	readcode
94854	Nyu1500	[X]Other juvenile arthritis	readcode
96880	M160.11	Psoriatic arthritis	readcode
99414	N040L00	Rheumatoid arthritis of lesser MTP joint	readcode
100776	N040C00	Rheumatoid arthritis of sacro-iliac joint	readcode
100914	N040400	Rheumatoid arthritis of acromioclavicular joint	readcode
107112	N040M00	Rheumatoid arthritis of IP joint of toe	readcode
107791	N040E00	Rheumatoid arthritis of tibio-fibular joint	readcode
107963	N040300	Rheumatoid arthritis of sternoclavicular joint	readcode
