aw11.	Orlistat 120mg capsule
aw12.	Xenical 120mg capsule
d115.	Welldorm 143mg/5mL elixir
d116.	Welldorm tablet
d118.	Chloral hydrate 143mg/5mL elixir
d121.	Heminevrin 192mg capsule
d122.	Heminevrin 250mg/5mL syrup
d12v.	Chlormethiazole 192mg capsule
d12v.	Clomethiazole 192mg capsule
d12w.	Chlormethiazole edisylate 250mg/5mL syrup
d12w.	Clomethiazole edisylate 250mg/5mL syrup
d141.	Rohypnol 1mg tablet
d151.	Dalmane 15mg capsule
d152.	Dalmane 30mg capsule
d15y.	Flurazepam 15mg capsule
d15z.	Flurazepam 30mg capsule
d171.	Lormetazepam 500micrograms tablet
d172.	Lormetazepam 1mg tablet
d182.	Nitrazepam 5mg tablet
d184.	Nitrazepam 2.5mg/5mL suspension
d1a9.	Temazepam 10mg tablet
d1aa.	Temazepam 20mg tablet
d1ao.	Temazepam 10mg/5mL s/f oral solution
d1c1.	Triclofos sodium 500mg/5mL oral solution
d1d1.	Zopiclone 7.5mg tablet
d1d2.	Zimovane 7.5mg tablet
d1d3.	Zopiclone 3.75mg tablet
d1d4.	Zimovane LS 3.75mg tablet
d1f1.	Stilnoct 5mg tablet
d1f2.	Zolpidem tartrate 5mg tablet
d1f3.	Zolpidem tartrate 10mg tablet
d1f4.	Stilnoct 10mg tablet
d1g1.	Sonata 5mg capsule
d1g2.	Sonata 10mg capsule
d1gy.	Zaleplon 5mg capsule
d1gz.	Zaleplon 10mg capsule
d1h1.	CIRCADIN 2mg m/r tablets
d1hz.	MELATONIN 2mg m/r tablets
d213.	Diazepam 2mg tablet
d214.	Diazepam 5mg tablet
d215.	Diazepam 10mg tablet
d216.	Diazepam 2mg/5mL oral solution
d21A.	Diazepam 5mg/5mL oral solution
d21d.	Diazemuls 10mg/2mL injection
d21J.	Diazepam 10mg/5mL suspension
d21k.	Stesolid 5mg rectal solution
d21k.	Stesolid 5mg/2.5mL rectal solution
d21l.	Stesolid 10mg rectal solution
d21l.	Stesolid 10mg/2.5mL rectal solution
d221.	Xanax 250mcg tablet
d222.	Xanax 500mcg tablet
d22y.	Alprazolam 250micrograms tablet
d22z.	Alprazolam 500micrograms tablet
d241.	Chlordiazepoxide 5mg capsule
d241.	Chlordiazepoxide hydrochloride 5mg capsule
d242.	Chlordiazepoxide 10mg capsule
d242.	Chlordiazepoxide hydrochloride 10mg capsule
d243.	Chlordiazepoxide hydrochloride 5mg tablet
d244.	Chlordiazepoxide hydrochloride 10mg tablet
d24a.	Librium 10mg capsule
d263.	Clobazam 10mg tablet
d265.	TAPCLOB 5mg/5mL oral suspension
d267.	TAPCLOB 10mg/5mL oral suspension
d271.	Tranxene 7.5mg capsule
d272.	Tranxene 15mg capsule
d2a1.	Lorazepam 1mg tablet
d2a2.	Lorazepam 2.5mg tablet
d2az.	Lorazepam 4mg/1mL injection
d2c2.	Meprobamate 400mg tablet
d2d2.	Oxazepam 10mg tablet
d2d3.	Oxazepam 15mg tablet
d2f4.	Buspar 10mg tablet
d31g.	Tuinal 100mg capsule
d411.	Chlorpromazine hydrochloride 10mg tablet
d412.	Chlorpromazine hydrochloride 25mg tablet
d413.	Chlorpromazine hydrochloride 50mg tablet
d414.	Chlorpromazine hydrochloride 100mg tablet
d41A.	Chlorpromazine hydrochloride 25mg/5mL s/f oral solution
d41b.	Largactil 25mg tablet
d41B.	Chlorpromazine hydrochloride 100mg/5mL s/f oral solution
d41d.	Largactil 100mg tablet
d41e.	Largactil 25mg/5mL syrup
d41m.	Chlorpromazine hydrochloride 50mg/2mL injection
d42z.	Benperidol 250micrograms tablet
d451.	Depixol 3mg tablet
d46x.	Fluphenazine hydrochloride 1mg tablet
d46z.	Fluphenazine hydrochloride 5mg tablet
d471.	Haloperidol 1.5mg tablet
d472.	Haloperidol 5mg tablet
d473.	Haloperidol 10mg tablet
d474.	Haloperidol 20mg tablet
d475.	Haloperidol 2mg/mL oral solution
d476.	Dozic 1mg/mL oral liquid
d47B.	Haloperidol 1mg/5mL s/f oral solution
d47d.	Haldol 5mg tablet
d47j.	Serenace 500micrograms capsule
d47k.	Serenace 1.5mg tablet
d47r.	Haloperidol 500micrograms capsule
d47t.	Haloperidol 1mg/mL oral solution
d47u.	Haloperidol 0.5mg tablet
d47u.	Haloperidol 500micrograms tablet
d47v.	Haloperidol 5mg/1mL injection
d481.	Nozinan 25mg/1mL injection
d483.	Nozinan 25mg tablet
d48y.	Levomepromazine hydrochloride 25mg/1mL injection
d48y.	Methotrimeprazine hydrochloride 25mg/1mL injection
d48z.	Levomepromazine maleate 25mg tablet
d48z.	Methotrimeprazine maleate 25mg tablet
d4a1.	Neulactil 2.5mg tablet
d4aw.	Pericyazine 2.5mg tablet
d4ax.	Pericyazine 10mg tablet
d4az.	Pericyazine 10mg/5mL syrup
d4bx.	Perphenazine 2mg tablet
d4by.	Perphenazine 4mg tablet
d4cx.	Pimozide 2mg tablet
d4cy.	Pimozide 4mg tablet
d4e4.	Promazine hydrochloride 25mg tablet
d4e5.	Promazine hydrochloride 50mg tablet
d4ev.	Promazine hydrochloride 25mg/5mL syrup
d4f1.	Dolmatil 200mg tablet
d4f5.	Dolmatil 400mg tablet
d4f6.	Sulpor 200mg/5mL oral solution
d4fx.	Sulpiride 400mg tablet
d4fy.	Sulpiride 200mg/5mL s/f oral solution
d4fz.	Sulpiride 200mg tablet
d4g1.	Melleril 10mg tablet
d4g2.	Melleril 25mg tablet
d4g3.	Melleril 50mg tablet
d4g5.	Melleril 25mg/5mL suspension
d4g6.	Melleril 100mg/5mL oral suspension
d4gt.	Thioridazine hydrochloride 10mg tablet
d4gu.	Thioridazine hydrochloride 25mg tablet
d4gv.	Thioridazine hydrochloride 50mg tablet
d4gw.	Thioridazine hydrochloride 100mg tablet
d4h1.	Stelazine 1mg tablet
d4h2.	Stelazine 5mg tablet
d4h3.	Stelazine 2mg Spansule
d4h4.	Stelazine 10mg Spansule
d4h6.	Stelazine 1mg/5mL syrup
d4h9.	Trifluoperazine 5mg/5mL sugar free syrup
