d12v.	CLOMETHIAZOLE(base) 192mg capsules
d1f4.	STILNOCT 10mg tablets
d216.	DIAZEPAM 2mg/5mL elixir
d241.	CHLORDIAZEPOXIDE 5mg capsules
d242.	CHLORDIAZEPOXIDE 10mg capsules
d271.	*TRANXENE 7.5mg capsules
d2az.	LORAZEPAM 4mg/1mL injection
d41b.	*LARGACTIL 25mg tablets
d472.	HALOPERIDOL 5mg tablets
d474.	HALOPERIDOL 20mg tablets
d481.	NOZINAN 25mg/1mL injection
d48y.	LEVOMEPROMAZINE 25mg/1mL injection
d4gv.	THIORIDAZINE 50mg tablets
d4r7.	OLANZAPINE 2.5mg tablets
d4s7.	SEROQUEL 200mg tablets
d4sB.	SEROQUEL 300mg tablets
d4sK.	SONDATE XL 400mg m/r tablets
d4sU.	EBESQUE XL 300mg m/r tablets
d4vz.	ARIPIPRAZOLE 10mg tablets
d4wt.	PALIPERIDONE 100mg suspension for injection pfs
d4y2.	LURASIDONE 18.5mg tablets
d513.	DEPIXOL 40mg/2mL injection
d52s.	FLUPHENAZINE DECANOATE 25mg/1mL prefilled syringe
d552.	HALDOL DECANOATE 100mg/1mL injection
d564.	PIPOTIAZINE 100mg/2mL injection
d612.	CAMCOLIT 400mg tablets
d613.	LISKONUM 450mg m/r tablets
d615.	PRIADEL 400mg m/r tablets
d61v.	LITHIUM CARBONATE 250mg tablets
d71u.	AMITRIPTYLINE 25mg m/r capsules
d73z.	CLOMIPRAMINE HCL 75mg m/r tabs
d751.	PROTHIADEN 25mg capsules
d75y.	DOSULEPIN HYDROCHLORIDE 25mg capsules
d76w.	*DOXEPIN 10mg capsules
d76x.	DOXEPIN 25mg capsules
d76z.	*DOXEPIN 75mg capsules
d7e2.	MOLIPAXIN 100mg capsules x56CP
da31.	FAVERIN 50mg tablets
da49.	OXACTIN 20mg capsules
da54.	LUSTRAL 100mg tablets
da77.	VENLAFAXINE 75mg m/r capsules
dB11.	MEMANTINE HYDROCHLORIDE 10mg tablets
dh12.	SERC 16mg tablets
dh42.	VALOID 50mg/1mL injection
dh4z.	CYCLIZINE 50mg/1mL injection
dhkL.	ONDEMET 4mg tablets
di1n.	ASPIRIN 300mg suppositories
di2J.	PARACETAMOL 240mg suppositories
diaq.	CO-CODAMOL 8mg/500mg capsules
dj3E.	SUBOXONE 2mg/0.5mg sublingual tablets
dj3V.	BUPRENORPHINE 6mg sublingual tablets
dj72.	DIAMORPHINE 5mg injection
dji9.	ZYDOL SR 150mg m/r tablets
djiE.	ZAMADOL 50mg capsules
djiJ.	ZAMADOL SR 50mg m/r capsules
djiU.	ZYDOL XL 300mg m/r tablets
djiy.	TRAMADOL HYDROCHLORIDE 300mg m/r tablets
djjB.	PALLADONE-SR 4mg m/r capsules
djkC.	TARGINACT 10mg/5mg m/r tablets
djkF.	TARGINACT 5mg/2.5mg m/r tablets
djkI.	OXYCONTIN 30mg m/r tablets
djkr.	OXYCODONE HYDROCHLORIDE 5mg/5mL sugar free liquid
djz1.	MORPHINE SULFATE 10mg tablets
djz4.	MORPHINE SULFATE 10mg m/r tablets
dl21.	*CAFERGOT 1mg tablets
dl5A.	SUMATRIPTAN 50mg tablets
dl86.	ZOMIG 5mg nasal spray
dlA5.	MAXALT 10mg tablets
dlAz.	RIZATRIPTAN 10mg oro-dispersible tablets
dlD1.	ELETRIPTAN 20mg tablets
dn3x.	CARBAMAZEPINE 200mg chewable tablets
dn72.	PHENOBARBITAL 30mg tablets
dn7d.	PHENOBARBITAL 15mg/5mL elixir
dnf3.	LAMICTAL 50mg tablets
dng1.	NOOTROPIL 800mg tablets
dnh8.	DEPAKOTE 500mg e/c tablets
dnjz.	GABAPENTIN 800mg tablets
dnkA.	TOPIRAMATE 25mg beads in capsules
dnm2.	TRILEPTAL 300 tablets
dnmx.	OXCARBAZEPINE 150mg tablets
dno8.	DESITREND 500mg/sachet granules
dnot.	LEVETIRACETAM 250mg/sachet granules
dnoy.	LEVETIRACETAM 500mg tablets
dnp1.	LYRICA 25mg capsules
dnu2.	ESLICARBAZEPINE ACETATE 800mg tablets
dnv2.	TROBALT 100mg tablets
dnv7.	RETIGABINE 50mg tablets
dnvA.	RETIGABINE 300mg tablets
dnwv.	PERAMPANEL 10mg tablets
dq21.	MADOPAR-62.5 capsules
dq25.	MADOPAR-125 dispersible tablets
dq3H.	CARAMET CR 25mg/100mg m/r tablets
dq6z.	SELEGILINE HYDROCHLORIDE 5mg tablets
dqA1.	ROPINIROLE 0.25mg tablets
dqA4.	ROPINIROLE 5mg tablets
dqA7.	REQUIP 2mg tablets
dqB3.	CABERGOLINE 4mg tablets
dqE4.	MIRAPEXIN 350micrograms tablets
dr3y.	BENZATROPINE MESYLATE 2mg tablets
du37.	NICOTINELL TTS 30 patches
du38.	NICOTINE 7mg/24hours patches
du3k.	NIQUITIN CQ 7mg/24hours patches
du3m.	NIQUITIN CQ 21mg/24hours patches
du7X.	NICORETTE FRESHMINT 2mg lozenges
dw12.	RITALIN 10mg tablets
dw1O.	MEDIKINET XL 60mg m/r capsules
dw35.	ELVANSE ADULT 50mg capsules
dw3y.	LISDEXAMFETAMINE DIMESYLATE 50mg capsules
dw3z.	LISDEXAMFETAMINE DIMESYLATE 30mg capsules
o425.	FENTANYL 50micrograms/hr patches
o42J.	DUROGESIC DTRANS 50micrograms/hr patches
o42o.	FENTANYL 200micrograms buccal tablets
o42S.	MATRIFEN 12micrograms/hr patches
o4db.	ABSTRAL 300micrograms sublingual tablets
o4dm.	OSMANIL 100micrograms/hr patches
o4dr.	OSMANIL 12micrograms/hr patches
d1d4.	ZIMOVANE LS 3.75mg tablets
d1g1.	SONATA 5mg capsules
d1g2.	SONATA 10mg capsules
d1h1.	CIRCADIN 2mg m/r tablets
d21J.	DIAZEPAM 10mg/5mL suspension
d21k.	STESOLID 5mg rectal solution
d244.	CHLORDIAZEPOXIDE HYDROCHLORIDE 10mg tablets
d4by.	PERPHENAZINE 4mg tablets
d4lC.	CLOZAPINE 50mg/mL oral suspension
d4n4.	ZUCLOPENTHIXOL ACETATE 100mg/2mL injection (oily)
d4p5.	RISPERDAL 1mg tablets
d4p8.	RISPERDAL 4mg tablets
d4pz.	RISPERIDONE 0.5mg tablets
d4r4.	ZYPREXA 5mg tablets
d4v9.	ABILIFY MAINTENA 400mg pdr+solv for suspension for injection
d4vu.	ARIPIPRAZOLE 10mg oro-dispersible tablets
d516.	DEPIXOL CONC. 100mg/1mL injection
d616.	PRIADEL 200mg m/r tablets
d733.	*ANAFRANIL 50mg capsules
d7ax.	MAPROTILINE HYDROCHLORIDE 25mg tablets
d914.	*MOTIVAL tablets
da2y.	*TRYPTOPHAN 500mg tablets
da32.	FLUVOXAMINE MALEATE 50mg tablets
da33.	FAVERIN 100mg tablets
da53.	LUSTRAL 50mg tablets
da78.	EFEXOR XL 75mg m/r capsules
daB8.	ZISPIN SOLTAB 45mg oro-dispersible tablets
daBy.	MIRTAZAPINE 45mg tablets
daD2.	AGOMELATINE 25mg tablets
daE5.	BRINTELLIX 20mg tablets
dB12.	MEMANTINE HYDROCHLORIDE 10mg/g oral drops
dh31.	STUGERON 15mg tablets
dh85.	*SCOPODERM TTS 1.5mg patches
dh8C.	JOY-RIDES 150micrograms chewable tablets
dh94.	MECLOZINE HYDROCHLORIDE 12.5mg tablets
aw12.	XENICAL 120mg capsules
d116.	*WELLDORM tablets
d184.	NITRAZEPAM 2.5mg/5mL mixture
d1c1.	*TRICLOFOS 500mg/5mL liquid
d1d2.	ZIMOVANE 7.5mg tablets
