7G03J	Excision of melanoma
A7886	Human immunodeficiency virus with secondary cancers
A7895	HIV disease resulting in Kaposi's sarcoma
A7898	HIV disease resulting in multiple malignant neoplasms
AyuC8	[X]HIV disease resulting in other malignant neoplasms
AyuC9	[X]HIV disease resulting in unspecified malignant neoplasm
B0...	Malignant neoplasm: [lip] or [oral cavity] or [pharynx]
B00..	Malignant neoplasm of lip (& carcinoma)
B000.	Malignant tumour of vermilion border of upper lip
B0000	Malignant neoplasm of upper lip, external
B0001	Malignant neoplasm of upper lip, lipstick area
B000z	Malignant neoplasm of upper lip, vermilion border NOS
B0010	Malignant neoplasm of lower lip, external
B0011	Malignant tumour of vermilion border of lower lip
B001z	Malignant neoplasm of lower lip, vermilion border NOS
B002.	Malignant tumour of upper labial mucosa
B0020	Malignant neoplasm of upper lip, buccal aspect
B0021	Malignant tumour of fraenum of upper lip
B002z	Malignant neoplasm of upper lip, inner aspect NOS
B0030	Malignant neoplasm of lower lip, buccal aspect
B0031	Malignant tumour of fraenum of lower lip
B0032	Malignant neoplasm of lower lip, mucosa
B003z	Malignant neoplasm of lower lip, inner aspect NOS
B004.	Malignant neoplasm of lip unspecified, inner aspect
B0041	Malignant neoplasm of lip unspecified, frenulum
B0042	Malignant neoplasm of lip unspecified, mucosa
B0043	Malignant tumour of labial mucosa
B004z	Malignant neoplasm of lip, inner aspect NOS
B005.	Malignant tumour of commissure of lip
B006.	Malignant neoplasm of overlapping lesion of lip
B00y.	Malignant neoplasm of other sites of lip
B00z.	Malignant neoplasm of vermilion border of lip unspecified
B00z0	Malignant neoplasm of lip, unspecified, external
B00z1	Malignant neoplasm of lip, unspecified, lipstick area
B00zz	Malignant neoplasm of lip, vermilion border NOS
B01..	Malignant tumour of tongue
B010.	Malignant tumour of base of tongue
B0100	Malignant neoplasm of base of tongue dorsal surface
B010z	Malignant neoplasm of fixed part of tongue NOS
B011.	Malignant neoplasm of dorsal surface of tongue
B0110	Malig tumour anterior two-thirds of tongue dorsal surface
B0111	Malignant neoplasm of midline of tongue
B011z	Malignant neoplasm of dorsum of tongue NOS
B012.	Malignant neoplasm of tongue, tip and lateral border
B013.	Malignant neoplasm of ventral surface of tongue
B0130	Malig tumour anterior two-thirds of tongue ventral surface
B0131	Malignant tumour of fraenum linguae
B013z	Malignant neoplasm of ventral tongue surface NOS
B014.	Malignant neoplasm of anterior 2/3 of tongue unspecified
B015.	Malignant tumour of junctional zone of tongue
B016.	Malignant tumour of lingual tonsil
B017.	Malignant overlapping lesion of tongue
B01y.	Malignant neoplasm of other sites of tongue
B01z.	Malignant neoplasm of tongue NOS
B02..	Malignant tumour of major salivary gland
B020.	Malignant tumour of parotid gland
B021.	Malignant tumour of submandibular gland
B022.	Malignant tumour of sublingual gland
B023.	Malignant neoplasm, overlapping lesion of major saliv gland
B02y.	Malignant neoplasm of other major salivary glands
B02z.	Malignant neoplasm of major salivary gland NOS
B03..	Malignant tumour of gum
B030.	Malignant tumour of upper gingiva
B031.	Malignant tumour of lower gingiva
B03y.	Malignant neoplasm of other sites of gum
B03z.	Malignant neoplasm of gum NOS
B04..	Malignant tumour of floor of mouth
B040.	Malignant tumour of anterior floor of mouth
B041.	Malignant tumour of lateral floor of mouth
