CTV3ID	CTV3PreferredTermDesc	CTV3Source
7G03J	Excision of melanoma	CTV3_Children
A7886	Human immunodeficiency virus with secondary cancers	CTV3Map_Code_And_Term
A7895	HIV disease resulting in Kaposi's sarcoma	CTV3Map_Code_And_Term
A7898	HIV disease resulting in multiple malignant neoplasms	CTV3Map_Code_And_Term
AyuC8	[X]HIV disease resulting in other malignant neoplasms	CTV3Map_Code_And_Term
AyuC9	[X]HIV disease resulting in unspecified malignant neoplasm	CTV3Map_Code_And_Term
B0...	Malignant neoplasm: [lip] or [oral cavity] or [pharynx]	CTV3_Children
B00..	Malignant neoplasm of lip (& carcinoma)	CTV3_Children
B000.	Malignant tumour of vermilion border of upper lip	CTV3Map_Code_And_Term
B0000	Malignant neoplasm of upper lip, external	CTV3Map_Code_And_Term
B0001	Malignant neoplasm of upper lip, lipstick area	CTV3Map_Code_And_Term
B000z	Malignant neoplasm of upper lip, vermilion border NOS	CTV3Map_Code_And_Term
B0010	Malignant neoplasm of lower lip, external	CTV3Map_Code_And_Term
B0011	Malignant tumour of vermilion border of lower lip	CTV3Map_Code_And_Term
B001z	Malignant neoplasm of lower lip, vermilion border NOS	CTV3Map_Code_And_Term
B002.	Malignant tumour of upper labial mucosa	CTV3Map_Code_And_Term
B0020	Malignant neoplasm of upper lip, buccal aspect	CTV3Map_Code_And_Term
B0021	Malignant tumour of fraenum of upper lip	CTV3Map_Code_And_Term
B002z	Malignant neoplasm of upper lip, inner aspect NOS	CTV3Map_Code_And_Term
B0030	Malignant neoplasm of lower lip, buccal aspect	CTV3Map_Code_And_Term
B0031	Malignant tumour of fraenum of lower lip	CTV3Map_Code_And_Term
B0032	Malignant neoplasm of lower lip, mucosa	CTV3Map_Code_And_Term
B003z	Malignant neoplasm of lower lip, inner aspect NOS	CTV3Map_Code_And_Term
B004.	Malignant neoplasm of lip unspecified, inner aspect	CTV3Map_Code_And_Term
B0041	Malignant neoplasm of lip unspecified, frenulum	CTV3Map_Code_And_Term
B0042	Malignant neoplasm of lip unspecified, mucosa	CTV3Map_Code_And_Term
B0043	Malignant tumour of labial mucosa	CTV3Map_Code_And_Term
B004z	Malignant neoplasm of lip, inner aspect NOS	CTV3_Children
B005.	Malignant tumour of commissure of lip	CTV3Map_Code_And_Term
B006.	Malignant neoplasm of overlapping lesion of lip	CTV3Map_Code_And_Term
B00y.	Malignant neoplasm of other sites of lip	CTV3_Children
B00z.	Malignant neoplasm of vermilion border of lip unspecified	CTV3_Children
B00z0	Malignant neoplasm of lip, unspecified, external	CTV3Map_Code_And_Term
B00z1	Malignant neoplasm of lip, unspecified, lipstick area	CTV3Map_Code_And_Term
B00zz	Malignant neoplasm of lip, vermilion border NOS	CTV3Map_Code_And_Term
B01..	Malignant tumour of tongue	CTV3Map_Code_And_Term
B010.	Malignant tumour of base of tongue	CTV3Map_Code_And_Term
B0100	Malignant neoplasm of base of tongue dorsal surface	CTV3Map_Code_And_Term
B010z	Malignant neoplasm of fixed part of tongue NOS	CTV3Map_Code_And_Term
B011.	Malignant neoplasm of dorsal surface of tongue	CTV3Map_Code_And_Term
B0110	Malig tumour anterior two-thirds of tongue dorsal surface	CTV3_Children
B0111	Malignant neoplasm of midline of tongue	CTV3Map_Code_And_Term
B011z	Malignant neoplasm of dorsum of tongue NOS	CTV3Map_Code_And_Term
B012.	Malignant neoplasm of tongue, tip and lateral border	CTV3Map_Code_And_Term
B013.	Malignant neoplasm of ventral surface of tongue	CTV3Map_Code_And_Term
B0130	Malig tumour anterior two-thirds of tongue ventral surface	CTV3Map_Code_And_Term
B0131	Malignant tumour of fraenum linguae	CTV3Map_Code_And_Term
B013z	Malignant neoplasm of ventral tongue surface NOS	CTV3Map_Code_And_Term
B014.	Malignant neoplasm of anterior 2/3 of tongue unspecified	CTV3Map_Code_And_Term
B015.	Malignant tumour of junctional zone of tongue	CTV3Map_Code_And_Term
B016.	Malignant tumour of lingual tonsil	CTV3Map_Code_And_Term
B017.	Malignant overlapping lesion of tongue	CTV3Map_Code_And_Term
B01y.	Malignant neoplasm of other sites of tongue	CTV3Map_Code_And_Term
B01z.	Malignant neoplasm of tongue NOS	CTV3Map_Code_And_Term
B02..	Malignant tumour of major salivary gland	CTV3Map_Code_And_Term
B020.	Malignant tumour of parotid gland	CTV3Map_Code_And_Term
B021.	Malignant tumour of submandibular gland	CTV3Map_Code_And_Term
B022.	Malignant tumour of sublingual gland	CTV3Map_Code_And_Term
B023.	Malignant neoplasm, overlapping lesion of major saliv gland	CTV3_Children
B02y.	Malignant neoplasm of other major salivary glands	CTV3Map_Code_And_Term
B02z.	Malignant neoplasm of major salivary gland NOS	CTV3Map_Code_And_Term
B03..	Malignant tumour of gum	CTV3Map_Code_And_Term
B030.	Malignant tumour of upper gingiva	CTV3Map_Code_And_Term
B031.	Malignant tumour of lower gingiva	CTV3Map_Code_And_Term
B03y.	Malignant neoplasm of other sites of gum	CTV3Map_Code_And_Term
B03z.	Malignant neoplasm of gum NOS	CTV3Map_Code_And_Term
B04..	Malignant tumour of floor of mouth	CTV3Map_Code_And_Term
B040.	Malignant tumour of anterior floor of mouth	CTV3Map_Code_And_Term
B041.	Malignant tumour of lateral floor of mouth	CTV3Map_Code_And_Term
B042.	Malignant neoplasm, overlapping lesion of floor of mouth	CTV3Map_Code_And_Term
B04y.	Malignant neoplasm of other sites of floor of mouth	CTV3Map_Code_And_Term
B04z.	Malignant neoplasm of floor of mouth NOS	CTV3Map_Code_And_Term
B05..	Malignant neoplasm of other and unspecified parts of mouth	CTV3Map_Code_And_Term
B050.	Malignant tumour of buccal mucosa	CTV3Map_Code_And_Term
B051.	Malignant tumour of vestibule of mouth	CTV3Map_Code_And_Term
B0510	Malignant tumour of upper buccal sulcus	CTV3Map_Code_And_Term
B0511	Malignant tumour of lower buccal sulcus	CTV3Map_Code_And_Term
B0512	Malignant tumour of upper labial sulcus	CTV3_Children
B0513	Malignant tumour of lower labial sulcus	CTV3_Children
B051z	Malignant neoplasm of vestibule of mouth NOS	CTV3Map_Code_And_Term
B052.	Malignant tumour of hard palate	CTV3Map_Code_And_Term
B053.	Malignant tumour of soft palate	CTV3Map_Code_And_Term
B054.	Malignant tumour of uvula	CTV3Map_Code_And_Term
B055.	Malignant neoplasm of palate unspecified	CTV3Map_Code_And_Term
B0550	Malignant neoplasm of junction of hard and soft palate	CTV3Map_Code_And_Term
B0551	Malignant tumour of palate	CTV3Map_Code_And_Term
B055z	Malignant neoplasm of palate NOS	CTV3Map_Code_And_Term
B056.	Malignant tumour of retromolar area	CTV3Map_Code_And_Term
B05y.	Malignant neoplasm of other specified mouth parts	CTV3Map_Code_And_Term
B05z.	Malignant neoplasm of mouth NOS	CTV3Map_Code_And_Term
B05z0	Kaposi's sarcoma of palate	CTV3Map_Code_And_Term
B06..	Malignant tumour of oropharynx	CTV3Map_Code_And_Term
B060.	Malignant tumour of tonsil	CTV3Map_Code_And_Term
B0600	Malignant neoplasm of faucial tonsil	CTV3Map_Code_And_Term
B0601	Malignant neoplasm of palatine tonsil	CTV3Map_Code_And_Term
B0602	Malignant neoplasm of overlapping lesion of tonsil	CTV3Map_Code_And_Term
B060z	Malignant neoplasm tonsil NOS	CTV3Map_Code_And_Term
B061.	Malignant tumour of tonsillar fossa	CTV3Map_Code_And_Term
B062.	Malignant tumour of tonsillar pillar	CTV3Map_Code_And_Term
B0621	Malignant tumour of glossopalatine fold	CTV3Map_Code_And_Term
