BISU30622NEMIS	Bioxtra  Sucking Tablets  
FLNA639NEMIS	Fluticasone Propionate  Nasal drops (unit dose)  400 micrograms/dose
BUAQ17457NEMIS	Budesonide  Aqueous nasal spray  64 micrograms/dose
SONA17872NEMIS	Sodium Cromoglicate  Nasal spray  4 %
AUEAEGTON6007	Audicort  Ear-drops  
SONE47614NEMIS	Sodium Chloride  Nebuliser solution  3 %, 10 ml unit dose vial
SONA17871NEMIS	Sodium Cromoglicate  Nasal spray  2 %
BIIM32483EMIS	Bismuth Subnitrate And Iodoform  Impregnated Gauze  2.5 cm x 300 cm
CHEA34232MGEMIS	Chloramphenicol  Ear drops  5 % (A.A.H. Pharm)
MIBU29869NEMIS	Miconazole  Buccal Tablets Sugar Free  50 mg
OTEA126985NEMIS	Otocomb Otic  Ear Ointment  
NACR1942	Naseptin  Cream  
XYNA9233BRIDL	Xylometazoline Paediatric  Nasal drops  0.05 %
DISP3427	Difflam  Spray  0.15 %
LENA28337EMIS	Levocabastine Hydrochloride  Nasal spray  500 micrograms/ml
LOPU31805EMIS	Locabiotal  Pump spray  500 micrograms/dose (sls)
HELO23030NEMIS	Hexylresorcinol  Lozenges  2.4 mg
RIAD23845EMIS	Rinstead  Adult gel  
SOOI4329	Sofradex  Ointment  
BIPA44026NEMIS	Bismuth Subnitrate And Iodoform  Paste  30 gram sachets
LOBU29871NEMIS	Loramyc  Buccal tablets  50 mg
CHEA34231MGEMIS	Chloramphenicol  Ear drops  10 % (Martindale)
BEAQ17586NEMIS	Beclometasone  Aqueous nasal spray  50 micrograms/actuation
CHEA34235MGEMIS	Chloramphenicol  Ear drops  5 % (Unichem)
DELOEGTON6054	Dequadin  Lozenges  250 micrograms
ANLI15877NEMIS	Anbesol  Liquid  
HYLO5009	Hydrocortisone(As Sodium Succinate)  Muco-adhesive buccal tablets  Sugar Free 2.5 mg
BEDR354	Betnesol-N  Drops  
DEOR13755NEMIS	Dequaspray  Oromucosal Spray  2 %
AASPEGTON6297	Aaa  Oromucosal Spray  1.5 mg
BITO14803NEMIS	Biotene Dry Mouth  Toothpaste  Original
EPNO34958MGEMIS	Ephedrine Hydrochloride  Nose drops  0.5 % (A.A.H. Pharm)
DEDE22326EMIS	Dentomycin  Dental gel  2 %
PITA26497EMIS	Pilocarpine Hydrochloride  Tablets  5 mg
CHDE9294HILLI	Chlorhexidine Gluconate  Dental gel  Sugar Free 1 %
FLNA34372NEMIS	Fluticasone Furoate  Nasal Spray Suspension  27.5 micrograms/spray
