B33..11	Basal cell carcinoma
B33z.11	Squamous cell carcinoma of skin NOS
B33z100	Naevoid basal cell carcinoma syndrome
B338.00	Squamous cell carcinoma of skin
B32..00	Malignant melanoma of skin
B32z.00	Malignant melanoma of skin NOS
B32y.00	Malignant melanoma of other specified skin site
B32y000	Overlapping malignant melanoma of skin
B32J.00	Malignant melanoma stage IV M1c
B32H.00	Malignant melanoma stage IV M1b
B32G.00	Malignant melanoma stage IV M1a
B32F.00	Malignant melanoma stage IIIC
B32E.00	Malignant melanoma stage IIIB
B32D.00	Malignant melanoma stage IIIA
B32C.00	Malignant melanoma stage IIC
B32B.00	Malignant melanoma stage IIB
B32A.00	Malignant melanoma stage IIA
B329.00	Malignant melanoma stage IB
B328.00	Malignant melanoma stage IA
B327.00	Malignant melanoma of lower limb and hip
B327z00	Malignant melanoma of lower limb or hip NOS
B327900	Malignant melanoma of great toe
B327800	Malignant melanoma of toe
B327700	Malignant melanoma of foot
B327600	Malignant melanoma of heel
B327500	Malignant melanoma of ankle
B327400	Malignant melanoma of lower leg
B327300	Malignant melanoma of popliteal fossa area
B327200	Malignant melanoma of knee
B327100	Malignant melanoma of thigh
B327000	Malignant melanoma of hip
B326.00	Malignant melanoma of upper limb and shoulder
B326z00	Malignant melanoma of upper limb or shoulder NOS
B326500	Malignant melanoma of thumb
B326400	Malignant melanoma of finger
B326300	Malignant melanoma of hand
B326200	Malignant melanoma of fore-arm
B326100	Malignant melanoma of upper arm
B326000	Malignant melanoma of shoulder
B325.00	Malignant melanoma of trunk (excluding scrotum)
B325z00	Malignant melanoma of trunk, excluding scrotum, NOS
B325800	Malignant melanoma of chest wall
B325700	Malignant melanoma of back
B325600	Malignant melanoma of umbilicus
B325500	Malignant melanoma of perineum
B325400	Malignant melanoma of perianal skin
B325300	Malignant melanoma of groin
B325200	Malignant melanoma of buttock
B325100	Malignant melanoma of breast
B325000	Malignant melanoma of axilla
B324.00	Malignant melanoma of scalp and neck
B324z00	Malignant melanoma of scalp and neck NOS
B324100	Malignant melanoma of neck
B324000	Malignant melanoma of scalp
B323.00	Malignant melanoma of other and unspecified parts of face
B323z00	Malignant melanoma of face NOS
B323500	Malignant melanoma of temple
B323400	Malignant melanoma of external surface of nose
B323300	Malignant melanoma of forehead
B323200	Malignant melanoma of eyebrow
B323100	Malignant melanoma of chin
B323000	Malignant melanoma of external surface of cheek
B322.00	Malignant melanoma of ear and external auricular canal
B322z00	Malignant melanoma of ear and external auricular canal NOS
B322100	Malignant melanoma of external auditory meatus
B322000	Malignant melanoma of auricle (ear)
B321.00	Malignant melanoma of eyelid including canthus
B320.00	Malignant melanoma of lip
BB2J.00	[M]Squamous cell carcinoma, microinvasive
BB2H.00	[M]Squamous cell carcinoma in situ with questionable stromal invasion
BB2G.00	[M]Adenoid squamous cell carcinoma
BB2F.00	[M]Squamous cell carcinoma, spindle cell type
