bd11.	PROPRANOLOL 10mg tablets
bd12.	PROPRANOLOL 40mg tablets
bd13.	PROPRANOLOL 80mg tablets
bd14.	PROPRANOLOL 160mg tablets
bd1g.	BEDRANOL SR 160mg m/r capsules
bd1G.	BETA-PROGRANE 160mg m/r capsules
bd1H.	PROPRANOLOL 1mg/1mL injection
bd1I.	PROPRANOLOL 5mg/5mL syrup
bd1J.	PROPRANOLOL 50mg/5mL syrup
bd1l.	HALF-INDERAL LA 80mg m/r capsules
bd1L.	HALF BETA-PROGRANE 80mg m/r capsules
bd1m.	*INDERAL 10mg tablets
bd1n.	*INDERAL 40mg tablets
bd1o.	*INDERAL 80mg tablets
bd1P.	PROPRANOLOL HYDROCHLORIDE 10mg/5mL syrup
bd1q.	*INDERAL 1mg/1mL injection
bd1Q.	PROPRANOLOL HYDROCHLORIDE 40mg/5mL syrup
bd1r.	*INDERAL-LA 160mg m/r capsules
bd1x.	PROPRANOLOL 160mg m/r capsules
bd1y.	PROPRANOLOL 80mg m/r capsules
bd1z.	SYPROL 10mg/5mL oral solution
bd1Z.	SYPROL 5mg/5mL oral solution
bd21.	SECTRAL 100mg capsules
bd22.	SECTRAL 200mg capsules
bd23.	SECTRAL 400mg tablets
bd2w.	ACEBUTOLOL 100mg capsules
bd2x.	ACEBUTOLOL 200mg capsules
bd2y.	ACEBUTOLOL 400mg tablets
bd31.	TENORMIN 100mg tablets
bd32.	TENORMIN 25mg/5mL syrup
bd33.	TENORMIN 5mg/10mL injection
bd34.	TENORMIN LS 50mg tablets
bd35.	ATENOLOL 50mg tablets
bd36.	ATENOLOL 100mg tablets
bd3a.	*ANTIPRESSAN 50mg tablets
bd3b.	*ANTIPRESSAN 100mg tablets
bd3c.	*TENORMIN 25 tablets
bd3f.	ATENIX 50mg tablets
bd3g.	ATENIX 100mg tablets
bd3j.	ATENOLOL 25mg tablets
bd3l.	*ANTIPRESSAN 25mg tablets
bd3x.	ATENOLOL 25mg/5mL syrup
