1429.	H/O: * leukaemia
B....	Cancers
B0...	Carcinoma of lip, oral cavity and pharynx
B00..	Carcinoma of lip
B000.	Malignant neoplasm of upper lip, vermilion border
B0000	Malignant neoplasm of upper lip, external
B0001	Malignant neoplasm of upper lip, lipstick area
B000z	Malignant neoplasm of upper lip, vermilion border NOS
B0010	Malignant neoplasm of lower lip, external
B0011	Malignant neoplasm of lower lip, lipstick area
B001z	Malignant neoplasm of lower lip, vermilion border NOS
B002.	Malig tumour of mucosa of upper lip
B0020	Malignant neoplasm of upper lip, buccal aspect
B0021	Malignant neoplasm of upper lip, frenulum
B002z	Malignant neoplasm of upper lip, inner aspect NOS
B0030	Malignant neoplasm of lower lip, buccal aspect
B0031	Malignant neoplasm of lower lip, frenulum
B0032	Malignant neoplasm of lower lip, mucosa
B003z	Malignant neoplasm of lower lip, inner aspect NOS
B004.	Malignant neoplasm of lip unspecified, inner aspect
B0041	Malignant neoplasm of lip unspecified, frenulum
B0042	Malignant neoplasm of lip unspecified, mucosa
B0043	Malignant neoplasm of lip, oral aspect
B004z	Malignant neoplasm of lip, inner aspect NOS
B005.	Malignant neoplasm of commissure of lip
B006.	Malignant neoplasm of overlapping lesion of lip
B00y.	Malignant neoplasm of other sites of lip
B00z.	Malignant neoplasm of vermilion border of lip unspecified
B00z0	Malignant neoplasm of lip, unspecified, external
B00z1	Malignant neoplasm of lip, unspecified, lipstick area
B00zz	Malignant neoplasm of lip, vermilion border NOS
B01..	CA - Cancer of tongue
B010.	Malignant neoplasm of base of tongue
B0100	Malignant neoplasm of base of tongue dorsal surface
B010z	Malignant neoplasm of fixed part of tongue NOS
B011.	Malignant neoplasm of dorsal surface of tongue
B0110	Malignant neoplasm of anterior 2/3 of tongue dorsal surface
B0111	Malignant neoplasm of midline of tongue
B011z	Malignant neoplasm of dorsum of tongue NOS
B012.	Malignant neoplasm of tongue, tip and lateral border
B013.	Malignant neoplasm of ventral surface of tongue
B0130	Malignant neoplasm of anterior 2/3 of tongue ventral surface
B0131	Malignant neoplasm of frenulum linguae
B013z	Malignant neoplasm of ventral tongue surface NOS
B014.	Malignant neoplasm of anterior 2/3 of tongue unspecified
B015.	Malignant neoplasm of tongue, junctional zone
B016.	Malignant neoplasm of lingual tonsil
B017.	Malignant overlapping lesion of tongue
B01y.	Malignant neoplasm of other sites of tongue
B01z.	Malignant neoplasm of tongue NOS
B02..	Malignant neoplasm of major salivary glands
B020.	CA - Cancer of parotid gland
B021.	Malignant neoplasm of submandibular gland
B022.	Malignant neoplasm of sublingual gland
B023.	Malignant neoplasm, overlapping lesion of major salivary glands
B02y.	Malignant neoplasm of other major salivary glands
B02z.	Malignant neoplasm of major salivary gland NOS
B03..	CA - Cancer of gum
B030.	Malignant neoplasm of upper gum
B031.	Malignant neoplasm of lower gum
B03y.	Malignant neoplasm of other sites of gum
B03z.	Malignant neoplasm of gum NOS
B04..	CA - Cancer of floor of mouth
B040.	Malignant neoplasm of anterior portion of floor of mouth
B041.	Malignant neoplasm of lateral portion of floor of mouth
B042.	Malignant neoplasm, overlapping lesion of floor of mouth
B04y.	Malignant neoplasm of other sites of floor of mouth
B04z.	Malignant neoplasm of floor of mouth NOS
B05..	Malignant neoplasm of other and unspecified parts of mouth
B050.	CA - Cancer of buccal mucosa
B051.	Malignant neoplasm of vestibule of mouth
B0510	Malignant neoplasm of upper buccal sulcus
B0511	Malignant neoplasm of lower buccal sulcus
B0512	Malignant neoplasm of upper labial sulcus
B0513	Malignant neoplasm of lower labial sulcus
B051z	Malignant neoplasm of vestibule of mouth NOS
B052.	Malignant neoplasm of hard palate
B053.	Malignant neoplasm of soft palate
B054.	Malignant neoplasm of uvula
B055.	Malignant neoplasm of palate unspecified
B0550	Malignant neoplasm of junction of hard and soft palate
B0551	CA - Cancer of palate
B055z	Malignant neoplasm of palate NOS
B056.	Malignant neoplasm of retromolar area
B057.	Overlapping lesion of other and unspecified parts of mouth
B05y.	Malignant neoplasm of other specified mouth parts
B05z.	Malignant neoplasm of mouth NOS
B05z0	Kaposi's sarcoma of palate
B06..	CA - Cancer of oropharynx
B060.	CA - Cancer of tonsil
B0600	Malignant neoplasm of faucial tonsil
B0601	Malignant neoplasm of palatine tonsil
B0602	Malignant neoplasm of overlapping lesion of tonsil
B060z	Malignant neoplasm tonsil NOS
B061.	Malignant neoplasm of tonsillar fossa
B062.	Malignant neoplasm of faucial pillar
B0621	Malignant neoplasm of glossopalatine fold
B0622	Malignant neoplasm of palatoglossal arch
B062z	Malignant neoplasm of tonsillar fossa NOS
B063.	Malignant neoplasm of vallecula
B064.	Malignant neoplasm of anterior epiglottis
B0640	Malignant neoplasm of epiglottis, free border
B0641	Malignant neoplasm of glossoepiglottic fold
B064z	Malignant neoplasm of anterior epiglottis NOS
B065.	Malignant neoplasm of junctional region of epiglottis
B066.	Malignant neoplasm of lateral wall of oropharynx
B067.	Malignant neoplasm of posterior wall of oropharynx
B06y.	Malignant neoplasm of oropharynx, other specified sites
B06y0	Malignant neoplasm of branchial cleft
B06yz	Malignant neoplasm of other specified site of oropharynx NOS
B06z.	Malignant neoplasm of oropharynx NOS
B07..	CA - Cancer of nasopharynx
B070.	Malignant neoplasm of roof of nasopharynx
B071.	Malignant neoplasm of posterior wall of nasopharynx
B0710	Malignant neoplasm of adenoid
B071z	Malignant neoplasm of posterior wall of nasopharynx NOS
B072.	Malignant neoplasm of lateral wall of nasopharynx
B0720	Malignant neoplasm of pharyngeal recess
B0721	Malignant neoplasm of opening of auditory tube
B072z	Malignant neoplasm of lateral wall of nasopharynx NOS
B073.	Malignant neoplasm of anterior wall of nasopharynx
B0730	Malignant neoplasm of floor of nasopharynx
B0731	Malignant neoplasm of nasopharyngeal soft palate surface
B0732	Malignant neoplasm of posterior margin of nasal septum and choanae
B073z	Malignant neoplasm of anterior wall of nasopharynx NOS
B074.	Malignant neoplasm, overlapping lesion of nasopharynx
B07y.	Malignant neoplasm of other specified site of nasopharynx
B07z.	Malignant neoplasm of nasopharynx NOS
B08..	Malignant neoplasm of hypopharynx
B080.	Malignant neoplasm of postcricoid region
B081.	Malignant neoplasm of pyriform sinus
B082.	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
B083.	Malignant neoplasm of posterior pharynx
B084.	Malignant neoplasm, overlapping lesion of hypopharynx
B08y.	Malignant neoplasm of other specified hypopharyngeal site
B08z.	Malignant neoplasm of hypopharynx NOS
B0z..	Malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx
B0z0.	Malignant neoplasm of pharynx unspecified
B0z1.	Malignant neoplasm of Waldeyer's ring
B0zy.	Malignant neoplasm of other sites of lip, oral cavity and pharynx
B0zz.	Malignant neoplasm of lip, oral cavity and pharynx NOS
B1...	Malignant neoplasm of digestive organs and peritoneum (& [carcinoma])
B10..	CA - Cancer of oesophagus
B100.	Malignant neoplasm of cervical oesophagus
B101.	Malignant neoplasm of thoracic oesophagus
B102.	Malignant neoplasm of abdominal oesophagus
B103.	Malignant neoplasm of upper third of oesophagus
B104.	Malignant neoplasm of middle third of oesophagus
B105.	Malignant neoplasm of lower third of oesophagus
B106.	Malignant neoplasm, overlapping lesion of oesophagus
B10y.	Malignant neoplasm of other specified part of oesophagus
B10z.	(Malignant neoplasm of oesophagus NOS or oesophageal cancer
B11..	Malignant neoplasm of stomach
B110.	Malignant neoplasm of cardia of stomach
B1100	Malignant neoplasm of cardiac orifice of stomach
B1101	Malignant neoplasm of cardio-oesophageal junction of stomach
B110z	Malignant neoplasm of cardia of stomach NOS
B111.	Malignant neoplasm of pylorus of stomach
B1110	Malignant neoplasm of prepylorus of stomach
B1111	Malignant neoplasm of pyloric canal of stomach
B111z	Malignant neoplasm of pylorus of stomach NOS
B112.	Malignant neoplasm of pyloric antrum of stomach
B113.	Malignant neoplasm of fundus of stomach
B114.	Malignant neoplasm of body of stomach
B115.	Malignant neoplasm of lesser curve of stomach unspecified
B116.	Malignant neoplasm of greater curve of stomach unspecified
B117.	Malignant neoplasm, overlapping lesion of stomach
B11y.	Malignant neoplasm of other specified site of stomach
B11y0	Malignant neoplasm of anterior wall of stomach NEC
B11y1	Malignant neoplasm of posterior wall of stomach NEC
B11yz	Malignant neoplasm of other specified site of stomach NOS
B11z.	Malignant neoplasm of stomach NOS
B12..	Malignant neoplasm of small intestine and duodenum
B120.	Duodenal cancer
B121.	Malignant neoplasm of jejunum
B122.	Malignant tumour of ileum
B123.	Malignant neoplasm of Meckel's diverticulum
B124.	Malignant neoplasm, overlapping lesion of small intestine
B12y.	Malignant neoplasm of other specified site of small intestine
B12z.	Malignant neoplasm of small intestine NOS
B13..	CA - Cancer of colon
B130.	Malignant neoplasm of hepatic flexure of colon
B131.	Malignant neoplasm of transverse colon
B132.	Malignant neoplasm of descending colon
B133.	Malignant neoplasm of sigmoid colon
B134.	Carcinoma of caecum
B135.	Malignant neoplasm of appendix
B136.	Malignant neoplasm of ascending colon
B137.	Malignant neoplasm of splenic flexure of colon
B138.	Malignant neoplasm, overlapping lesion of colon
B13y.	Malignant neoplasm of other specified sites of colon
B13z.	Colonic cancer
B14..	Malignant neoplasm of rectum, rectosigmoid junction and anus
B140.	Malignant neoplasm of rectosigmoid junction
B141.	Carcinoma of rectum
B142.	Anal carcinoma
B143.	Malignant neoplasm of anus unspecified
B14y.	Malignant neoplasm of other sites of rectum, rectosigmoid junction and anus
B14z.	Malignant neoplasm of rectum, rectosigmoid junction and anus NOS
B15..	Malignant neoplasm of liver and intrahepatic bile ducts
B150.	Primary malignant neoplasm of liver
B1500	Primary carcinoma of liver
B1501	Hepatoblastoma of liver
B1503	HCC - Hepatocellular carcinoma
B150z	Primary malignant neoplasm of liver NOS
B151.	Malignant neoplasm of intrahepatic bile ducts
B1510	Malignant neoplasm of interlobular bile ducts
B1511	Malignant neoplasm of interlobular biliary canals
B1512	Malignant neoplasm of intrahepatic biliary passages
B1513	Malignant neoplasm of intrahepatic canaliculi
B1514	Malignant neoplasm of intrahepatic gall duct
B151z	Malignant neoplasm of intrahepatic bile ducts NOS
B152.	Malignant neoplasm of liver unspecified
B15z.	Malignant neoplasm of liver and intrahepatic bile ducts NOS
B16..	Malignant neoplasm of gallbladder and extrahepatic bile ducts
B160.	Carcinoma gallbladder
B161.	Malignant tumour of extrahepatic bile duct
B1610	Malignant neoplasm of cystic duct
B1611	Malignant neoplasm of hepatic duct
B1612	Carcinoma common bile duct
B1613	Malignant neoplasm of sphincter of Oddi
B161z	Malignant neoplasm of extrahepatic bile ducts NOS
B162.	Malignant neoplasm of ampulla of Vater
B163.	Malignant neoplasm, overlapping lesion of biliary tract
B16y.	Malignant neoplasm of other gallbladder and extrahepatic bile ducts
B16z.	Malignant neoplasm of gallbladder and extrahepatic bile ducts NOS
B17..	CA - Cancer of pancreas
B170.	Malignant neoplasm of head of pancreas
B171.	Malignant neoplasm of body of pancreas
B172.	Malignant neoplasm of tail of pancreas
B173.	Malignant neoplasm of pancreatic duct
B174.	Malignant Islet cell tumour
B175.	Malignant neoplasm, overlapping lesion of pancreas
B17y.	Malignant neoplasm of other specified sites of pancreas
B17y0	Malignant neoplasm of ectopic pancreatic tissue
B17yz	Malignant neoplasm of specified site of pancreas NOS
B17z.	Malignant neoplasm of pancreas NOS
B18..	Malignant neoplasm of retroperitoneum and peritoneum
B180.	Malignant neoplasm of retroperitoneum
B1800	Malignant neoplasm of periadrenal tissue
B1801	Malignant neoplasm of perinephric tissue
B1802	Malignant neoplasm of retrocaecal tissue
B180z	Malignant neoplasm of retroperitoneum NOS
B182.	Overlapping malignant lesion of retroperitoneum and peritoneum
B18y.	Malignant neoplasm of specified parts of peritoneum
B18y0	Malignant neoplasm of mesocolon
B18y1	Malignant neoplasm of mesocaecum
B18y2	Malignant neoplasm of mesorectum
B18y3	CA - Cancer of omentum
B18y4	Malignant neoplasm of parietal peritoneum
B18y5	Malignant neoplasm of pelvic peritoneum
B18y6	Malignant neoplasm of the pouch of Douglas
B18yz	Malignant neoplasm of specified parts of peritoneum NOS
B18z.	Malignant neoplasm of retroperitoneum and peritoneum NOS
B1z..	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
B1z0.	Cancer of bowel
B1z1.	Malignant neoplasm of spleen NEC
B1z10	Angiosarcoma of spleen
B1z11	Fibrosarcoma of spleen
B1z1z	Malignant neoplasm of spleen NOS
B1z2.	Malignant neoplasm, overlapping lesion of digestive system
B1zy.	Malignant neoplasm of other specified site of digestive tract and peritoneum
B1zz.	Malignant neoplasm of digestive tract and peritoneum NOS
B2...	Carcinoma of respiratory tract and intrathoracic organs
B20..	Malignant neoplasm of nasal cavities, middle ear and accessory sinuses
B200.	Malignant neoplasm of nasal cavities
B2000	Malignant neoplasm of cartilage of nose
B2001	Malignant neoplasm of nasal conchae
B2002	Malignant neoplasm of septum of nose
B2003	Malignant neoplasm of vestibule of nose
B200z	Malignant neoplasm of nasal cavities NOS
B201.	Malignant neoplasm of auditory tube, middle ear and mastoid air cells
B2010	Malignant neoplasm of auditory (Eustachian) tube
B2011	Malignant neoplasm of tympanic cavity
B2012	Malignant neoplasm of tympanic antrum
B2013	Malignant neoplasm of mastoid air cells
B201z	Malignant neoplasm of auditory tube, middle ear and mastoid air cells NOS
B202.	Malignant neoplasm of maxillary sinus
B203.	Malignant neoplasm of ethmoid sinus
B204.	Malignant neoplasm of frontal sinus
B205.	Malignant neoplasm of sphenoidal sinus
B206.	Malignant neoplasm, overlapping lesion of accessory sinuses
B20y.	Malignant neoplasm of other sites of nasal cavity, middle ear and accessory sinuses
B20z.	Malignant neoplasm of accessory sinus NOS
B21..	CA - Cancer of larynx
B210.	Malignant neoplasm of glottis
B211.	Malignant neoplasm of supraglottis
B212.	Malignant neoplasm of subglottis
B213.	Malignant neoplasm of laryngeal cartilage
B2130	Malignant neoplasm of arytenoid cartilage
B2131	Malignant neoplasm of cricoid cartilage
B2132	Malignant neoplasm of cuneiform cartilage
B2133	Malignant neoplasm of thyroid cartilage
B213z	Malignant neoplasm of laryngeal cartilage NOS
B214.	Malignant neoplasm, overlapping lesion of larynx
B21y.	Malignant neoplasm of larynx, other specified site
B21z.	Malignant neoplasm of larynx NOS
B22..	Malignant neoplasm of trachea, bronchus and lung
B220.	CA - Cancer of trachea
B2200	Malignant neoplasm of cartilage of trachea
B2201	Malignant neoplasm of mucosa of trachea
B220z	Malignant neoplasm of trachea NOS
B221.	Malignant neoplasm of main bronchus
B2210	Malignant neoplasm of carina of bronchus
B2211	Malignant neoplasm of hilus of lung
B221z	Malignant neoplasm of main bronchus NOS
B222.	Malignant neoplasm of upper lobe, bronchus or lung
B2220	Malignant neoplasm of upper lobe bronchus
B2221	Malignant neoplasm of upper lobe of lung
B222z	Malignant neoplasm of upper lobe, bronchus or lung NOS
B223.	Malignant neoplasm of middle lobe, bronchus or lung
B2230	Malignant neoplasm of middle lobe bronchus
B2231	Malignant neoplasm of middle lobe of lung
B223z	Malignant neoplasm of middle lobe, bronchus or lung NOS
B224.	Malignant neoplasm of lower lobe, bronchus or lung
B2240	Malignant neoplasm of lower lobe bronchus
B2241	Malignant neoplasm of lower lobe of lung
B224z	Malignant neoplasm of lower lobe, bronchus or lung NOS
B225.	Malignant neoplasm of overlapping lesion of bronchus and lung
B22y.	Malignant neoplasm of other sites of bronchus or lung
B22z.	Lung cancer
B23..	CA - Cancer of pleura
B230.	Malignant neoplasm of parietal pleura
B231.	Malignant neoplasm of visceral pleura
