16A..	Stiff neck symptom
16A2.	Stiff neck
16AZ.	Stiff neck symptom NOS
16C..	Backache symptom
16C2.	Backache
16C3.	Backache with radiation
16C4.	Back pain worse on sneezing
16C5.	C/O - low back pain
16C6.	Back pain without radiation NOS
16C7.	C/O - upper back ache
16CZ.	Backache symptom NOS
1967.	Abdominal migraine - symptom
1969.	Abdominal pain
19690	Abdominal wall pain
1A59.	C/O pelvic pain
1A5A.	C/O perineal pain
1B1G.	Headache (& [C/O])
1B1G0	Sinus headache
1BA2.	Generalised headache
1BA3.	Unilateral headache
1BA4.	Bilateral headache
1BA6.	Occipital headache
1BA7.	Parietal headache
1BB1.	Aching headache
1BB2.	Throbbing headache
1BB3.	Shooting headache
1BB4.	Morning headache
1BZ..	Nervous system symptoms NOS
1BZZ.	Nervous system symptom NOS
1DC1.	Burning pain
1DC8.	Generalised aches and pains
7J41.	Decompression of fracture of spine
7J410	Complex decompression of fracture of spine
7J412	Posterior decompression of fracture of spine
7J41y	Other specified decompression of fracture of spine
7J41z	Decompression of fracture of spine NOS
7J42.	Other reduction spinal fracture (& with stabilisation)
7J420	Open reduction of fracture of spine and excision of facet of spine
7J421	Open reduction of fracture of spine NEC
7J422	Manipulation of spinal fracture
7J423	Spinal extension traction for fracture of spine
7J424	Halo skull traction for fracture of spine
7J425	Spinal traction for fracture of spine NEC
7J426	Primary bedrest stabilisation of spinal fracture
7J427	Primary collar stabilisation of spinal fracture
7J428	Primary skull traction stabilisation of spinal fracture
7J429	Primary cast stabilisation of spinal fracture
7J42a	Primary open reduction spinal fracture and bedrest stabilisation
7J42A	Primary external fixation stabilisation of spinal fracture
7J42b	Primary open reduction spinal fracture and skull traction stabilisation
7J42B	Primary other external stabilisation of spinal fracture
7J42c	Primary open reduction spinal fracture and cast stabilisation
7J42C	Revision to bedrest stabilisation of spinal fracture
7J42d	Primary open reduction spinal fracture and external fixation
7J42D	Revision to collar stabilisation of spinal fracture
7J42e	Primary open reduction spinal fracture and other external stabilisation
7J42E	Revision to skull traction stabilisation of spinal fracture
