d1c..00	TRICLOFOS SODIUM
d1c1.00	*TRICLOFOS 500mg/5mL liquid
d19..00	PROMETHAZINE HCL [HYPNOTIC] see section c8i..
d1h..00	MELATONIN
d1hz.00	MELATONIN 2mg m/r tablets
d13..00	*DICHLORALPHENAZONE
d13z.00	DICHLORALPHENAZONE 225mg/5mL elixir
d13y.00	DICHLORALPHENAZONE 650mg tablets
d12..00	CLOMETHIAZOLE EDISYLATE [HYPNOTIC]
d12w.00	CLOMETHIAZOLE EDISILATE 250mg/5mL syrup
d12w.12	CLOMETHIAZOLE(base) 31.5mg/mL syrup
d12v.00	CLOMETHIAZOLE(base) 192mg capsules
d11..00	CHLORAL HYDRATE
d119.00	CHLORAL HYDRATE 500mg/5mL syrup
d118.00	CHLORAL HYDRATE 143mg/5mL elixir
d114.00	CHLORAL HYDRATE 500mg capsules
d112.00	CHLORAL PAEDIATRIC 200mg/5mL elixir
d111.00	*CHLORAL 500mg/5mL mixture
d117.00	CHLORAL HYDRATE 414mg tablets
d117.11	CHLORAL BETAINE 707mg tablets
c8i..00	PROMETHAZINE HYDROCHLORIDE [ANTIHISTAMINE]
c8iz.00	PROMETHAZINE 50mg/2mL injection
c8iy.00	PROMETHAZINE 25mg/1mL injection
c8ix.00	PROMETHAZINE 5mg/5mL elixir
c8iw.00	PROMETHAZINE 25mg tablets
c8iv.00	PROMETHAZINE 10mg tablets
c8iu.00	PROMETHAZINE 20mg tablets
c8a..00	HYDROXYZINE HYDROCHLORIDE [ANTIHISTAMINE]
c88..00	DIPHENHYDRAMINE HYDROCHLORIDE [ANTIHISTAMINE]
c88z.00	DIPHENHYDRAMINE HYDROCHLORIDE 25mg capsules
c88y.00	DIPHENHYDRAMINE HYDROCHLORIDE 50mg capsules
c88x.00	DIPHENHYDRAMINE HYDROCHLORIDE 6.25mg/5mL syrup
c887.00	DIPHENHYDRAMINE HYDROCHLORIDE 50mg tablets
c884.00	DIPHENHYDRAMINE HYDROCHLORIDE 10mg/5mL syrup
c883.00	DIPHENHYDRAMINE HCL 25mg tablets
c8k..00	ALIMEMAZINE TARTRATE [ANTIHISTAMINE]
