d51..11	FLUPENTHIXOL DECANOATE
d51..00	FLUPENTIXOL DECANOATE
d51z.00	FLUPENTHIXOL DECANOATE 500mg/5mL injection
d51y.11	FLUPENTHIXOL DECANOATE 100mg/1mL injection
d51y.00	FLUPENTIXOL DECANOATE 100mg/1mL injection
d51x.00	FLUPENTHIXOL DECANOATE 200mg/10mL injection
d51w.11	FLUPENTHIXOL DECANOATE 40mg/2mL injection
d51w.00	FLUPENTIXOL DECANOATE 40mg/2mL injection
d51v.11	FLUPENTHIXOL DECANOATE 20mg/1mL injection
d51v.00	FLUPENTIXOL DECANOATE 20mg/1mL injection
d51u.11	FLUPENTHIXOL DECANOATE 200mg/1mL intramuscular injection
d51u.00	FLUPENTIXOL DECANOATE 200mg/1mL intramuscular injection
d51t.00	FLUPENTHIXOL DECANOATE 40mg/2mL prefilled syringe
d51s.00	FLUPENTHIXOL DECANOATE 20mg/1mL prefilled syringe
d51a.00	DEPIXOL LOW VOLUME 200mg/1mL intramuscular injection
d519.11	FLUPENTHIXOL 50mg/0.5mL injection
d519.00	FLUPENTIXOL 50mg/0.5mL injection
d518.00	DEPIXOL CONC. 50mg/0.5mL injection
d517.00	DEPIXOL CONC. 500mg/5mL injection
d516.00	DEPIXOL CONC. 100mg/1mL injection
d515.00	*DEPIXOL 200mg/10mL injection
d514.00	*DEPIXOL 40mg/2mL syringe
d513.00	DEPIXOL 40mg/2mL injection
d512.00	*DEPIXOL 20mg/1mL syringe
d511.00	DEPIXOL 20mg/1mL injection
da1..11	FLUPHENTIXOL [ANTIDEPRESSANT]
da1..00	FLUPENTIXOL [ANTIDEPRESSANT]
da1z.11	FLUPENTHIXOL 1mg tablets
da1z.00	FLUPENTIXOL 1mg tablets
da1y.11	FLUPENTHIXOL 500micrograms tablets
da1y.00	FLUPENTIXOL 500micrograms tablets
da12.00	FLUANXOL 1mg tablets
da11.00	FLUANXOL 500micrograms tablets
d45..11	FLUPENTHIXOL [ANTIPSYCHOTIC]
d45..00	FLUPENTIXOL [ANTIPSYCHOTIC]
d45z.11	FLUPENTHIXOL 3mg tablets
d45z.00	FLUPENTIXOL 3mg tablets
d451.00	DEPIXOL 3mg tablets
